"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L7539","InterruptedException","java.lang.InterruptedException","L138217","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\lang\super\java\lang\InterruptedException.java","26","1","32","2","0","0","0","0","0","0","0","0","0","0","0","2","0","137","8","0","2","0.333333","0.538462","7","7","1","2","0.538462","7","0","0","0","0","0","6","7","0","0","0","0","2","0","2","0","2","1","0","2","0","6","7","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L101757","ForceGuavaCompilationEntryPoint","com.google.common.ForceGuavaCompilationEntryPoint","L106","L103","D:\PR_assignment_src\guava\guava-gwt\src\com\google\common\ForceGuavaCompilationEntryPoint.java","26","1","29","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0.5","0.555556","5","5","1","1","0.555556","5","0","0","0","0","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L115070","GuavaTestsEntryPoint","com.google.common.GuavaTestsEntryPoint","L106","L103","D:\PR_assignment_src\guava\guava-gwt\test\com\google\common\GuavaTestsEntryPoint.java","26","1","29","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0.5","0.555556","5","5","1","1","0.555556","5","0","0","0","0","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L115074","GwtTestSuite","com.google.common.GwtTestSuite","L106","L103","D:\PR_assignment_src\guava\guava-gwt\test\com\google\common\GwtTestSuite.java","33","1","48","2","0","0","0","0","0","0","0","0","1","2","2","3","2","0","0","4","5","0.5","0.25","5","4","1","1","0.25","5","0","0","0","0","0","15","16","0","0","0","0","1","0","1","0","1","7","0","1","0","15","16","0","0","0","0","1","0","1","0","1","7","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L93261","UndeclaredThrowableException","java.lang.reflect.UndeclaredThrowableException","L138227","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\lang\super\java\lang\reflect\UndeclaredThrowableException.java","22","1","34","2","0","0","0","0","0","0","0","0","0","0","0","3","0","3","2","0","3","0.25","0.214286","3","3","1","3","0.214286","3","0","0","0","0","0","11","13","0","1","0","1","3","0","3","0","3","3","0","3","0","11","13","0","1","0","1","3","0","3","0","3","3","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L74470","CancellationException","java.util.concurrent.CancellationException","L142760","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\util\super\java\util\concurrent\CancellationException.java","22","1","29","2","0","0","0","0","0","0","0","0","0","0","0","2","0","33","7","0","2","0.333333","0.333333","3","3","1","2","0.333333","3","0","0","0","0","0","6","8","0","0","0","0","2","0","2","0","2","1","0","2","0","6","8","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23117","ConcurrentHashMap<K extends Object, V extends Object>","java.util.concurrent.ConcurrentHashMap","L142760","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\util\super\java\util\concurrent\ConcurrentHashMap.java","35","1","144","2","0","0","0","0","0","0","0","0","3","2","1","32","1","13","12","0","17","0.0555556","0.0891089","9","9","1","17","0.0891089","9","1","1","0","0","1","92","110","1","0","1","0","17","0","17","0","17","41","0","17","0","92","110","1","0","1","0","17","0","17","0","17","41","0","17","0","0","0","39","0","0","0","0","0","0","0","1","0","0","0","0","37","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L14051","CountDownLatch","java.util.concurrent.CountDownLatch","L142760","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\util\super\java\util\concurrent\CountDownLatch.java","19","1","55","2","0","0","0","0","0","0","0","0","1","1","1","9","2","116","180","0","6","0.142857","0.166667","6","6","1","6","0.166667","6","0","0","1","1","0","30","37","1","1","1","1","6","0","6","0","6","11","0","6","0","30","37","1","1","1","1","6","0","6","0","6","11","0","6","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12795","ExecutionException","java.util.concurrent.ExecutionException","L142760","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\util\super\java\util\concurrent\ExecutionException.java","24","1","38","2","0","0","0","0","0","0","0","0","0","0","0","4","0","95","14","0","4","0.333333","0.294118","5","5","1","2","0.294118","5","0","0","0","0","0","12","15","0","0","0","0","4","0","2","0","4","3","0","2","0","12","15","0","0","0","0","4","0","2","0","4","3","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L143420","Executors","java.util.concurrent.Executors","L142760","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\util\super\java\util\concurrent\Executors.java","16","1","50","2","0","0","0","0","0","0","0","0","2","1","1","5","2","5","6","1","4","0.333333","0.157895","3","3","1","2","0.0967742","3","0","0","0","0","0","16","20","0","0","0","0","3","0","2","0","3","6","0","2","0","28","35","2","0","2","0","5","0","3","0","5","10","0","3","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L92370","RejectedExecutionException","java.util.concurrent.RejectedExecutionException","L142760","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\util\super\java\util\concurrent\RejectedExecutionException.java","22","1","37","2","0","0","0","0","0","0","0","0","0","0","0","4","0","8","3","0","4","0.2","0.1875","3","3","1","4","0.1875","3","0","0","0","0","0","13","16","0","0","0","0","4","0","4","0","4","3","0","4","0","13","16","0","0","0","0","4","0","4","0","4","3","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7610","TimeoutException","java.util.concurrent.TimeoutException","L142760","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\java\util\super\java\util\concurrent\TimeoutException.java","22","1","28","2","0","0","0","0","0","0","0","0","0","0","0","2","0","55","11","0","2","0.333333","0.333333","3","3","1","2","0.333333","3","0","0","0","0","0","6","7","0","0","0","0","2","0","2","0","2","1","0","2","0","6","7","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","ExtraObjectsMethodsForWeb","com.google.common.base.ExtraObjectsMethodsForWeb","L122","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\com\google\common\base\super\com\google\common\base\ExtraObjectsMethodsForWeb.java","24","1","29","2","0","0","0","0","0","0","0","0","1","0","0","1","0","5","4","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","1","1","0","5","6","0","0","0","0","1","0","1","0","1","0","0","1","0","5","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L286","Platform","com.google.common.base.Platform","L122","L103","D:\PR_assignment_src\guava\guava-gwt\src-super\com\google\common\base\super\com\google\common\base\Platform.java","29","1","75","2","0","0","0","0","0","0","0","0","6","1","1","9","5","9","10","4","12","1","0.243243","9","3","1","0","0.219512","9","0","0","0","0","0","28","43","0","1","0","1","8","0","0","0","8","8","0","0","0","32","47","0","1","0","1","9","0","1","0","9","8","0","1","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L365","Absent_CustomFieldSerializer","com.google.common.base.Absent_CustomFieldSerializer","L122","L103","D:\PR_assignment_src\guava\guava-gwt\src\com\google\common\base\Absent_CustomFieldSerializer.java","32","1","41","2","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","0","3","0.25","0.529412","9","9","1","3","0.529412","9","0","0","0","0","0","8","10","0","0","0","0","3","0","3","0","3","1","0","3","0","8","10","0","0","0","0","3","0","3","0","3","1","0","3","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
