"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1666","AbortException","hudson.AbortException","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\AbortException.java","35","1","48","2","0","0","0","0","0","0","0","0","0","0","0","2","0","31","22","0","2","0.666667","0.578947","11","11","2","1","0.578947","11","0","0","0","0","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4893","AboutJenkins","hudson.AboutJenkins","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\AboutJenkins.java","15","1","41","2","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","5","0.166667","0.185185","5","5","1","5","0.185185","5","3","4","0","0","1","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L4908","AbstractMarkupText","hudson.AbstractMarkupText","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\AbstractMarkupText.java","42","1","166","2","0","0","0","0","0","0","0","0","1","3","3","21","2","10","15","0","13","0.916667","0.561983","68","65","11","1","0.561983","68","0","0","2","2","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4990","BulkChange","hudson.BulkChange","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\BulkChange.java","71","1","167","2","0","0","0","0","0","0","0","0","1","2","2","13","1","21","29","1","8","0.857143","0.642276","79","75","6","1","0.632","79","0","0","0","0","0","44","95","6","0","6","0","7","2","6","0","7","24","2","6","0","46","97","7","0","6","0","8","2","7","0","8","24","3","7","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L5038","ClassicPluginStrategy","hudson.ClassicPluginStrategy","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\ClassicPluginStrategy.java","83","1","892","2","0","0","0","0","0","0","0","0","2","4","4","83","22","11","7","32","56","0.307692","0.162447","77","42","4","9","0.205556","148","2","2","1","1","1","397","558","8","5","8","5","24","2","12","0","24","233","2","12","0","572","810","35","23","15","10","43","2","20","0","108","321","2","61","6","0","0","105","0","0","0","0","0","0","0","2","8","0","2","0","79","0","0","0","0","0","0","0","14","0","0","0","0","0"
"L5520","CloseProofOutputStream","hudson.CloseProofOutputStream","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\CloseProofOutputStream.java","34","1","42","2","0","0","0","0","0","0","0","0","1","0","0","2","1","2","2","1","3","0.333333","0.333333","4","4","1","2","0.333333","4","1","1","0","0","1","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6509","DependencyRunner","hudson.DependencyRunner","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\DependencyRunner.java","44","1","99","2","0","0","0","0","0","0","0","0","1","3","3","8","6","1","1","7","10","0.333333","0.148936","7","3","1","2","0.14","7","0","0","0","0","0","40","53","3","0","3","0","3","0","2","0","3","22","0","2","0","43","56","3","0","3","0","4","0","3","0","4","22","0","3","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5687","DescriptorExtensionList<T extends Describable<T>, D extends Descriptor<T>>","hudson.DescriptorExtensionList","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\DescriptorExtensionList.java","67","1","249","2","0","0","0","0","0","0","0","0","7","3","3","27","11","60","15","15","33","0.75","0.412121","68","66","9","3","0.377778","68","1","1","1","1","1","97","167","11","5","3","2","18","0","11","0","48","40","3","28","0","112","183","15","5","3","2","22","0","13","0","65","44","3","39","0","0","0","40","0","0","0","0","0","0","0","1","0","0","1","0","36","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L7423","DNSMultiCast","hudson.DNSMultiCast","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\DNSMultiCast.java","23","1","92","2","0","0","0","0","0","0","0","0","1","1","1","4","3","2","2","1","3","0.333333","0.407407","11","5","1","2","0.215385","14","0","0","0","0","0","16","26","3","0","3","0","2","1","2","0","2","6","1","2","0","51","70","3","0","3","0","3","1","3","0","3","31","1","3","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L7454","EnvVars","hudson.EnvVars","L104","L103","D:\PR_assignment_src\hudson\core\src\main\java\hudson\EnvVars.java","74","1","439","2","0","0","0","0","0","0","0","0","3","2","2","34","6","74","65","4","20","0.75","0.512195","105","96","12","4","0.405172","141","0","0","0","0","0","100","208","3","1","3","1","16","1","15","0","16","58","1","15","0","207","366","18","4","12","3","27","2","23","0","33","114","3","26","0","0","0","47","0","0","0","0","0","0","0","1","0","0","0","0","35","0","0","0","0","0","0","0","11","0","0","0","0","0"
