"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1541","BitmapCallback","com.koushikdutta.ion.BitmapCallback","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapCallback.java","18","1","150","2","0","0","0","0","0","0","0","0","1","1","1","18","4","16","15","4","10","0","0.0967742","6","0","0","3","0.0677966","8","0","0","4","7","0","56","72","3","1","3","1","6","0","2","0","6","27","0","2","0","110","133","3","1","3","1","8","0","4","0","8","60","0","4","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1673","BitmapFetcher","com.koushikdutta.ion.BitmapFetcher","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapFetcher.java","19","1","159","2","0","0","0","0","0","0","0","0","2","3","3","27","21","8","3","20","27","0","0.106195","12","0","0","6","0.0952381","12","1","1","0","0","1","101","128","12","0","12","0","7","1","5","0","7","56","1","5","0","114","141","12","0","12","0","10","1","8","0","10","59","1","8","0","0","0","38","0","0","0","0","0","0","0","1","0","0","1","0","30","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1819","BitmapInfoToBitmap","com.koushikdutta.ion.BitmapInfoToBitmap","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapInfoToBitmap.java","8","1","26","2","0","0","0","0","0","0","0","0","1","1","1","4","2","1","1","1","3","0","0","0","0","0","2","0","0","0","0","0","0","0","17","19","1","0","1","0","2","0","1","0","2","7","0","1","0","17","19","1","0","1","0","2","0","1","0","2","7","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1821","ContextReference<T extends Object>","com.koushikdutta.ion.ContextReference","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\ContextReference.java","18","1","183","2","0","0","0","0","0","0","0","0","1","1","1","6","3","13","13","2","6","0.25","0.166667","3","3","1","3","0.0202703","3","0","0","4","7","0","15","24","0","1","0","1","4","0","3","0","4","6","0","3","0","145","166","0","8","0","5","23","0","18","0","47","73","0","29","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2713","DataEmitterParser","com.koushikdutta.ion.DataEmitterParser","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\DataEmitterParser.java","16","1","33","2","0","0","0","0","0","0","0","0","2","0","0","3","0","1","0","0","3","0.25","0.157895","3","3","1","3","0.157895","3","0","0","0","0","0","16","18","0","1","0","1","3","0","3","0","3","5","0","3","0","16","18","0","1","0","1","3","0","3","0","3","5","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2726","DefaultTransform","com.koushikdutta.ion.DefaultTransform","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\DefaultTransform.java","10","1","93","2","0","0","0","0","0","0","0","0","1","3","2","18","2","1","1","0","3","0","0.0555556","4","0","0","4","0.0555556","4","1","1","0","0","1","68","84","4","0","4","0","3","0","3","0","3","46","0","3","0","68","84","4","0","4","0","3","0","3","0","3","46","0","3","0","0","0","10","0","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1770","DeferredLoadBitmap","com.koushikdutta.ion.DeferredLoadBitmap","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\DeferredLoadBitmap.java","6","1","15","2","0","0","0","0","0","0","0","0","0","0","0","1","3","5","1","1","2","0.5","0.25","3","3","1","1","0.25","3","1","1","0","0","1","9","10","6","1","3","0","1","1","1","0","7","2","1","3","0","9","10","6","1","3","0","1","1","1","0","7","2","1","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2805","FileCacheStore","com.koushikdutta.ion.FileCacheStore","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\FileCacheStore.java","25","1","190","2","0","0","0","0","0","0","0","0","1","1","1","25","7","5","7","10","34","0.1","0.11215","12","12","2","18","0.0839161","12","0","0","0","0","0","95","130","3","4","3","4","24","0","19","0","24","35","0","19","0","131","166","3","4","3","4","27","0","22","0","27","54","0","22","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","64","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L3338","HeadersResponse","com.koushikdutta.ion.HeadersResponse","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\HeadersResponse.java","8","1","38","2","0","0","0","0","0","0","0","0","1","0","0","6","0","8","4","0","6","0.142857","0.1","3","3","1","6","0.1","3","0","0","0","0","0","27","31","3","1","3","1","6","0","6","0","6","10","0","6","0","27","31","3","1","3","1","6","0","6","0","6","10","0","6","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2934","ImageViewBitmapInfo","com.koushikdutta.ion.ImageViewBitmapInfo","L106","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\ImageViewBitmapInfo.java","10","1","25","2","0","0","0","0","0","0","0","0","0","0","0","3","1","3","0","0","3","0.25","0.176471","3","3","1","3","0.176471","3","0","0","0","0","0","14","16","3","3","3","3","3","0","3","0","3","3","0","3","0","14","16","3","3","3","3","3","0","3","0","3","3","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
