"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L94864","BlockingQueueTest","jsr166.BlockingQueueTest","L94853","L103","D:\PR_assignment_src\j2objc\jre_emul\android\libcore\jsr166-tests\src\test\java\jsr166\BlockingQueueTest.java","27","1","378","2","0","0","0","0","0","0","0","0","1","3","3","41","19","1","0","33","54","1","0.332117","91","90","20","0","0.284375","91","1","1","1","1","1","183","302","25","1","0","0","21","0","19","0","76","128","23","46","2","229","352","25","6","0","0","26","0","24","0","146","163","23","101","2","0","0","49","0","0","0","0","0","0","0","0","0","0","2","0","37","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L95011","ConcurrentLinkedDequeTest","jsr166.ConcurrentLinkedDequeTest","L94853","L103","D:\PR_assignment_src\j2objc\jre_emul\android\libcore\jsr166-tests\src\test\java\jsr166\ConcurrentLinkedDequeTest.java","23","1","903","2","0.469179","18","61","23","0.292849","0.413509","258","251","7","2","2","148","17","0","0","63","126","0.984127","0.248455","201","201","62","1","0.248455","201","1","1","0","0","1","608","881","25","1","0","0","63","0","62","0","118","507","23","89","2","608","881","25","1","0","0","63","0","62","0","118","507","23","89","2","0","0","220","0","0","0","0","0","141","0","1","1","0","5","0","59","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L95257","ConcurrentLinkedQueueTest","jsr166.ConcurrentLinkedQueueTest","L94853","L103","D:\PR_assignment_src\j2objc\jre_emul\android\libcore\jsr166-tests\src\test\java\jsr166\ConcurrentLinkedQueueTest.java","21","1","541","2","0.603966","19","43","19","0.385797","0.55942","201","193","4","2","2","83","16","0","0","40","79","0.974359","0.270042","128","128","38","1","0.270042","128","1","1","0","0","1","346","521","25","1","0","0","39","0","38","0","94","281","23","65","2","346","521","25","1","0","0","39","0","38","0","94","281","23","65","2","0","0","156","0","0","0","0","0","110","0","1","0","0","2","0","33","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L94866","JSR166TestCase","jsr166.JSR166TestCase","L94853","L103","D:\PR_assignment_src\j2objc\jre_emul\android\libcore\jsr166-tests\src\test\java\jsr166\JSR166TestCase.java","128","1","1205","2","0","0","0","0","0","0","0","0","11","4","3","108","44","57","140","60","115","0.678571","0.386686","273","263","19","9","0.299904","311","0","0","3","4","0","433","772","25","1","25","1","55","23","27","2","55","213","23","27","2","726","1078","85","75","35","3","111","29","57","2","761","315","33","571","17","0","0","326","0","0","0","0","0","0","0","2","0","0","4","0","250","0","20","0","0","0","0","0","50","0","0","0","0","0"
"L95936","LinkedTransferQueueTest","jsr166.LinkedTransferQueueTest","L94853","L103","D:\PR_assignment_src\j2objc\jre_emul\android\libcore\jsr166-tests\src\test\java\jsr166\LinkedTransferQueueTest.java","27","1","1053","2","0.0784983","5","10","6","0.06037","0.0772414","62","56","6","2","2","113","32","0","0","78","136","0.982456","0.25","203","202","56","1","0.21875","203","2","2","0","0","1","609","908","25","1","0","0","58","0","56","0","133","481","23","102","2","725","1027","25","20","0","0","77","0","75","0","399","573","23","311","2","0","0","231","0","0","0","0","0","52","0","1","0","0","4","0","161","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L185360","AsyncTimeout","okio.AsyncTimeout","L185317","L103","D:\PR_assignment_src\j2objc\jre_emul\android\platform\external\okhttp\okio\okio\src\main\java\okio\AsyncTimeout.java","40","1","332","2","0.106195","1","4","2","0.0819113","0.125","24","24","4","3","3","33","14","7","25","14","26","0.8","0.455497","87","73","4","1","0.316726","89","2","2","2","2","1","104","193","8","1","4","0","12","0","4","0","34","67","1","24","0","192","293","34","15","4","0","23","0","15","0","146","114","4","120","6","0","0","85","0","0","0","0","0","26","0","3","0","0","1","0","42","0","2","0","0","0","0","0","11","0","0","0","0","0"
"L185475","Base64","okio.Base64","L185317","L103","D:\PR_assignment_src\j2objc\jre_emul\android\platform\external\okhttp\okio\okio\src\main\java\okio\Base64.java","25","1","162","2","0.337563","1","5","1","0.166667","0.216981","23","23","2","7","2","35","5","1","3","6","11","0","0.145161","18","0","0","4","0.145161","18","1","1","0","0","1","106","138","2","1","2","0","5","0","3","0","17","76","0","13","0","106","138","2","1","2","0","5","0","3","0","17","76","0","13","0","0","0","27","0","0","0","0","0","12","0","1","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L185423","Buffer","okio.Buffer","L185317","L103","D:\PR_assignment_src\j2objc\jre_emul\android\platform\external\okhttp\okio\okio\src\main\java\okio\Buffer.java","45","1","1431","2","0.0274705","2","11","4","0.0310022","0.0356455","43","37","11","6","5","307","32","42","208","53","140","0.204819","0.156928","188","51","17","66","0.153344","188","4","9","0","0","4","1010","1351","4","2","4","1","87","0","82","0","101","752","0","94","0","1038","1387","5","4","4","1","97","0","92","0","147","761","0","136","0","0","0","234","0","0","0","0","0","23","0","3","15","0","3","0","177","0","2","0","0","0","0","0","11","0","0","0","0","0"
"L185641","ByteString","okio.ByteString","L185317","L103","D:\PR_assignment_src\j2objc\jre_emul\android\platform\external\okhttp\okio\okio\src\main\java\okio\ByteString.java","44","1","373","2","0.172775","1","10","2","0.115152","0.144231","38","30","1","3","3","85","25","13","91","27","59","0.851852","0.311258","94","84","23","4","0.311258","94","1","3","1","1","3","208","330","6","2","6","1","32","1","26","0","44","152","1","36","0","208","330","6","2","6","1","32","1","26","0","44","152","1","36","0","0","0","52","0","0","0","0","0","17","0","0","0","0","1","0","25","0","1","0","0","0","0","0","8","0","0","0","0","0"
"L186119","ForwardingSink","okio.ForwardingSink","L185317","L103","D:\PR_assignment_src\j2objc\jre_emul\android\platform\external\okhttp\okio\okio\src\main\java\okio\ForwardingSink.java","21","1","53","2","0","0","0","0","0","0","0","0","1","1","1","8","9","4","0","9","16","0.25","0.0740741","2","2","2","6","0.0740741","2","3","5","3","3","2","25","33","1","1","1","0","7","0","7","0","19","9","0","17","0","25","33","1","1","1","0","7","0","7","0","19","9","0","17","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","15","0","1","0","0","0","0","0","0","0","0","0","0","0"
