"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L17393","DomainAppFixturesProvider","domainapp.fixture.DomainAppFixturesProvider","L17385","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\fixture\src\main\java\domainapp\fixture\DomainAppFixturesProvider.java","28","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.214286","3","3","1","1","0.214286","3","0","0","0","0","0","11","11","0","1","0","1","1","0","1","0","1","1","0","1","0","11","11","0","1","0","1","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17603","SimpleApplication","domainapp.webapp.SimpleApplication","L17595","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\webapp\src\main\java\domainapp\webapp\SimpleApplication.java","65","1","158","2","0","0","0","0","0","0","0","0","4","2","2","10","0","0","0","0","5","0.333333","0.329412","28","26","1","2","0.285714","28","0","0","0","0","0","57","81","2","0","2","0","5","0","2","0","5","26","0","2","0","70","94","2","0","2","0","6","0","2","0","6","32","0","2","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L128","AbstractDocument","com.iluwatar.abstractdocument.AbstractDocument","L106","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\AbstractDocument.java","35","1","72","2","0","0","0","0","0","0","0","0","1","0","0","6","1","4","7","0","5","0.2","0.0882353","3","3","1","4","0.0882353","3","1","1","3","3","1","31","38","1","0","1","0","5","0","4","0","5","12","0","4","0","31","38","1","0","1","0","5","0","4","0","5","12","0","4","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","App","com.iluwatar.abstractdocument.App","L106","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\App.java","47","1","91","2","0","0","0","0","0","0","0","0","1","0","0","2","5","1","1","4","6","1","0.4","18","18","3","0","0.4","18","0","0","0","0","0","27","45","1","0","1","0","2","0","2","0","2","20","0","2","0","27","45","1","0","1","0","2","0","2","0","2","20","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L351","AbstractDocumentTest","com.iluwatar.abstractdocument.AbstractDocumentTest","L106","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AbstractDocumentTest.java","39","1","88","2","0","0","0","0","0","0","0","0","1","0","0","4","2","0","0","5","9","0.2","0.0810811","3","3","1","4","0.0714286","3","0","0","0","0","0","34","44","3","0","3","0","4","0","4","0","4","17","0","4","0","39","50","4","0","3","0","5","0","4","0","10","18","0","8","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L380","AppTest","com.iluwatar.abstractdocument.AppTest","L106","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AppTest.java","30","1","37","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0.5","0.333333","3","3","1","1","0.333333","3","0","0","0","0","0","6","8","0","0","0","0","1","0","1","0","1","1","0","1","0","6","8","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L385","DomainTest","com.iluwatar.abstractdocument.DomainTest","L106","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\DomainTest.java","42","1","77","2","0","0","0","0","0","0","0","0","2","0","0","2","6","0","0","6","8","0.333333","0.09375","3","3","1","2","0.09375","3","0","0","0","0","0","29","36","5","0","5","0","2","0","2","0","2","16","0","2","0","29","36","5","0","5","0","2","0","2","0","2","16","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L442","App","com.iluwatar.abstractfactory.App","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\App.java","43","1","120","2","0","0","0","0","0","0","0","0","1","0","0","11","6","2","6","6","17","0.5","0.32","24","24","3","3","0.32","24","0","0","0","0","0","51","78","4","6","4","6","11","0","5","3","11","23","0","5","3","51","78","4","6","4","6","11","0","5","3","11","23","0","5","3","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L520","ElfArmy","com.iluwatar.abstractfactory.ElfArmy","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfArmy.java","30","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.5","0.416667","5","5","1","1","0.416667","5","1","1","0","0","1","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L526","ElfCastle","com.iluwatar.abstractfactory.ElfCastle","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfCastle.java","30","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.5","0.416667","5","5","1","1","0.416667","5","1","1","0","0","1","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L532","ElfKing","com.iluwatar.abstractfactory.ElfKing","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKing.java","30","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.5","0.416667","5","5","1","1","0.416667","5","1","1","0","0","1","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L499","ElfKingdomFactory","com.iluwatar.abstractfactory.ElfKingdomFactory","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKingdomFactory.java","30","1","44","2","0","0","0","0","0","0","0","0","3","0","0","3","7","2","0","0","3","0.25","0.3125","5","5","1","3","0.3125","5","1","1","0","0","1","11","15","0","0","0","0","3","0","3","0","3","3","0","3","0","11","15","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L553","OrcArmy","com.iluwatar.abstractfactory.OrcArmy","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcArmy.java","30","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.5","0.416667","5","5","1","1","0.416667","5","1","1","0","0","1","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L559","OrcCastle","com.iluwatar.abstractfactory.OrcCastle","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcCastle.java","30","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.5","0.416667","5","5","1","1","0.416667","5","1","1","0","0","1","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L565","OrcKing","com.iluwatar.abstractfactory.OrcKing","L414","L103","D:\PR_assignment_src\java-design-patterns\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcKing.java","30","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0.5","0.416667","5","5","1","1","0.416667","5","1","1","0","0","1","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","7","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
