"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L138","Atomic1","com.winterbe.java8.samples.concurrent.Atomic1","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\Atomic1.java","11","1","70","2","0.573248","1","2","2","0.533333","0.514286","32","18","1","0","0","4","1","0","0","1","5","0.5","0.0789474","3","3","1","1","0.0789474","3","0","0","0","0","0","35","60","2","0","2","0","4","0","1","0","4","18","0","1","0","35","60","2","0","2","0","4","0","1","0","4","18","0","1","0","0","0","28","0","0","0","0","0","17","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L191","CompletableFuture1","com.winterbe.java8.samples.concurrent.CompletableFuture1","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\CompletableFuture1.java","9","1","22","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0.5","0.25","3","3","1","1","0.25","3","0","0","0","0","0","9","14","0","0","0","0","1","0","1","0","1","3","0","1","0","9","14","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L214","ConcurrentHashMap1","com.winterbe.java8.samples.concurrent.ConcurrentHashMap1","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\ConcurrentHashMap1.java","9","1","77","2","0.212389","1","2","2","0.318841","0.190476","22","8","1","0","0","4","0","0","0","0","4","0.5","0.0869565","4","3","1","1","0.0869565","4","0","0","0","0","0","42","69","0","0","0","0","4","0","1","0","4","29","0","1","0","42","69","0","0","0","0","4","0","1","0","4","29","0","1","0","0","0","22","0","0","0","0","0","11","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L251","ConcurrentUtils","com.winterbe.java8.samples.concurrent.ConcurrentUtils","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\ConcurrentUtils.java","9","1","35","2","0","0","0","0","0","0","0","0","2","2","2","5","0","13","18","0","2","0.333333","0.111111","3","3","1","2","0.111111","3","0","0","0","0","0","24","27","0","0","0","0","2","0","2","0","2","10","0","2","0","24","27","0","0","0","0","2","0","2","0","2","10","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L276","Executors1","com.winterbe.java8.samples.concurrent.Executors1","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\Executors1.java","10","1","49","2","0","0","0","0","0","0","0","0","1","2","2","5","0","0","0","0","3","0.5","0.125","4","3","1","1","0.125","4","0","0","0","0","0","28","40","0","0","0","0","3","0","1","0","3","13","0","1","0","28","40","0","0","0","0","3","0","1","0","3","13","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L294","Executors2","com.winterbe.java8.samples.concurrent.Executors2","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\Executors2.java","13","1","77","2","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","4","0.5","0.151515","5","3","1","1","0.151515","5","0","0","0","0","0","28","65","0","0","0","0","4","0","1","0","4","15","0","1","0","28","65","0","0","0","0","4","0","1","0","4","15","0","1","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L325","Executors3","com.winterbe.java8.samples.concurrent.Executors3","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\Executors3.java","16","1","108","2","0","0","0","0","0","0","0","0","5","0","0","7","0","0","0","0","7","0.5","0.114754","7","3","1","1","0.114754","7","0","0","0","0","0","54","93","0","0","0","0","7","0","1","0","7","26","0","1","0","54","93","0","0","0","0","7","0","1","0","7","26","0","1","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L392","Lock1","com.winterbe.java8.samples.concurrent.Lock1","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\Lock1.java","11","1","45","2","0.52","1","1","1","0.342857","0.333333","12","8","1","1","1","3","1","0","0","1","4","0.5","0.111111","3","3","1","1","0.111111","3","0","0","0","0","0","24","35","3","0","3","0","3","0","1","0","3","10","0","1","0","24","35","3","0","3","0","3","0","1","0","3","10","0","1","0","0","0","19","0","0","0","0","0","10","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L415","Lock2","com.winterbe.java8.samples.concurrent.Lock2","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\Lock2.java","10","1","36","2","0.969697","1","1","1","0.851852","0.818182","23","9","1","0","0","1","1","0","0","1","2","0.5","0.214286","3","3","1","1","0.214286","3","0","0","0","0","0","11","27","0","0","0","0","1","0","1","0","1","5","0","1","0","11","27","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","16","0","0","0","0","0","11","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L422","Lock3","com.winterbe.java8.samples.concurrent.Lock3","L108","L103","D:\PR_assignment_src\java8-tutorial\src\com\winterbe\java8\samples\concurrent\Lock3.java","13","1","47","2","0.98","1","1","1","0.885714","0.857143","31","12","1","0","0","1","1","0","0","1","2","0.5","0.176471","3","3","1","1","0.176471","3","0","0","0","0","0","14","35","0","0","0","0","1","0","1","0","1","8","0","1","0","14","35","0","0","0","0","1","0","1","0","1","8","0","1","0","0","0","17","0","0","0","0","0","12","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
