"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L169","BinaryClient","redis.clients.jedis.BinaryClient","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","33","1","1303","2","0.0599613","2","6","4","0.0314713","0.0367722","40","36","5","2","2","273","17","16","609","28","283","0","0.00102775","1","0","0","252","0.00102041","1","1","1","1","1","1","972","1263","17","18","4","2","255","0","251","2","292","408","0","286","7","979","1271","20","18","7","2","256","3","251","2","293","409","3","286","7","0","0","567","0","0","0","0","0","24","0","1","1","0","2","0","518","0","0","0","0","0","0","0","21","0","0","0","0","0"
"L1573","BinaryJedis","redis.clients.jedis.BinaryJedis","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryJedis.java","36","1","3741","2","0.0341408","4","12","7","0.0151106","0.0312309","56","51","1","2","2","286","40","225","820","257","513","0.454183","0.533554","1773","1771","114","137","0.521535","1780","1","5","1","2","5","1550","3603","3","6","3","6","256","0","250","0","256","762","0","250","0","1633","3706","5","6","5","6","273","0","265","1","273","788","0","265","1","0","0","377","0","0","0","0","0","31","0","0","1","0","4","0","322","0","1","0","0","0","0","0","18","0","0","0","0","0"
"L3080","BinaryJedisCluster","redis.clients.jedis.BinaryJedisCluster","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryJedisCluster.java","22","1","1865","2","0.167755","11","33","29","0.145336","0.155204","268","255","1","1","1","187","27","4","25","14","194","0","0.00104822","1","0","0","181","0.000608273","1","1","3","1","1","3","953","1154","5","2","5","2","180","1","180","0","180","209","1","180","0","1643","1844","9","2","5","2","352","1","352","0","1728","383","1","1384","0","0","0","1651","0","0","0","0","0","405","0","0","1","0","2","0","1223","0","1","0","0","0","0","0","19","0","0","0","0","0"
"L2657","BinaryJedisPubSub","redis.clients.jedis.BinaryJedisPubSub","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryJedisPubSub.java","15","1","127","2","0","0","0","0","0","0","0","0","1","7","2","25","5","10","9","9","26","0","0","0","0","0","17","0","0","0","0","5","5","0","96","113","2","1","2","1","17","0","16","0","17","54","0","16","0","96","113","2","1","2","1","17","0","16","0","17","54","0","16","0","0","0","40","0","0","0","0","0","0","0","0","2","0","0","0","37","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L5282","BinaryShardedJedis","redis.clients.jedis.BinaryShardedJedis","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryShardedJedis.java","19","1","882","2","0","0","0","0","0","0","0","0","4","2","2","146","20","6","16","146","289","0","0.00277393","2","0","0","143","0.00277393","2","1","2","1","1","2","719","864","6","8","0","1","143","0","142","0","155","285","2","153","0","719","864","6","8","0","1","143","0","142","0","155","285","2","153","0","0","0","307","0","0","0","0","0","0","0","1","1","0","3","0","289","0","1","0","0","0","0","0","12","0","0","0","0","0"
"L1200","BitPosParams","redis.clients.jedis.BitPosParams","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BitPosParams.java","8","1","27","2","0","0","0","0","0","0","0","0","0","0","0","4","1","8","8","1","5","0","0","0","0","0","4","0","0","0","0","0","0","0","15","20","1","1","1","1","4","0","3","0","4","4","0","3","0","15","20","1","1","1","1","4","0","3","0","4","4","0","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5837","Builder<T extends Object>","redis.clients.jedis.Builder","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\Builder.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","1","0","30","23","0","1","0","0","0","0","0","2","0","0","0","0","22","22","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L5843","BuilderFactory","redis.clients.jedis.BuilderFactory","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java","16","1","488","2","0.141316","3","18","5","0.12685","0.141753","60","55","0","0","0","1","10","8","0","8","9","0","0","0","0","0","1","0.0127226","5","0","0","0","0","0","47","66","21","0","21","0","1","21","0","0","1","1","21","0","0","388","473","21","0","21","0","47","21","42","0","47","169","21","42","0","0","0","239","0","0","0","0","0","47","0","21","2","0","0","0","160","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L1596","Client","redis.clients.jedis.Client","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\Client.java","23","1","1220","2","0","0","0","0","0","0","0","0","169","1","1","254","17","13","412","184","404","0","0","0","0","0","218","0","0","2","3","0","0","2","976","1198","17","20","0","2","220","0","217","0","521","392","0","512","7","976","1198","17","20","0","2","220","0","217","0","521","392","0","512","7","0","0","464","0","0","0","0","0","0","0","1","1","0","3","0","443","0","1","0","0","0","0","0","15","0","0","0","0","0"
"L170","Connection","redis.clients.jedis.Connection","L106","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\Connection.java","24","1","329","2","0","0","0","0","0","0","0","0","1","4","4","65","10","23","712","13","50","0","0.071161","19","0","0","36","0.071161","19","0","0","2","3","0","248","306","13","16","13","16","37","0","35","5","37","120","0","35","5","248","306","13","16","13","16","37","0","35","5","37","120","0","35","5","0","0","87","0","0","0","0","0","0","0","0","2","0","0","0","75","0","0","0","0","0","0","0","10","0","0","0","0","0"
