"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L48937","StreamsResetter","kafka.tools.StreamsResetter","L50802","L103","D:\PR_assignment_src\kafka\core\src\main\scala\kafka\tools\StreamsResetter.java","61","1","277","2","0","0","0","0","0","0","0","0","1","4","3","37","7","1","1","10","19","0.25","0.101449","21","21","1","3","0.101449","21","0","0","0","0","0","186","217","10","0","10","0","9","0","3","0","9","96","0","3","0","186","217","10","0","10","0","9","0","3","0","9","96","0","3","0","0","0","26","0","0","0","0","0","0","0","0","1","0","1","0","21","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L50864","Consumer","kafka.examples.Consumer","L50852","L103","D:\PR_assignment_src\kafka\examples\src\main\java\kafka\examples\Consumer.java","28","1","65","2","0","0","0","0","0","0","0","0","3","1","1","5","5","1","1","6","10","0","0","0","0","0","5","0","0","0","0","0","0","0","33","38","2","0","2","0","4","0","4","0","4","17","0","4","0","33","38","2","0","2","0","4","0","4","0","4","17","0","4","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50881","KafkaConsumerProducerDemo","kafka.examples.KafkaConsumerProducerDemo","L50852","L103","D:\PR_assignment_src\kafka\examples\src\main\java\kafka\examples\KafkaConsumerProducerDemo.java","19","1","29","2","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","9","11","0","0","0","0","1","0","1","0","1","5","0","1","0","9","11","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50895","KafkaProperties","kafka.examples.KafkaProperties","L50852","L103","D:\PR_assignment_src\kafka\examples\src\main\java\kafka\examples\KafkaProperties.java","19","1","30","2","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","11","12","8","0","8","0","1","8","0","0","1","0","8","0","0","11","12","8","0","8","0","1","8","0","0","1","0","8","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L50885","Producer","kafka.examples.Producer","L50852","L103","D:\PR_assignment_src\kafka\examples\src\main\java\kafka\examples\Producer.java","27","1","65","2","0","0","0","0","0","0","0","0","1","3","3","5","4","2","2","5","7","0","0.0512821","2","0","0","3","0.0512821","2","0","0","0","0","0","37","39","3","0","3","0","2","0","2","0","2","19","0","2","0","37","39","3","0","3","0","2","0","2","0","2","19","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50914","DemoCallBack","kafka.examples.DemoCallBack","L50852","L103","D:\PR_assignment_src\kafka\examples\src\main\java\kafka\examples\Producer.java","67","1","99","2","0","0","0","0","0","0","0","0","1","1","1","3","2","1","1","2","4","0.333333","0.3","9","9","1","2","0.3","9","1","1","0","0","1","21","33","3","0","3","0","2","0","2","0","2","7","0","2","0","21","33","3","0","3","0","2","0","2","0","2","7","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50932","SimpleConsumerDemo","kafka.examples.SimpleConsumerDemo","L50852","L103","D:\PR_assignment_src\kafka\examples\src\main\java\kafka\examples\SimpleConsumerDemo.java","33","1","92","2","0","0","0","0","0","0","0","0","1","2","2","7","2","0","0","1","4","0","0","0","0","0","2","0","0","0","0","0","0","0","54","60","0","0","0","0","3","0","1","0","3","30","0","1","0","54","60","0","0","0","0","3","0","1","0","3","30","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L142","ClientRequest","org.apache.kafka.clients.ClientRequest","L107","L103","D:\PR_assignment_src\kafka\clients\src\main\java\org\apache\kafka\clients\ClientRequest.java","21","1","86","2","0","0","0","0","0","0","0","0","1","0","0","8","3","8","20","0","8","0.222222","0.186441","11","11","2","7","0.186441","11","0","0","0","0","0","48","66","6","0","6","0","8","0","8","0","8","13","0","8","0","48","66","6","0","6","0","8","0","8","0","8","13","0","8","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L197","ClientResponse","org.apache.kafka.clients.ClientResponse","L107","L103","D:\PR_assignment_src\kafka\clients\src\main\java\org\apache\kafka\clients\ClientResponse.java","22","1","104","2","0","0","0","0","0","0","0","0","1","1","1","11","3","21","24","1","11","0.181818","0.173333","13","13","2","9","0.173333","13","0","0","0","0","0","62","83","7","0","7","0","10","0","10","0","10","17","0","10","0","62","83","7","0","7","0","10","0","10","0","10","17","0","10","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L239","ClientUtils","org.apache.kafka.clients.ClientUtils","L107","L103","D:\PR_assignment_src\kafka\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java","35","1","88","2","0","0","0","0","0","0","0","0","2","4","4","14","9","4","7","6","9","0.25","0.0833333","4","4","1","3","0.0833333","4","0","0","0","0","0","44","54","1","0","1","0","3","0","3","0","3","26","0","3","0","44","54","1","0","1","0","3","0","3","0","3","26","0","3","0","0","0","10","0","0","0","0","0","0","0","1","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
