"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L216","AnalysisResult","com.squareup.leakcanary.AnalysisResult","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\AnalysisResult.java","20","1","79","2","0","0","0","0","0","0","0","0","1","0","0","4","1","12","2","0","4","0","0.387755","19","19","0","4","0.387755","19","0","0","0","0","0","30","60","7","0","7","0","4","7","3","0","4","10","7","3","0","30","60","7","0","7","0","4","7","3","0","4","10","7","3","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L278","HahaHelper","com.squareup.leakcanary.HahaHelper","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","33","1","174","2","0","0","0","0","0","0","0","0","4","2","2","28","1","3","11","1","14","0","0.120968","15","0","0","3","0.120968","15","0","0","0","0","0","109","142","1","0","1","0","13","0","2","0","13","61","0","2","0","109","142","1","0","1","0","13","0","2","0","13","61","0","2","0","0","0","28","0","0","0","0","0","0","0","1","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L401","HeapAnalyzer","com.squareup.leakcanary.HeapAnalyzer","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HeapAnalyzer.java","58","1","378","2","0","0","0","0","0","0","0","0","1","7","5","56","12","3","5","16","30","0.5","0.120567","34","19","2","2","0.119298","34","0","0","0","0","0","248","318","2","1","2","1","14","0","3","0","14","165","0","3","0","251","321","2","1","2","1","15","0","4","0","15","166","0","4","0","0","0","38","0","0","0","0","0","0","0","0","4","0","1","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L540","LeakNode","com.squareup.leakcanary.LeakNode","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\LeakNode.java","20","1","36","2","0","0","0","0","0","0","0","0","0","0","0","1","3","3","3","0","1","0","0.0625","1","1","0","1","0.0625","1","0","0","0","0","0","15","17","5","0","5","0","1","0","0","0","1","5","0","0","0","15","17","5","0","5","0","1","0","0","0","1","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","LeakTrace","com.squareup.leakcanary.LeakTrace","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\LeakTrace.java","28","1","60","2","0","0","0","0","0","0","0","0","1","3","2","7","1","5","2","1","4","0.333333","0.121212","4","4","1","2","0.121212","4","0","0","0","0","0","29","33","1","0","1","0","3","1","2","0","3","18","1","2","0","29","33","1","0","1","0","3","1","2","0","3","18","1","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L544","LeakTraceElement","com.squareup.leakcanary.LeakTraceElement","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\LeakTraceElement.java","30","1","113","2","0","0","0","0","0","0","0","0","1","2","1","12","3","6","2","0","3","0.333333","0.0967742","6","6","1","2","0.0882353","6","0","0","0","0","0","56","78","7","0","7","0","3","7","2","0","3","31","7","2","0","62","84","15","0","15","0","3","15","2","0","3","31","15","2","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","15","0","0","0","0","0"
"L511","ShortestPathFinder","com.squareup.leakcanary.ShortestPathFinder","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\ShortestPathFinder.java","49","1","319","2","0","0","0","0","0","0","0","0","1","5","4","76","8","1","1","6","17","1","0.0806452","20","7","1","0","0.078125","20","0","0","0","0","0","228","262","7","0","7","0","11","0","0","0","11","133","0","0","0","236","271","9","0","9","0","12","0","0","0","12","135","0","0","0","0","0","37","0","0","0","0","0","0","0","0","6","0","0","0","29","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L413","TrackedReference","com.squareup.leakcanary.TrackedReference","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\TrackedReference.java","11","1","31","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","1","0.5","0.4","8","8","1","1","0.4","8","0","0","0","0","0","12","21","4","0","4","0","1","4","1","0","1","4","4","1","0","12","21","4","0","4","0","1","4","1","0","1","4","4","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L849","AsyncTaskLeakTest","com.squareup.leakcanary.AsyncTaskLeakTest","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\test\java\com\squareup\leakcanary\AsyncTaskLeakTest.java","39","1","105","2","0","0","0","0","0","0","0","0","2","0","0","7","10","0","0","7","13","0","0.0645161","4","0","0","7","0.0645161","4","0","0","0","0","0","58","67","6","0","6","0","6","0","6","1","6","29","0","6","1","58","67","6","0","6","0","6","0","6","1","6","29","0","6","1","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L908","FakeHprofBuffer","com.squareup.leakcanary.FakeHprofBuffer","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\test\java\com\squareup\leakcanary\FakeHprofBuffer.java","8","1","101","2","0","0","0","0","0","0","0","0","12","1","1","22","0","1","4","0","15","0","0","0","0","0","16","0","0","0","0","0","0","0","77","94","6","0","6","0","15","0","15","3","15","23","0","15","3","77","94","6","0","6","0","15","0","15","3","15","23","0","15","3","0","0","35","0","0","0","0","0","0","0","1","0","0","0","0","33","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L972","HahaHelperTest","com.squareup.leakcanary.HahaHelperTest","L140","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\test\java\com\squareup\leakcanary\HahaHelperTest.java","16","1","146","2","0.393258","2","5","5","0.343511","0.359223","45","37","1","1","1","11","2","0","0","3","13","0","0.0190476","2","0","0","6","0.0190476","2","0","0","0","0","0","103","131","9","0","9","0","10","0","5","1","10","49","0","5","1","103","131","9","0","9","0","10","0","5","1","10","49","0","5","1","0","0","47","0","0","0","0","0","24","0","0","0","0","0","0","21","0","0","0","0","0","0","0","2","0","0","0","0","0"
