"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L178694","Utf8","avian.Utf8","L178691","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\avian\Utf8.java","15","1","104","2","0","0","0","0","0","0","0","0","3","5","3","26","2","1","1","4","11","0","0.0879121","8","0","0","5","0.0879121","8","0","0","0","0","0","83","90","0","0","0","0","7","0","4","0","7","71","0","4","0","83","90","0","0","0","0","7","0","4","0","7","71","0","4","0","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7223","BufferedInputStream","java.io.BufferedInputStream","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\BufferedInputStream.java","19","1","27","2","0","0","0","0","0","0","0","0","0","0","0","2","2","12","11","1","3","0","0","0","0","0","3","0","0","3","3","0","0","1","8","9","1","0","0","0","2","0","2","0","16","2","0","15","0","8","9","1","0","0","0","2","0","2","0","16","2","0","15","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23120","BufferedReader","java.io.BufferedReader","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\BufferedReader.java","13","1","108","2","0","0","0","0","0","0","0","0","1","5","5","23","2","29","29","5","11","0","0","0","0","0","6","0","0","2","3","0","0","1","82","96","5","0","4","0","6","0","5","0","16","50","0","13","0","82","96","5","0","4","0","6","0","5","0","16","50","0","13","0","0","0","18","0","0","0","0","0","0","0","0","3","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L140858","BufferedWriter","java.io.BufferedWriter","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\BufferedWriter.java","13","1","53","2","0","0","0","0","0","0","0","0","1","1","1","8","2","4","3","5","11","0","0","0","0","0","6","0","0","2","3","0","0","1","35","41","5","0","3","0","6","0","5","0","16","15","0","12","0","35","41","5","0","3","0","6","0","5","0","16","15","0","12","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26499","ByteArrayInputStream","java.io.ByteArrayInputStream","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\ByteArrayInputStream.java","18","1","92","2","0","0","0","0","0","0","0","0","3","2","1","20","2","5","10","1","11","0","0","0","0","0","11","0","0","2","2","1","1","1","62","75","4","0","4","0","10","0","10","0","14","31","0","14","0","62","75","4","0","4","0","10","0","10","0","14","31","0","14","0","0","0","24","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9945","ByteArrayOutputStream","java.io.ByteArrayOutputStream","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\ByteArrayOutputStream.java","19","1","60","2","0","0","0","0","0","0","0","0","1","1","1","8","3","12","15","1","8","0","0","0","0","0","8","0","0","1","1","1","1","1","33","42","2","0","2","0","7","0","7","0","12","13","0","12","0","33","42","2","0","2","0","7","0","7","0","12","13","0","12","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L29428","DataInputStream","java.io.DataInputStream","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\DataInputStream.java","21","1","158","2","0","0","0","0","0","0","0","0","3","2","2","28","5","9","51","6","26","0","0.00869565","1","0","0","20","0.00869565","1","2","3","1","1","2","114","138","1","0","1","0","20","0","19","0","24","60","0","23","0","114","138","1","0","1","0","20","0","19","0","24","60","0","23","0","0","0","44","0","0","0","0","0","0","0","1","0","0","0","0","41","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L29450","DataOutputStream","java.io.DataOutputStream","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\DataOutputStream.java","21","1","101","2","0","0","0","0","0","0","0","0","2","3","2","19","4","10","53","5","18","0","0","0","0","0","14","0","0","1","2","2","3","2","67","81","1","0","1","0","13","0","13","0","20","37","0","20","0","67","81","1","0","1","0","13","0","13","0","20","37","0","20","0","0","0","31","0","0","0","0","0","0","0","1","0","0","0","0","29","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L6843","EOFException","java.io.EOFException","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\EOFException.java","19","1","21","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1337","File","java.io.File","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\File.java","27","1","316","2","0","0","0","0","0","0","0","0","11","3","3","81","2","106","247","5","44","0.128205","0.0829876","20","18","5","34","0.0829876","20","0","0","0","0","0","221","290","9","8","9","8","39","6","38","2","39","111","6","38","2","221","290","9","8","9","8","39","6","38","2","39","111","6","38","2","0","0","86","0","0","0","0","0","0","0","1","1","0","0","0","73","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L6755","FileNotFoundException","java.io.FileNotFoundException","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\FileNotFoundException.java","19","1","28","2","0","0","0","0","0","0","0","0","0","0","0","2","0","7","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","8","10","0","0","0","0","2","0","2","0","2","2","0","2","0","8","10","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L142173","FileWriter","java.io.FileWriter","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\FileWriter.java","19","1","46","2","0","0","0","0","0","0","0","0","1","1","1","5","3","2","1","5","9","0","0.190476","4","0","0","5","0.190476","4","0","0","0","0","0","17","28","1","0","1","0","4","0","4","0","4","7","0","4","0","17","28","1","0","1","0","4","0","4","0","4","7","0","4","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10577","FilterInputStream","java.io.FilterInputStream","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\FilterInputStream.java","19","1","59","2","0","0","0","0","0","0","0","0","5","0","0","10","1","4","9","4","14","0","0","0","0","0","10","0","0","2","2","4","4","1","31","41","1","0","1","0","10","0","9","0","14","8","0","13","0","31","41","1","0","1","0","10","0","9","0","14","8","0","13","0","0","0","24","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1370","InputStream","java.io.InputStream","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\InputStream.java","19","1","46","2","0","0","0","0","0","0","0","0","3","2","2","8","1","68","68","0","5","0","0","0","0","0","6","0","0","1","1","8","15","1","22","28","0","0","0","0","5","0","5","0","5","11","0","5","0","22","28","0","0","0","0","5","0","5","0","5","11","0","5","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23105","InputStreamReader","java.io.InputStreamReader","L178728","L103","D:\PR_assignment_src\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\emu\java\io\InputStreamReader.java","15","1","43","2","0","0","0","0","0","0","0","0","1","0","0","5","4","19","33","5","9","0","0.173913","4","0","0","5","0.173913","4","2","3","0","0","1","19","29","3","0","2","0","4","0","4","0","14","7","0","12","0","19","29","3","0","2","0","4","0","4","0","14","7","0","12","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
