"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L78437","<error>","<error>.<error>","L78424","L103","D:\PR_assignment_src\liferay-plugins\tools\templates\portlet_spring_mvc_tmpl\docroot\WEB-INF\src\PortletViewController.java","23","1","34","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","9","12","2","0","2","0","1","0","0","0","1","2","0","0","0","9","12","2","0","2","0","1","0","0","0","1","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L78443","<error>","<error>.<error>","L78424","L103","D:\PR_assignment_src\liferay-plugins\tools\templates\portlet_vaadin_tmpl\docroot\WEB-INF\src\Application.java","7","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","9","14","2","0","2","0","0","0","0","0","0","0","0","0","0","9","14","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L35293","FoodItemComponentImpl","com.liferay.samplehibernate.FoodItemComponentImpl","L35284","L103","D:\PR_assignment_src\liferay-plugins\portlets\sample-hibernate-portlet\docroot\WEB-INF\src\com\liferay\samplehibernate\FoodItemComponentImpl.java","36","1","95","2","0","0","0","0","0","0","0","0","1","2","2","9","2","1","1","2","5","0.25","0.0652174","3","3","1","3","0.0652174","3","0","0","0","0","0","43","60","1","2","1","2","3","0","3","0","3","23","0","3","0","43","60","1","2","1","2","3","0","3","0","3","23","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L42062","FooCustomAttributesDisplay","com.liferay.sampleservicebuilder.FooCustomAttributesDisplay","L38387","L103","D:\PR_assignment_src\liferay-plugins\portlets\sample-service-builder-portlet\docroot\WEB-INF\src\com\liferay\sampleservicebuilder\FooCustomAttributesDisplay.java","23","1","30","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.333333","3","3","1","1","0.333333","3","0","0","0","0","0","6","8","0","1","0","1","1","0","1","0","1","1","0","1","0","6","8","0","1","0","1","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L42154","SampleException","com.liferay.samplestruts.SampleException","L42121","L103","D:\PR_assignment_src\liferay-plugins\portlets\sample-struts-portlet\docroot\WEB-INF\src\com\liferay\samplestruts\SampleException.java","22","1","39","2","0","0","0","0","0","0","0","0","0","0","0","4","0","2","2","0","4","0.2","0.1875","3","3","1","4","0.1875","3","0","0","0","0","0","13","18","0","0","0","0","4","0","4","0","4","3","0","4","0","13","18","0","0","0","0","4","0","4","0","4","3","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L75365","AlarmCleaner","com.liferay.amazontools.AlarmCleaner","L75353","L103","D:\PR_assignment_src\liferay-plugins\shared\amazon-tools-shared\src\com\liferay\amazontools\AlarmCleaner.java","35","1","188","2","0.262599","2","4","2","0.246753","0.261682","38","28","1","3","3","19","1","0","0","1","8","0.25","0.0272727","3","3","1","3","0.0272727","3","1","1","0","0","1","107","154","6","13","0","4","7","0","3","0","18","57","0","4","0","107","154","6","13","0","4","7","0","3","0","18","57","0","4","0","0","0","36","0","0","0","0","0","19","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L75404","AMIBuilder","com.liferay.amazontools.AMIBuilder","L75353","L103","D:\PR_assignment_src\liferay-plugins\shared\amazon-tools-shared\src\com\liferay\amazontools\AMIBuilder.java","68","1","613","2","0.128485","6","9","9","0.124542","0.113208","68","42","1","5","4","42","1","1","1","3","19","0.333333","0.00810811","3","3","1","2","0.00802139","3","1","1","0","0","1","367","540","12","12","6","3","16","0","2","0","27","240","0","3","0","371","546","12","12","6","3","17","0","3","0","28","241","0","4","0","0","0","68","0","0","0","0","0","22","0","0","2","0","0","0","40","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L75510","AMICleaner","com.liferay.amazontools.AMICleaner","L75353","L103","D:\PR_assignment_src\liferay-plugins\shared\amazon-tools-shared\src\com\liferay\amazontools\AMICleaner.java","49","1","245","2","0.175","2","3","2","0.162437","0.166667","32","22","1","2","2","22","1","0","0","1","10","0.333333","0.0294118","4","4","1","2","0.0294118","4","1","1","0","0","1","132","197","6","12","0","3","9","0","2","0","20","78","0","3","0","132","197","6","12","0","3","9","0","2","0","20","78","0","3","0","0","0","38","0","0","0","0","0","17","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L75541","AsgardAMIDeployer","com.liferay.amazontools.AsgardAMIDeployer","L75353","L103","D:\PR_assignment_src\liferay-plugins\shared\amazon-tools-shared\src\com\liferay\amazontools\AsgardAMIDeployer.java","46","1","557","2","0.131563","4","10","6","0.111328","0.122616","57","45","1","4","4","47","1","0","0","4","14","0.333333","0.00810811","3","3","1","2","0.00810811","3","1","1","0","0","1","367","512","10","10","4","1","10","0","2","0","21","228","0","3","0","367","512","10","10","4","1","10","0","2","0","21","228","0","3","0","0","0","52","0","0","0","0","0","22","0","0","3","0","0","0","23","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L75367","BaseAMITool","com.liferay.amazontools.BaseAMITool","L75353","L103","D:\PR_assignment_src\liferay-plugins\shared\amazon-tools-shared\src\com\liferay\amazontools\BaseAMITool.java","49","1","264","2","0.171004","2","3","3","0.185185","0.165563","40","25","1","2","2","21","0","5","10","0","11","0.5","0.0258065","4","4","1","1","0.0258065","4","0","0","5","5","0","151","216","6","9","6","9","11","0","1","0","11","76","0","1","0","151","216","6","9","6","9","11","0","1","0","11","76","0","1","0","0","0","49","0","0","0","0","0","20","0","0","0","0","0","0","25","0","0","0","0","0","0","0","4","0","0","0","0","0"
