"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5560","ApplicationTest","com.rey.material.ApplicationTest","L106","L103","D:\PR_assignment_src\material\material\src\androidTest\java\com\rey\material\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14563","ExampleUnitTest","com.rey.material.ExampleUnitTest","L106","L103","D:\PR_assignment_src\material\material\src\test\java\com\rey\material\ExampleUnitTest.java","10","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0.5","0.333333","3","3","1","1","0.333333","3","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","ContactEditText","com.rey.material.app.ContactEditText","L124","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","55","1","752","2","0.0677966","2","7","3","0.0515759","0.0525362","36","29","2","11","3","57","10","8","2","36","54","0.125","0.0122951","3","3","1","7","0.0175439","10","3","3","0","0","1","241","304","49","100","18","2","18","0","7","2","290","163","7","255","103","560","698","73","114","29","15","58","1","42","6","334","318","8","294","108","0","0","206","0","0","0","0","0","27","0","6","5","0","1","0","142","0","0","0","0","0","0","0","25","0","0","0","0","0"
"L687","ContactView","com.rey.material.app.ContactView","L124","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactView.java","42","1","371","2","0.273898","4","17","5","0.187879","0.222642","62","59","1","2","2","45","5","2","2","9","27","0.0625","0.0144231","3","3","1","15","0.011194","3","0","0","0","0","0","205","257","9","0","9","0","18","0","15","6","18","136","0","15","6","265","330","13","1","13","1","26","0","21","9","26","166","0","21","9","0","0","97","0","0","0","0","0","34","0","0","1","0","0","0","58","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L171","Recipient","com.rey.material.app.Recipient","L124","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\Recipient.java","9","1","50","2","0","0","0","0","0","0","0","0","2","0","0","5","0","7","3","0","5","0.2","0.0967742","3","3","1","4","0.0810811","3","0","0","0","0","0","28","35","4","0","4","0","5","1","4","0","5","8","1","4","0","34","42","4","0","4","0","7","1","6","0","7","10","1","6","0","0","0","26","0","0","0","0","0","0","0","2","0","0","0","0","20","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1183","Recurring","com.rey.material.app.Recurring","L124","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\Recurring.java","9","1","419","2","0","0","0","0","0","0","0","0","1","4","4","82","0","4","14","0","32","0.185185","0.0771513","26","24","5","22","0.0771513","26","0","0","0","0","0","311","411","18","17","18","17","32","10","26","10","32","173","10","26","10","311","411","18","17","18","17","32","10","26","10","32","173","10","26","10","0","0","76","0","0","0","0","0","0","0","0","4","0","0","0","57","0","0","0","0","0","0","0","15","0","0","0","0","0"
"L1347","RecurringPickerDialog","com.rey.material.app.RecurringPickerDialog","L124","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\RecurringPickerDialog.java","53","1","717","2","0.121715","4","14","6","0.130827","0.141831","87","79","4","3","3","61","14","10","7","42","63","0.1","0.0103806","3","3","1","9","0.0053286","3","1","2","0","0","2","286","346","48","1","17","1","21","0","9","0","95","180","4","80","7","560","665","65","13","26","12","70","1","53","2","166","291","6","141","9","0","0","335","0","0","0","0","0","107","0","7","0","0","3","0","197","0","1","0","0","0","0","0","20","0","0","0","0","0"
"L1385","WeekView","com.rey.material.app.WeekView","L124","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\WeekView.java","28","1","351","2","0","0","0","0","0","0","0","0","4","2","2","39","5","1","3","8","27","0.0909091","0.167442","36","3","1","10","0.159091","42","0","0","0","0","0","179","269","11","0","11","0","19","0","10","3","19","114","0","10","3","222","324","13","0","13","0","28","1","17","3","28","125","1","17","3","0","0","78","0","0","0","0","0","0","0","2","0","0","0","0","68","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L2084","BottomSheetDialog","com.rey.material.app.BottomSheetDialog","L124","L103","D:\PR_assignment_src\material\material\src\main\java\com\rey\material\app\BottomSheetDialog.java","28","1","540","2","0.153743","3","13","3","0.11306","0.132626","58","50","1","10","3","51","3","8","6","3","29","0.454545","0.188976","48","46","10","12","0.114219","49","0","0","0","0","0","206","303","16","1","16","1","26","0","21","5","26","117","0","21","5","380","513","20","1","20","1","48","0","39","6","48","200","0","39","6","0","0","143","0","0","0","0","0","27","0","4","6","0","0","0","99","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1587","DatePickerDialog","com.rey.material.app.DatePickerDialog","L124","L103","D:\PR_assignment_src\material\material\src\main\java\com\rey\material\app\DatePickerDialog.java","32","1","868","2","0.0895751","5","8","5","0.0645161","0.08","54","50","3","1","1","18","3","6","4","16","33","0.647059","0.398496","53","53","11","6","0.0935252","65","1","1","0","0","1","80","157","34","6","3","6","17","0","16","0","91","37","4","87","7","630","837","86","15","47","14","67","1","54","5","163","382","6","142","12","0","0","221","0","0","0","0","0","43","0","6","2","0","0","0","131","0","2","0","0","0","0","0","37","0","0","0","0","0"
