"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2132","DefaultRvAdapter","com.afollestad.materialdialogs.DefaultRvAdapter","L106","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","26","1","188","2","0.14832","1","2","2","0.141104","0.136691","23","19","1","4","3","24","8","3","2","10","17","0.166667","0.0373832","4","3","1","5","0.027972","4","0","0","0","0","0","103","123","4","1","4","1","7","0","5","1","7","62","0","5","1","139","163","7","1","7","1","11","0","9","1","11","80","0","9","1","0","0","40","0","0","0","0","0","9","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2299","DialogBase","com.afollestad.materialdialogs.DialogBase","L106","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogBase.java","14","1","64","2","0","0","0","0","0","0","0","0","2","1","1","10","1","2","3","0","9","0.142857","0.0681818","3","3","1","6","0.0681818","3","0","0","1","1","0","41","51","2","0","2","0","9","0","6","6","9","10","0","6","6","41","51","2","0","2","0","9","0","6","6","9","10","0","6","6","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2343","DialogInit","com.afollestad.materialdialogs.DialogInit","L106","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogInit.java","44","1","463","2","0.0971744","1","3","3","0.0714286","0.0857143","30","30","1","6","4","88","13","1","1","35","41","0.5","0.0979381","38","6","1","1","0.0979381","38","0","0","0","0","0","350","420","0","2","0","2","6","0","1","0","6","274","0","1","0","350","420","0","2","0","2","6","0","1","0","6","274","0","1","0","0","0","37","0","0","0","0","0","6","0","0","8","0","2","0","15","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L548","MaterialDialog","com.afollestad.materialdialogs.MaterialDialog","L106","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\MaterialDialog.java","64","1","2029","2","0.0583004","3","32","7","0.0254324","0.0350385","50","50","4","5","5","193","20","71","45","22","85","0.4","0.188623","126","108","22","33","0.178838","311","1","2","0","0","2","542","761","21","17","19","17","63","0","54","22","72","312","0","60","28","1428","1966","113","21","111","21","212","3","199","22","221","723","3","205","28","0","0","436","0","0","0","0","0","16","0","4","8","0","4","0","361","0","2","0","0","0","0","0","41","0","0","0","0","0"
"L4076","AboutDialog","com.afollestad.materialdialogssample.AboutDialog","L4062","L103","D:\PR_assignment_src\material-dialogs\sample\src\main\java\com\afollestad\materialdialogssample\AboutDialog.java","15","1","32","2","0","0","0","0","0","0","0","0","2","0","0","2","2","1","1","2","4","0.333333","0.157895","3","3","1","2","0.157895","3","0","0","0","0","0","16","18","0","0","0","0","2","0","2","0","2","3","0","2","0","16","18","0","0","0","0","2","0","2","0","2","3","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4086","ButtonItemAdapter","com.afollestad.materialdialogssample.ButtonItemAdapter","L4062","L103","D:\PR_assignment_src\material-dialogs\sample\src\main\java\com\afollestad\materialdialogssample\ButtonItemAdapter.java","16","1","85","2","0","0","0","0","0","0","0","0","2","0","0","6","2","3","1","1","7","0.166667","0.09375","3","3","1","5","0.0508475","3","0","0","0","0","0","29","38","2","1","2","1","6","0","5","1","6","8","0","5","1","56","70","5","1","5","1","10","0","9","1","10","19","0","9","1","0","0","30","0","0","0","0","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4136","ChangelogDialog","com.afollestad.materialdialogssample.ChangelogDialog","L4062","L103","D:\PR_assignment_src\material-dialogs\sample\src\main\java\com\afollestad\materialdialogssample\ChangelogDialog.java","24","1","88","2","0","0","0","0","0","0","0","0","2","2","2","10","3","1","1","3","7","0.333333","0.0952381","6","3","1","2","0.0952381","6","0","0","0","0","0","57","65","0","0","0","0","4","0","2","0","4","29","0","2","0","57","65","0","0","0","0","4","0","2","0","4","29","0","2","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4199","MainActivity","com.afollestad.materialdialogssample.MainActivity","L4062","L103","D:\PR_assignment_src\material-dialogs\sample\src\main\java\com\afollestad\materialdialogssample\MainActivity.java","55","1","909","2","0.209864","6","26","16","0.192982","0.212903","165","165","38","2","2","70","34","29","24","19","72","0.0425532","0.0271647","16","8","2","45","0.0275689","22","1","3","0","0","3","573","648","10","0","10","0","53","0","46","0","53","118","0","46","0","776","855","10","0","10","0","90","0","83","0","90","207","0","83","0","0","0","505","0","0","0","0","0","206","0","3","0","0","2","0","285","0","1","0","0","0","0","0","8","0","0","0","0","0"
"L4588","PreferenceActivity","com.afollestad.materialdialogssample.PreferenceActivity","L4062","L103","D:\PR_assignment_src\material-dialogs\sample\src\main\java\com\afollestad\materialdialogssample\PreferenceActivity.java","9","1","39","2","0","0","0","0","0","0","0","0","2","1","1","4","1","1","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","20","24","0","0","0","0","2","0","1","0","2","9","0","1","0","27","31","0","0","0","0","3","0","2","0","3","11","0","2","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4591","PreferenceActivityCompat","com.afollestad.materialdialogssample.PreferenceActivityCompat","L4062","L103","D:\PR_assignment_src\material-dialogs\sample\src\main\java\com\afollestad\materialdialogssample\PreferenceActivityCompat.java","8","1","26","2","0","0","0","0","0","0","0","0","2","1","1","3","0","1","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","17","19","0","0","0","0","2","0","1","0","2","6","0","1","0","17","19","0","0","0","0","2","0","1","0","2","6","0","1","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","CircleView","com.afollestad.materialdialogs.color.CircleView","L125","L103","D:\PR_assignment_src\material-dialogs\commons\src\main\java\com\afollestad\materialdialogs\color\CircleView.java","29","1","224","2","0","0","0","0","0","0","0","0","3","1","1","23","1","3","3","1","19","0.214286","0.0742857","13","9","3","11","0.0742857","13","0","0","0","0","0","162","196","6","0","6","0","18","0","13","6","18","81","0","13","6","162","196","6","0","6","0","18","0","13","6","18","81","0","13","6","0","0","36","0","0","0","0","0","0","0","1","0","0","0","0","33","0","0","0","0","0","0","0","2","0","0","0","0","0"
