"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L424","CachedGauge<T extends Object>","com.codahale.metrics.CachedGauge","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\CachedGauge.java","11","1","68","2","0","0","0","0","0","0","0","0","1","2","2","9","2","4","2","2","7","0.5","0.403509","23","23","1","1","0.403509","23","2","2","2","2","1","34","58","4","1","4","1","5","0","1","0","5","14","0","1","0","34","58","4","1","4","1","5","0","1","0","5","14","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L434","Clock","com.codahale.metrics.Clock","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\Clock.java","9","1","60","2","0","0","0","0","0","0","0","0","1","0","0","3","0","30","39","0","3","1","0.666667","20","20","4","0","0.530612","26","0","0","4","4","0","10","38","1","2","1","2","3","0","3","0","3","2","0","3","0","23","52","2","6","2","4","5","0","5","0","9","4","0","9","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L512","ConsoleReporter","com.codahale.metrics.ConsoleReporter","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\ConsoleReporter.java","11","1","285","2","0","0","0","0","0","0","0","0","2","2","2","20","11","2","7","32","41","0.666667","0.0638298","9","9","2","1","0.243028","61","2","2","0","0","1","132","161","14","2","5","0","9","0","2","0","20","84","0","6","0","190","275","22","2","13","0","18","0","10","0","29","107","0","14","0","0","0","29","0","0","0","0","0","0","0","1","1","0","3","0","21","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L342","Counter","com.codahale.metrics.Counter","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\Counter.java","6","1","54","2","0","0","0","0","0","0","0","0","1","0","0","6","3","58","64","3","9","0.857143","0.521739","24","24","6","1","0.521739","24","1","2","0","0","2","22","49","1","1","1","1","6","0","6","0","6","6","0","6","0","22","49","1","1","1","1","6","0","6","0","6","6","0","6","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L824","CsvReporter","com.codahale.metrics.CsvReporter","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\CsvReporter.java","16","1","260","2","0.0423601","1","1","1","0.0489796","0.0697674","12","12","2","4","4","19","11","2","7","32","42","0.666667","0.0661765","9","9","2","1","0.225225","50","2","2","0","0","1","127","156","14","2","5","0","10","0","2","0","21","35","0","6","0","172","245","20","2","11","0","17","0","8","0","28","52","0","12","0","0","0","40","0","0","0","0","0","8","0","1","2","0","3","0","23","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L971","DefaultObjectNameFactory","com.codahale.metrics.DefaultObjectNameFactory","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\DefaultObjectNameFactory.java","9","1","31","2","0","0","0","0","0","0","0","0","1","2","2","4","1","2","2","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","20","23","1","0","1","0","1","0","1","0","1","9","0","1","0","20","23","1","0","1","0","1","0","1","0","1","9","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1002","DerivativeGauge<F extends Object, T extends Object>","com.codahale.metrics.DerivativeGauge","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\DerivativeGauge.java","9","1","33","2","0","0","0","0","0","0","0","0","0","0","0","3","1","2","1","1","4","0.5","0.607143","17","17","1","1","0.607143","17","2","2","1","1","1","11","25","1","1","1","1","3","0","1","0","3","2","0","1","0","11","25","1","1","1","1","3","0","1","0","3","2","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1020","EWMA","com.codahale.metrics.EWMA","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\EWMA.java","16","1","106","2","0","0","0","0","0","0","0","0","1","1","1","8","1","2","12","2","9","1","0.527473","48","48","8","0","0.527473","48","0","0","0","0","0","43","91","13","1","13","1","7","0","7","0","7","13","0","7","0","43","91","13","1","13","1","7","0","7","0","7","13","0","7","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L388","ExponentiallyDecayingReservoir","com.codahale.metrics.ExponentiallyDecayingReservoir","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\ExponentiallyDecayingReservoir.java","23","1","199","2","0","0","0","0","0","0","0","0","1","4","4","22","6","6","13","6","21","0.625","0.329341","55","53","5","3","0.329341","55","1","1","0","0","1","112","177","11","1","11","1","15","0","7","0","15","53","0","7","0","112","177","11","1","11","1","15","0","7","0","15","53","0","7","0","0","0","27","0","0","0","0","0","0","0","0","2","0","0","0","23","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L640","Histogram","com.codahale.metrics.Histogram","L106","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\Histogram.java","9","1","56","2","0","0","0","0","0","0","0","0","1","0","0","5","6","35","46","5","10","0.833333","0.530612","26","26","5","1","0.530612","26","1","3","0","0","3","23","48","2","2","2","2","5","0","5","0","5","7","0","5","0","23","48","2","2","2","2","5","0","5","0","5","7","0","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0"
