"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L3402","BaseDataTest","org.apache.ibatis.BaseDataTest","L106","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java","30","1","96","2","0","0","0","0","0","0","0","0","2","1","1","6","4","20","32","18","24","0","0","0","0","0","7","0","0","0","0","15","20","0","59","67","6","0","6","0","6","6","6","0","6","35","6","6","0","59","67","6","0","6","0","6","6","6","0","6","35","6","6","0","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","15","0","1","0","0","0","0","0","5","0","0","0","0","0"
"L440","BindingException","org.apache.ibatis.binding.BindingException","L421","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\binding\BindingException.java","23","1","42","2","0","0","0","0","0","0","0","0","0","0","0","4","1","8","10","4","8","0.2","0.166667","3","3","1","4","0.166667","3","2","2","0","0","1","15","20","3","0","1","0","4","0","4","0","12","4","0","12","0","15","20","3","0","1","0","4","0","4","0","12","4","0","12","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L465","MapperMethod","org.apache.ibatis.binding.MapperMethod","L421","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\binding\MapperMethod.java","42","1","352","2","0","0","0","0","0","0","0","0","1","5","2","38","12","3","2","37","46","0.333333","0.0405405","6","5","1","2","0.024911","7","0","0","0","0","0","142","157","2","0","2","0","9","0","2","0","9","88","0","2","0","274","311","14","6","14","6","27","0","18","0","27","151","0","18","0","0","0","73","0","0","0","0","0","0","0","0","1","0","3","0","66","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L809","MapperProxy<T extends Object>","org.apache.ibatis.binding.MapperProxy","L421","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\binding\MapperProxy.java","34","1","92","2","0","0","0","0","0","0","0","0","1","3","2","11","4","1","1","4","9","0.333333","0.122807","7","7","1","2","0.122807","7","0","0","0","0","0","50","59","4","0","4","0","5","0","2","0","5","22","0","2","0","50","59","4","0","4","0","5","0","2","0","5","22","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L906","MapperProxyFactory<T extends Object>","org.apache.ibatis.binding.MapperProxyFactory","L421","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\binding\MapperProxyFactory.java","28","1","55","2","0","0","0","0","0","0","0","0","1","0","0","5","3","2","3","1","6","0.2","0.125","3","3","1","4","0.125","3","0","0","0","0","0","21","28","2","2","2","2","5","0","4","0","5","6","0","4","0","21","28","2","2","2","2","5","0","4","0","5","6","0","4","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L940","MapperRegistry","org.apache.ibatis.binding.MapperRegistry","L421","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\binding\MapperRegistry.java","34","1","108","2","0","0","0","0","0","0","0","0","1","3","3","13","7","6","11","9","16","0.5","0.239437","17","14","4","4","0.239437","17","0","0","0","0","0","54","75","2","2","2","2","7","0","7","0","7","26","0","7","0","54","75","2","2","2","2","7","0","7","0","7","26","0","7","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1043","BindingTest","org.apache.ibatis.binding.BindingTest","L421","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\binding\BindingTest.java","60","1","800","2","0.378944","10","24","24","0.331984","0.369925","246","246","1","2","2","57","22","0","0","73","121","0","0.0164179","11","0","0","48","0.0162722","11","0","0","0","0","0","659","735","1","0","1","0","48","0","47","0","48","415","0","47","0","665","741","1","0","1","0","48","0","47","0","48","415","0","47","0","0","0","234","0","0","0","0","0","119","0","0","0","0","4","0","105","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1432","BoundBlogSql","org.apache.ibatis.binding.BoundBlogSql","L421","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\binding\BoundBlogSql.java","20","1","31","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","6","8","0","0","0","0","1","0","1","0","1","1","0","1","0","10","12","3","1","0","0","1","0","1","0","39","1","0","38","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1493","FlushTest","org.apache.ibatis.binding.FlushTest","L421","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\binding\FlushTest.java","38","1","93","2","0","0","0","0","0","0","0","0","1","2","2","3","15","0","0","18","20","0","0.0222222","1","0","0","3","0.0222222","1","0","0","0","0","0","44","56","1","0","1","0","2","0","2","0","2","32","0","2","0","44","56","1","0","1","0","2","0","2","0","2","32","0","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1512","WrongMapperTest","org.apache.ibatis.binding.WrongMapperTest","L421","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\binding\WrongMapperTest.java","21","1","29","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","2","0","1","0","7","9","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
