"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L231","AbstractByteBuf","io.netty.buffer.AbstractByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java","44","1","1413","2","0.0770483","3","16","6","0.0489051","0.0584642","67","67","7","3","3","258","18","46","602","51","234","0.00671141","0.0179949","21","15","1","148","0.0179949","21","2","2","2","34","1","1146","1370","9","30","9","24","183","0","148","20","218","548","0","183","26","1146","1370","9","30","9","24","183","0","148","20","218","548","0","183","26","0","0","427","0","0","0","0","0","38","0","1","1","0","3","0","363","0","0","0","0","0","0","0","21","0","0","0","0","0"
"L1005","AbstractByteBufAllocator","io.netty.buffer.AbstractByteBufAllocator","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AbstractByteBufAllocator.java","27","1","279","2","0.223301","1","14","2","0.166008","0.205882","42","42","3","2","2","58","14","13","34","10","37","0.047619","0.0933333","21","18","1","20","0.0933333","21","1","1","2","2","1","204","253","5","0","4","0","27","0","20","0","28","89","1","21","0","204","253","5","0","4","0","27","0","20","0","28","89","1","21","0","0","0","74","0","0","0","0","0","19","0","1","0","0","1","0","49","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1140","AbstractDerivedByteBuf","io.netty.buffer.AbstractDerivedByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AbstractDerivedByteBuf.java","27","1","115","2","0","0","0","0","0","0","0","0","1","0","0","18","3","4","3","11","29","0.0909091","0.0779221","6","6","1","10","0.0779221","6","3","3","3","8","1","71","89","9","30","0","0","18","0","10","0","227","22","0","184","26","71","89","9","30","0","0","18","0","10","0","227","22","0","184","26","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L1195","AbstractPooledDerivedByteBuf","io.netty.buffer.AbstractPooledDerivedByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AbstractPooledDerivedByteBuf.java","28","1","298","2","0","0","0","0","0","0","0","0","3","2","2","17","8","3","123","21","37","0.0769231","0.152381","16","9","1","12","0.0786026","18","4","4","2","2","1","89","121","14","30","3","0","16","0","12","0","229","32","0","186","27","211","271","19","109","5","0","42","0","22","0","802","70","0","613","98","0","0","121","0","0","0","0","0","0","0","3","0","0","0","0","89","0","4","0","0","0","0","0","25","0","0","0","0","0"
"L1197","AbstractReferenceCountedByteBuf","io.netty.buffer.AbstractReferenceCountedByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AbstractReferenceCountedByteBuf.java","29","1","126","2","0.413462","2","9","2","0.316327","0.373333","31","28","3","3","3","19","4","23","63","3","15","0.125","0.117647","10","9","1","7","0.117647","10","3","3","9","24","1","75","98","11","30","2","0","12","0","7","1","223","26","0","183","27","75","98","11","30","2","0","12","0","7","1","223","26","0","183","27","0","0","50","0","0","0","0","0","18","0","1","0","0","0","0","23","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L1396","AbstractUnpooledSlicedByteBuf","io.netty.buffer.AbstractUnpooledSlicedByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AbstractUnpooledSlicedByteBuf.java","33","1","495","2","0.0480769","1","4","2","0.0431965","0.0524934","20","20","2","2","1","80","9","5","26","60","133","0","0.0180412","7","7","0","51","0.0180412","7","4","4","2","3","1","381","463","11","40","2","16","73","0","50","16","257","153","0","209","36","381","463","11","40","2","16","73","0","50","16","257","153","0","209","36","0","0","178","0","0","0","0","0","14","0","1","0","0","2","0","145","0","0","0","0","0","0","0","16","0","0","0","0","0"
"L1669","AbstractUnsafeSwappedByteBuf","io.netty.buffer.AbstractUnsafeSwappedByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AbstractUnsafeSwappedByteBuf.java","27","1","171","2","0","0","0","0","0","0","0","0","1","0","0","36","4","2","2","6","33","0.047619","0.0238095","3","3","1","20","0.0238095","3","3","3","2","2","1","123","145","4","38","2","8","27","0","20","6","211","51","0","204","31","123","145","4","38","2","8","27","0","20","6","211","51","0","204","31","0","0","69","0","0","0","0","0","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L1031","AdvancedLeakAwareByteBuf","io.netty.buffer.AdvancedLeakAwareByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AdvancedLeakAwareByteBuf.java","35","1","970","2","0.0233511","2","4","2","0.0213675","0.025641","20","20","1","1","1","155","6","4","163","153","304","0","0","0","0","0","150","0","0","3","3","0","0","1","780","936","5","60","4","30","151","0","149","24","335","310","0","332","49","780","936","5","60","4","30","151","0","149","24","335","310","0","332","49","0","0","339","0","0","0","0","0","14","0","0","1","0","2","0","305","0","0","0","0","0","0","0","17","0","0","0","0","0"
"L1048","AdvancedLeakAwareCompositeByteBuf","io.netty.buffer.AdvancedLeakAwareCompositeByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\AdvancedLeakAwareCompositeByteBuf.java","36","1","1060","2","0.0213483","2","4","2","0.0195122","0.0233645","20","20","1","1","1","171","6","2","2","172","340","0","0","0","0","0","168","0","0","6","6","0","0","1","856","1025","20","94","1","30","168","0","167","24","719","344","0","645","90","856","1025","20","94","1","30","168","0","167","24","719","344","0","645","90","0","0","377","0","0","0","0","0","14","0","0","1","0","2","0","339","0","2","0","0","0","0","0","19","0","0","0","0","0"
"L233","ByteBuf","io.netty.buffer.ByteBuf","L106","L103","D:\PR_assignment_src\netty\buffer\src\main\java\io\netty\buffer\ByteBuf.java","248","1","2364","2","0","0","0","0","0","0","0","0","0","0","0","180","3","800","2597","0","180","0.977901","0.910358","1960","1960","177","4","0.910358","1960","1","1","5","45","1","193","2117","0","30","0","30","180","0","180","25","183","0","0","183","25","193","2117","0","30","0","30","180","0","180","25","183","0","0","183","25","0","0","29","0","0","0","0","0","0","0","0","1","0","1","0","9","0","0","0","0","0","0","0","18","0","0","0","0","0"
