"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1685","ApplicationTest","com.zhy.sample_okhttp.ApplicationTest","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\androidTest\java\com\zhy\sample_okhttp\ApplicationTest.java","9","1","15","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.3","3","3","1","1","0.3","3","0","0","0","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1690","FlowLayout","com.zhy.sample_okhttp.FlowLayout","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\FlowLayout.java","11","1","172","2","0","0","0","0","0","0","0","0","3","3","3","16","0","0","0","0","6","0","0.0232558","3","0","0","5","0.0232558","3","0","0","0","0","0","126","162","2","0","2","0","6","0","4","0","6","80","0","4","0","126","162","2","0","2","0","6","0","4","0","6","80","0","4","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1790","JsonGenericsSerializator","com.zhy.sample_okhttp.JsonGenericsSerializator","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\JsonGenericsSerializator.java","9","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0.5","0.3","3","3","1","1","0.3","3","1","1","0","0","1","7","7","1","0","1","0","1","0","1","0","1","1","0","1","0","7","7","1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1801","ListUserCallback","com.zhy.sample_okhttp.ListUserCallback","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\ListUserCallback.java","14","1","26","2","0","0","0","0","0","0","0","0","1","0","0","1","2","2","0","0","1","0.5","0.230769","3","3","1","1","0.230769","3","1","1","1","1","1","10","13","1","0","0","0","1","0","1","0","7","3","1","7","0","10","13","1","0","0","0","1","0","1","0","7","3","1","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1816","MainActivity","com.zhy.sample_okhttp.MainActivity","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MainActivity.java","32","1","381","2","0","0","0","0","0","0","0","0","6","1","1","18","16","5","0","26","40","0","0.238095","55","0","0","13","0.171254","56","0","0","0","0","0","176","243","5","5","5","5","14","0","12","0","14","57","0","12","0","271","350","9","5","5","5","29","0","27","0","57","81","1","55","0","0","0","88","0","0","0","0","0","0","0","6","0","0","1","0","69","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L2004","MyApplication","com.zhy.sample_okhttp.MyApplication","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MyApplication.java","23","1","69","2","0","0","0","0","0","0","0","0","1","0","0","1","4","0","0","3","4","0.5","0.105263","4","3","1","1","0.0909091","4","0","0","0","0","0","34","41","1","0","1","0","1","0","1","0","1","5","0","1","0","40","47","1","0","1","0","2","0","2","0","2","6","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1805","User","com.zhy.sample_okhttp.User","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\User.java","3","1","25","2","0","0","0","0","0","0","0","0","1","0","0","3","0","5","1","0","3","0","0.0526316","1","0","0","4","0.0526316","1","0","0","0","0","0","18","23","2","0","2","0","3","2","3","0","3","3","2","3","0","18","23","2","0","2","0","3","2","3","0","3","3","2","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2033","UserCallback","com.zhy.sample_okhttp.UserCallback","L1664","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\UserCallback.java","13","1","24","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0.5","0.230769","3","3","1","1","0.230769","3","1","1","0","0","1","10","12","1","0","0","0","1","0","1","0","7","3","1","7","0","10","12","1","0","0","0","1","0","1","0","7","3","1","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L127","ApplicationTest","com.zhy.http.okhttp.ApplicationTest","L107","L103","D:\PR_assignment_src\okhttputils\okhttputils\src\androidTest\java\com\zhy\http\okhttp\ApplicationTest.java","9","1","15","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.3","3","3","1","1","0.3","3","0","0","0","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1140","OkHttpUtils","com.zhy.http.okhttp.OkHttpUtils","L107","L103","D:\PR_assignment_src\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\OkHttpUtils.java","23","1","217","2","0","0","0","0","0","0","0","0","10","2","2","27","11","7","20","7","24","0.0555556","0.025641","3","3","1","17","0.0176471","3","0","0","0","0","0","114","138","4","3","4","3","17","1","17","0","17","37","1","17","0","167","195","8","3","8","3","21","5","21","0","21","54","5","21","0","0","0","69","0","0","0","0","0","0","0","2","0","0","1","0","57","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L1829","MainActivity$MyStringCallback","com.zhy.sample_okhttp.MainActivity$MyStringCallback","L1816","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MainActivity.java","44","5","88","6","0","0","0","0","0","0","0","0","5","1","1","7","2","1","0","0","5","0","0","0","0","0","6","0","0","2","2","0","0","1","40","45","1","0","0","0","5","0","5","0","10","13","1","10","0","40","45","1","0","0","0","5","0","5","0","10","13","1","10","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L150","GetBuilder","com.zhy.http.okhttp.builder.GetBuilder","L140","L103","D:\PR_assignment_src\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\GetBuilder.java","16","1","66","2","0.180645","1","2","1","0.196078","0.232558","10","10","1","1","1","10","5","3","4","2","6","0.25","0.0638298","3","3","1","3","0.0638298","3","1","2","1","1","2","44","51","5","0","0","0","4","0","3","0","9","18","0","8","0","44","51","5","0","0","0","4","0","3","0","9","18","0","8","0","0","0","23","0","0","0","0","0","11","0","0","0","0","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L264","HeadBuilder","com.zhy.http.okhttp.builder.HeadBuilder","L140","L103","D:\PR_assignment_src\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\HeadBuilder.java","10","1","17","2","0","0","0","0","0","0","0","0","1","0","0","1","6","1","0","2","3","0.5","0.272727","3","3","1","1","0.272727","3","2","3","0","0","1","8","8","5","0","0","0","1","0","1","0","10","1","0","9","0","8","8","5","0","0","0","1","0","1","0","10","1","0","9","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","OkHttpRequestBuilder<T extends OkHttpRequestBuilder>","com.zhy.http.okhttp.builder.OkHttpRequestBuilder","L140","L103","D:\PR_assignment_src\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\OkHttpRequestBuilder.java","11","1","55","2","0","0","0","0","0","0","0","0","4","1","1","7","1","8","10","0","6","0.142857","0.0731707","3","3","1","6","0.0731707","3","0","0","5","6","0","38","45","5","0","5","0","6","0","6","0","6","12","0","6","0","38","45","5","0","5","0","6","0","6","0","6","12","0","6","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L300","OtherRequestBuilder","com.zhy.http.okhttp.builder.OtherRequestBuilder","L140","L103","D:\PR_assignment_src\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\OtherRequestBuilder.java","11","1","41","2","0","0","0","0","0","0","0","0","1","0","0","4","4","1","3","2","6","0.2","0.107143","3","3","1","4","0.107143","3","1","1","0","0","1","25","31","8","0","3","0","4","0","4","0","9","6","0","9","0","25","31","8","0","3","0","4","0","4","0","9","6","0","9","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
