"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L440","AnnotatedHandlerFinder","com.squareup.otto.AnnotatedHandlerFinder","L106","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\AnnotatedHandlerFinder.java","36","1","179","2","0","0","0","0","0","0","0","0","1","4","3","27","4","1","1","2","8","1","0.152672","20","15","1","0","0.152672","20","0","0","0","0","0","111","144","2","0","2","0","6","0","0","0","6","63","0","0","0","111","144","2","0","2","0","6","0","0","0","6","63","0","0","0","0","0","13","0","0","0","0","0","0","0","0","1","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L163","Bus","com.squareup.otto.Bus","L106","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","87","1","479","2","0","0","0","0","0","0","0","0","1","4","4","62","6","24","49","12","30","0.888889","0.414063","159","155","8","1","0.401002","160","0","0","0","0","0","225","378","9","3","9","3","18","1","8","0","18","122","1","8","0","239","393","11","3","11","3","21","1","9","0","21","126","1","9","0","0","0","37","0","0","0","0","0","0","0","0","3","0","0","0","28","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L799","DeadEvent","com.squareup.otto.DeadEvent","L106","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\DeadEvent.java","27","1","43","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","2","0","1","1","0.636364","14","14","2","0","0.636364","14","0","0","0","0","0","8","17","2","0","2","0","1","2","1","0","1","2","2","1","0","8","17","2","0","2","0","1","2","1","0","1","2","2","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L590","EventHandler","com.squareup.otto.EventHandler","L106","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\EventHandler.java","34","1","126","2","0.541063","2","7","2","0.365591","0.440678","34","26","1","2","2","17","0","9","11","0","7","0.428571","0.337079","30","28","3","4","0.337079","30","0","0","0","0","0","59","93","4","0","4","0","7","0","6","0","7","29","0","6","0","59","93","4","0","4","0","7","0","6","0","7","29","0","6","0","0","0","30","0","0","0","0","0","19","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L558","EventProducer","com.squareup.otto.EventProducer","L106","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\EventProducer.java","30","1","120","2","0.543689","2","7","2","0.373626","0.440678","34","26","1","2","2","17","0","6","10","0","7","0.428571","0.305882","26","24","3","4","0.305882","26","0","0","0","0","0","59","91","4","0","4","0","7","0","6","0","7","29","0","6","0","59","91","4","0","4","0","7","0","6","0","7","29","0","6","0","0","0","30","0","0","0","0","0","19","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1011","BusTest","com.squareup.otto.BusTest","L106","L103","D:\PR_assignment_src\otto\otto\src\test\java\com\squareup\otto\BusTest.java","38","1","439","2","0","0","0","0","0","0","0","0","1","1","1","35","16","0","0","9","29","0.1","0.0954198","25","11","2","18","0.11437","39","0","0","0","0","0","237","325","3","0","3","0","20","0","19","1","20","138","0","19","1","302","402","4","1","4","1","37","0","30","1","37","149","0","30","1","0","0","123","0","0","0","0","0","0","0","1","0","0","1","0","118","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1219","EventBusInnerClassStressTest","com.squareup.otto.EventBusInnerClassStressTest","L106","L103","D:\PR_assignment_src\otto\otto\src\test\java\com\squareup\otto\EventBusInnerClassStressTest.java","14","1","76","2","0.616162","1","4","2","0.507937","0.561404","32","32","1","1","1","7","3","3","0","3","7","0.25","0.122449","6","6","1","3","0.0952381","6","0","0","0","0","0","43","49","3","0","3","0","4","1","3","0","4","25","1","3","0","57","63","3","0","3","0","7","1","6","0","7","28","1","6","0","0","0","69","0","0","0","0","0","39","0","0","0","0","0","0","26","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1251","EventHandlerTest","com.squareup.otto.EventHandlerTest","L106","L103","D:\PR_assignment_src\otto\otto\src\test\java\com\squareup\otto\EventHandlerTest.java","29","1","147","2","0","0","0","0","0","0","0","0","6","1","1","17","3","0","0","2","14","0.4","0.177778","16","13","4","6","0.183673","18","0","0","0","0","0","74","113","3","3","3","3","12","0","9","1","12","34","0","9","1","80","119","5","3","5","3","12","0","9","1","12","34","0","9","1","0","0","24","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1307","EventProducerTest","com.squareup.otto.EventProducerTest","L106","L103","D:\PR_assignment_src\otto\otto\src\test\java\com\squareup\otto\EventProducerTest.java","29","1","155","2","0","0","0","0","0","0","0","0","6","1","1","18","3","0","0","2","15","0.363636","0.142857","14","11","4","7","0.150943","16","0","0","0","0","0","84","121","3","3","3","3","13","0","10","1","13","42","0","10","1","90","127","5","3","5","3","13","0","10","1","13","42","0","10","1","0","0","26","0","0","0","0","0","0","0","1","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1086","LazyStringProducer","com.squareup.otto.LazyStringProducer","L106","L103","D:\PR_assignment_src\otto\otto\src\test\java\com\squareup\otto\LazyStringProducer.java","3","1","9","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","7","1","0","1","0","1","1","1","0","1","1","1","1","0","6","7","1","0","1","0","1","1","1","0","1","1","1","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1539","ReentrantEventsTest","com.squareup.otto.ReentrantEventsTest","L106","L103","D:\PR_assignment_src\otto\otto\src\test\java\com\squareup\otto\ReentrantEventsTest.java","34","1","98","2","0","0","0","0","0","0","0","0","1","0","0","2","4","2","0","2","4","0.333333","0.222222","6","6","1","2","0.105263","6","0","0","0","0","0","21","33","3","0","3","0","2","0","2","0","2","10","0","2","0","51","65","6","0","6","0","6","0","6","0","6","19","0","6","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
