"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2601","AlphanumComparator","third_parties.daveKoeller.AlphanumComparator","L17459","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\daveKoeller\AlphanumComparator.java","44","1","122","2","0","0","0","0","0","0","0","0","1","5","5","17","1","2","2","1","4","0.5","0.202381","17","14","1","1","0.202381","17","0","0","0","0","0","67","79","0","1","0","1","3","0","1","0","3","47","0","1","0","67","79","0","1","0","1","3","0","1","0","3","47","0","1","0","0","0","11","0","0","0","0","0","0","0","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16030","TouchImageViewCustom","third_parties.michaelOrtiz.TouchImageViewCustom","L17795","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","43","1","1277","2","0","0","0","0","0","0","0","0","2","3","2","104","8","7","13","6","56","0.46875","0.307467","210","152","15","17","0.272897","292","1","1","0","0","1","473","827","36","10","31","10","50","0","31","17","56","289","0","35","18","778","1235","62","12","57","12","76","9","52","17","82","454","9","56","18","0","0","151","0","0","0","0","0","0","0","3","2","0","0","0","118","0","0","0","0","0","0","0","28","0","0","0","0","0"
"L6026","MainApp","com.owncloud.android.MainApp","L106","L103","D:\PR_assignment_src\owncloud_android\android\src\com\owncloud\android\MainApp.java","44","1","199","2","0","0","0","0","0","0","0","0","1","2","2","14","2","31","75","0","10","0.363636","0.273684","26","22","4","7","0.206349","26","0","0","0","0","0","69","118","5","9","5","9","10","0","10","0","10","33","0","10","0","100","156","5","9","5","9","17","0","17","0","17","43","0","17","0","0","0","38","0","0","0","0","0","0","0","1","0","0","0","0","35","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L17915","TouchImageViewCustom$GestureListener","third_parties.michaelOrtiz.TouchImageViewCustom$GestureListener","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","752","5","806","6","0","0","0","0","0","0","0","0","5","1","1","11","4","1","0","4","9","0.166667","0.178571","10","6","1","5","0.178571","10","0","0","0","0","0","46","55","0","0","0","0","5","0","5","0","5","21","0","5","0","46","55","0","0","0","0","5","0","5","0","5","21","0","5","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17943","TouchImageViewCustom$PrivateOnTouchListener","third_parties.michaelOrtiz.TouchImageViewCustom$PrivateOnTouchListener","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","818","5","880","6","0","0","0","0","0","0","0","0","1","3","3","12","4","1","0","7","8","0.5","0.3","18","9","1","1","0.3","18","0","0","0","0","0","42","63","1","0","1","0","1","0","1","0","1","27","0","1","0","42","63","1","0","1","0","1","0","1","0","1","27","0","1","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17907","TouchImageViewCustom$ScaleListener","third_parties.michaelOrtiz.TouchImageViewCustom$ScaleListener","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","887","5","927","6","0","0","0","0","0","0","0","0","3","2","1","7","4","1","0","5","8","0.25","0.195122","8","5","1","3","0.195122","8","0","0","0","0","0","33","41","0","0","0","0","3","0","3","0","3","19","0","3","0","33","41","0","0","0","0","3","0","3","0","3","19","0","3","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18203","TouchImageViewCustom$DoubleTapZoom","third_parties.michaelOrtiz.TouchImageViewCustom$DoubleTapZoom","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","961","5","1054","6","0","0","0","0","0","0","0","0","1","1","1","7","3","2","2","7","12","0.5","0.388889","35","22","1","1","0.388889","35","0","0","0","0","0","55","94","10","0","10","0","5","0","1","0","5","31","0","1","0","55","94","10","0","10","0","5","0","1","0","5","31","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L17844","TouchImageViewCustom$Fling","third_parties.michaelOrtiz.TouchImageViewCustom$Fling","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","1107","5","1179","6","0","0","0","0","0","0","0","0","1","1","1","9","4","3","2","13","16","0.333333","0.164179","11","7","1","2","0.164179","11","0","0","0","0","0","56","73","3","0","3","0","3","0","2","0","3","39","0","2","0","56","73","3","0","3","0","3","0","2","0","3","39","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18324","TouchImageViewCustom$CompatScroller","third_parties.michaelOrtiz.TouchImageViewCustom$CompatScroller","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","1181","5","1246","6","0","0","0","0","0","0","0","0","1","1","1","14","0","1","3","0","7","0","0","0","0","0","8","0","0","0","0","0","0","0","58","66","3","2","3","2","7","0","7","0","7","24","0","7","0","58","66","3","2","3","2","7","0","7","0","7","24","0","7","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L17854","TouchImageViewCustom$ZoomVariables","third_parties.michaelOrtiz.TouchImageViewCustom$ZoomVariables","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","1258","5","1270","6","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","12","13","4","0","4","0","1","4","1","0","1","4","4","1","0","12","13","4","0","4","0","1","4","1","0","1","4","4","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
