"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5187","AccessToken","com.facebook.AccessToken","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","42","1","426","2","0","0","0","0","0","0","0","0","2","3","2","52","9","15","22","8","35","0.9","0.256667","77","73","9","1","0.225806","77","0","0","0","0","0","223","340","15","8","15","8","27","0","9","0","27","108","0","9","0","264","385","28","8","28","8","31","0","9","0","31","121","0","9","0","0","0","62","0","0","0","0","0","0","0","1","0","0","0","0","52","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L6319","AppEventsConstants","com.facebook.AppEventsConstants","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AppEventsConstants.java","23","1","177","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0.722689","86","86","1","0","0.722689","86","0","0","0","0","0","33","155","31","0","31","0","0","31","0","0","0","0","31","0","0","33","155","31","0","31","0","0","31","0","0","0","0","31","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L6387","AppEventsLogger","com.facebook.AppEventsLogger","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AppEventsLogger.java","127","1","1582","2","0","0","0","0","0","0","0","0","1","2","2","94","22","26","35","47","92","1","0.40411","295","274","23","0","0.264324","346","0","0","0","0","0","435","801","20","7","20","7","45","3","22","4","45","221","3","22","4","963","1456","68","17","68","17","96","20","50","4","96","432","20","50","4","0","0","235","0","0","0","0","0","0","0","0","3","0","2","0","191","0","0","0","0","0","0","0","39","0","0","0","0","0"
"L7197","AppLinkData","com.facebook.AppLinkData","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AppLinkData.java","39","1","410","2","0.0954955","1","10","2","0.0645161","0.0933852","24","24","2","7","6","57","10","2","1","16","30","1","0.203822","64","57","9","0","0.218845","72","0","0","0","0","0","250","360","24","5","24","5","14","4","8","0","14","141","4","8","0","257","372","24","5","24","5","16","4","10","0","16","142","4","10","0","0","0","46","0","0","0","0","0","9","0","1","8","0","1","0","19","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L7331","AuthorizationClient","com.facebook.AuthorizationClient","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AuthorizationClient.java","45","1","1076","2","0.00822525","1","1","1","0.0106589","0.0122549","11","10","1","2","2","83","21","14","19","31","67","0","0.0591549","21","4","0","1","0.0511628","44","0","0","0","0","0","334","438","36","7","36","7","36","0","0","4","36","170","0","0","4","816","1032","80","30","73","24","101","3","18","9","139","377","3","24","11","0","0","310","0","0","0","0","0","23","0","3","0","0","4","0","255","0","0","0","0","0","0","0","25","0","0","0","0","0"
"L8007","BoltsMeasurementEventListener","com.facebook.BoltsMeasurementEventListener","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\BoltsMeasurementEventListener.java","10","1","63","2","0","0","0","0","0","0","0","0","2","1","1","8","1","1","1","2","8","0","0","0","0","0","2","0","0","0","0","0","0","0","46","54","6","1","6","1","6","0","1","0","6","21","0","1","0","46","54","6","1","6","1","6","0","1","0","6","21","0","1","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L8057","FacebookAppLinkResolver","com.facebook.FacebookAppLinkResolver","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\FacebookAppLinkResolver.java","37","1","238","2","0","0","0","0","0","0","0","0","1","3","3","18","2","1","1","2","8","1","0.229008","30","21","3","0","0.177778","32","0","0","0","0","0","101","145","9","4","9","4","6","0","2","0","6","53","0","2","0","148","202","9","4","9","4","8","0","4","0","8","87","0","4","0","0","0","26","0","0","0","0","0","0","0","0","2","0","0","0","22","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L5767","FacebookAuthorizationException","com.facebook.FacebookAuthorizationException","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\FacebookAuthorizationException.java","22","1","65","2","0","0","0","0","0","0","0","0","0","0","0","4","1","3","2","4","8","1","0.651163","28","28","5","0","0.651163","28","1","1","0","0","1","15","44","2","0","1","0","4","0","4","0","8","4","0","8","0","15","44","2","0","1","0","4","0","4","0","8","4","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8160","FacebookBroadcastReceiver","com.facebook.FacebookBroadcastReceiver","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\FacebookBroadcastReceiver.java","17","1","41","2","0","0","0","0","0","0","0","0","1","2","2","6","1","0","0","1","4","0.5","0.344828","10","8","1","1","0.344828","10","0","0","0","0","0","19","25","0","0","0","0","3","0","1","0","3","7","0","1","0","19","25","0","0","0","0","3","0","1","0","3","7","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6211","FacebookDialogException","com.facebook.FacebookDialogException","L5138","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\FacebookDialogException.java","22","1","53","2","0","0","0","0","0","0","0","0","0","0","0","3","1","3","4","1","4","1","0.5","16","16","4","0","0.5","16","1","1","0","0","1","16","32","4","2","3","2","3","0","3","0","7","5","0","7","0","16","32","4","2","3","2","3","0","3","0","7","5","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
