"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L321","Action<T extends Object>","com.squareup.picasso.Action","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","25","1","111","2","0","0","0","0","0","0","0","0","2","0","0","17","5","26","43","1","15","0","0","0","0","0","1","0","0","0","0","5","8","0","63","79","12","8","12","8","14","0","0","0","14","21","0","0","0","70","87","13","8","13","8","15","0","1","0","15","23","0","1","0","0","0","41","0","0","0","0","0","0","0","1","0","0","0","0","36","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L434","AssetRequestHandler","com.squareup.picasso.AssetRequestHandler","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\AssetRequestHandler.java","27","1","61","2","0","0","0","0","0","0","0","0","2","2","2","8","4","3","4","1","5","0","0","0","0","0","4","0","0","1","1","0","0","1","30","35","5","2","5","1","4","0","3","0","11","10","0","3","0","30","35","5","2","5","1","4","0","3","0","11","10","0","3","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L495","BitmapHunter","com.squareup.picasso.BitmapHunter","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\BitmapHunter.java","53","1","689","2","0.0227101","1","2","2","0.0313972","0.0376648","20","20","1","6","4","140","20","15","118","46","74","0","0.0648148","35","10","0","2","0.0618375","35","0","0","2","2","0","505","610","23","12","23","12","28","0","1","0","28","316","0","1","0","531","637","23","13","23","12","35","0","7","0","42","323","0","7","0","0","0","144","0","0","0","0","0","29","0","1","8","0","3","0","91","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L1049","ContactsPhotoRequestHandler","com.squareup.picasso.ContactsPhotoRequestHandler","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\ContactsPhotoRequestHandler.java","33","1","105","2","0","0","0","0","0","0","0","0","1","2","2","13","5","2","3","2","6","0","0.135593","8","7","0","3","0.123077","8","1","1","0","0","1","51","67","6","2","6","1","4","0","2","0","11","16","0","2","0","57","73","6","2","6","1","5","0","2","0","12","17","0","2","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1120","ContentStreamRequestHandler","com.squareup.picasso.ContentStreamRequestHandler","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\ContentStreamRequestHandler.java","27","1","46","2","0","0","0","0","0","0","0","0","2","0","0","4","4","4","6","1","5","0","0","0","0","0","3","0","0","1","1","2","2","1","16","20","1","2","1","1","4","0","2","0","11","5","0","2","0","16","20","1","2","1","1","4","0","2","0","11","5","0","2","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1136","DeferredRequestCreator","com.squareup.picasso.DeferredRequestCreator","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\DeferredRequestCreator.java","29","1","127","2","0","0","0","0","0","0","0","0","1","2","2","15","3","8","19","7","12","0","0.0769231","5","0","0","2","0.060241","5","0","0","0","0","0","60","78","4","1","4","1","5","0","1","0","5","35","0","1","0","78","99","4","1","4","1","9","0","3","0","9","42","0","3","0","0","0","27","0","0","0","0","0","0","0","2","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L540","Dispatcher","com.squareup.picasso.Dispatcher","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Dispatcher.java","59","1","584","2","0.0336467","1","6","2","0.0380228","0.0447427","20","20","1","4","4","95","16","19","57","35","62","0","0.0421348","15","0","0","1","0.0387097","18","0","0","0","0","0","341","411","34","0","34","0","27","0","0","0","27","199","0","0","0","447","526","37","0","37","0","36","0","5","0","36","251","0","5","0","0","0","117","0","0","0","0","0","14","0","0","5","0","1","0","90","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1709","FetchAction","com.squareup.picasso.FetchAction","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\FetchAction.java","20","1","52","2","0","0","0","0","0","0","0","0","1","1","1","7","5","3","5","4","9","0","0","0","0","0","1","0","0","1","1","0","0","1","27","33","14","9","2","1","5","0","0","0","17","10","0","0","0","27","33","14","9","2","1","5","0","0","0","17","10","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1735","FileRequestHandler","com.squareup.picasso.FileRequestHandler","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\FileRequestHandler.java","28","1","46","2","0","0","0","0","0","0","0","0","2","0","0","4","4","2","3","3","7","0","0","0","0","0","3","0","0","2","2","0","0","1","15","19","1","3","0","1","4","0","2","0","15","5","0","4","0","15","19","1","3","0","1","4","0","2","0","15","5","0","4","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1764","GetAction","com.squareup.picasso.GetAction","L106","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\GetAction.java","20","1","31","2","0","0","0","0","0","0","0","0","2","0","0","3","4","1","1","1","4","0","0","0","0","0","2","0","0","1","1","0","0","1","10","12","12","9","0","1","3","0","1","0","15","1","0","0","0","10","12","12","9","0","1","3","0","1","0","15","1","0","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","1","0","0","0","0","0"
