"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5470","AllTypesRealmProxy","io.realm.AllTypesRealmProxy","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-annotations-processor\src\test\resources\io\realm\AllTypesRealmProxy.java","32","1","1360","2","0.608624","54","339","79","0.567344","0.578904","754","697","7","12","5","286","24","1","14","114","153","0","0.0212404","25","0","0","37","0.0203417","25","3","4","0","0","2","1152","1270","14","10","4","2","39","0","36","0","93","789","1","90","9","1204","1329","24","12","13","2","42","9","38","0","100","821","10","94","10","0","0","356","0","0","0","0","0","202","0","2","20","0","13","0","90","0","1","0","0","0","0","0","28","0","0","0","0","0"
"L6032","BooleansRealmProxy","io.realm.BooleansRealmProxy","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-annotations-processor\src\test\resources\io\realm\BooleansRealmProxy.java","32","1","595","2","0.740067","29","186","40","0.656028","0.684739","370","341","8","6","3","120","19","0","0","50","78","0","0.0210084","10","0","0","27","0.019685","10","3","4","0","0","2","466","525","7","3","3","2","28","0","26","0","62","309","0","60","4","498","564","12","5","7","2","31","4","28","0","69","326","4","64","5","0","0","234","0","0","0","0","0","146","0","2","4","0","2","0","68","0","1","0","0","0","0","0","11","0","0","0","0","0"
"L6141","NullTypesRealmProxy","io.realm.NullTypesRealmProxy","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-annotations-processor\src\test\resources\io\realm\NullTypesRealmProxy.java","32","1","2382","2","0.807767","77","1289","232","0.786474","0.800741","1849","1728","8","24","4","511","20","0","0","94","156","0","0.0218631","46","0","0","61","0.0208711","46","3","4","0","0","2","2058","2244","24","23","3","2","62","0","60","0","164","1395","0","162","21","2158","2351","46","25","24","2","65","21","62","0","171","1463","21","166","22","0","0","620","0","0","0","0","0","387","0","2","16","0","20","0","136","0","1","0","0","0","0","0","58","0","0","0","0","0"
"L6373","DefaultRealmModule","io.realm.DefaultRealmModule","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-annotations-processor\src\test\resources\io\realm\RealmDefaultModule.java","4","1","7","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6375","DefaultRealmModuleMediator","io.realm.DefaultRealmModuleMediator","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-annotations-processor\src\test\resources\io\realm\RealmDefaultModuleMediator.java","24","1","241","2","0.517986","3","22","6","0.440367","0.462428","96","80","1","3","3","40","17","2","1","18","33","0","0.0748663","14","0","0","16","0.0748663","14","1","1","0","0","1","173","218","1","4","1","3","15","0","15","0","20","79","0","18","0","173","218","1","4","1","3","15","0","15","0","20","79","0","18","0","0","0","74","0","0","0","0","0","39","0","0","0","0","1","0","33","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L6494","SimpleRealmProxy","io.realm.SimpleRealmProxy","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-annotations-processor\src\test\resources\io\realm\SimpleRealmProxy.java","32","1","430","2","0.565607","17","75","17","0.486216","0.509859","194","181","8","4","3","86","18","0","0","55","76","0","0.0178042","6","0","0","20","0.0166205","6","3","4","0","0","2","331","368","5","4","3","2","21","0","19","0","50","207","0","48","2","355","399","8","6","5","2","24","2","21","0","57","218","2","52","3","0","0","157","0","0","0","0","0","82","0","2","1","0","8","0","54","0","1","0","0","0","0","0","9","0","0","0","0","0"
"L8818","BulkInsertTests","io.realm.BulkInsertTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\BulkInsertTests.java","67","1","957","2","0.274299","13","22","22","0.267116","0.292135","238","208","1","1","1","43","36","0","0","132","168","0.189189","0.0554745","38","15","7","30","0.0506667","38","0","0","0","0","0","647","822","2","0","2","0","36","1","36","1","36","485","1","36","1","712","891","2","0","2","0","44","1","44","1","44","526","1","44","1","0","0","312","0","0","0","0","0","167","0","0","0","0","21","0","115","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L9134","CollectionTests","io.realm.CollectionTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\CollectionTests.java","31","1","219","2","0.177232","4","4","4","0.148148","0.166667","28","25","4","2","2","17","14","9","21","41","47","1","0.0620155","8","7","1","0","0.107143","18","0","0","9","9","0","121","160","1","0","1","0","6","0","0","0","6","104","0","0","0","150","189","65","0","65","0","6","64","0","0","6","104","64","0","0","0","0","80","0","0","0","0","0","11","0","1","0","0","3","0","16","0","0","0","0","0","0","0","49","0","0","0","0","0"
"L9364","ColumnIndicesTests","io.realm.ColumnIndicesTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\ColumnIndicesTests.java","42","1","121","2","0","0","0","0","0","0","0","0","1","1","1","6","10","0","0","11","16","0","0.03125","2","0","0","5","0.03125","2","0","0","0","0","0","62","80","4","0","4","0","5","2","4","1","5","32","2","4","1","62","80","4","0","4","0","5","2","4","1","5","32","2","4","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L9401","ColumnInfoTests","io.realm.ColumnInfoTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\ColumnInfoTests.java","35","1","142","2","0.26378","1","2","2","0.203704","0.206897","22","18","1","1","1","5","6","0","0","6","10","0","0.043956","4","0","0","5","0.043956","4","0","0","0","0","0","87","108","3","0","3","0","4","2","4","1","4","67","2","4","1","87","108","3","0","3","0","4","2","4","1","4","67","2","4","1","0","0","30","0","0","0","0","0","15","0","0","0","0","0","0","11","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L9414","DynamicRealmObjectTests","io.realm.DynamicRealmObjectTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\DynamicRealmObjectTests.java","60","1","1094","2","0.151016","7","60","15","0.156522","0.154684","162","142","3","4","4","208","28","2","0","76","125","0.108696","0.0349727","32","9","5","41","0.0367261","35","0","0","0","0","0","883","993","7","3","7","3","49","2","45","10","49","573","2","45","10","918","1035","19","3","19","3","51","14","47","10","51","593","14","47","10","0","0","235","0","0","0","0","0","77","0","1","15","0","12","0","109","0","0","0","0","0","0","0","21","0","0","0","0","0"
"L9694","DynamicRealmTests","io.realm.DynamicRealmTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\DynamicRealmTests.java","55","1","696","2","0.296389","9","26","20","0.242991","0.255083","156","138","3","1","1","47","32","7","0","66","102","0.0857143","0.0389294","16","6","3","32","0.0322004","18","0","0","0","0","0","395","485","5","0","5","0","36","3","34","1","36","223","3","34","1","541","642","7","0","6","0","49","3","47","1","55","317","3","51","1","0","0","254","0","0","0","0","0","99","0","1","0","0","6","0","140","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L9933","GCTests","io.realm.GCTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\GCTests.java","38","1","129","2","0.240786","1","6","2","0.217391","0.243902","20","20","2","2","2","20","9","0","0","15","23","0.111111","0.0465116","4","4","1","8","0.0465116","4","0","0","0","0","0","82","92","2","0","2","0","8","1","8","1","8","64","1","8","1","82","92","2","0","2","0","8","1","8","1","8","64","1","8","1","0","0","41","0","0","0","0","0","17","0","1","0","0","0","0","19","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L9879","HandlerProxy","io.realm.HandlerProxy","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\HandlerProxy.java","25","1","82","2","0","0","0","0","0","0","0","0","2","1","1","10","1","11","0","1","7","0.4","0.407407","22","22","2","3","0.407407","22","0","0","9","9","0","32","58","1","0","1","0","6","0","4","0","6","12","0","4","0","32","58","1","0","1","0","6","0","4","0","6","12","0","4","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16411","IOSRealmTests","io.realm.IOSRealmTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\IOSRealmTests.java","46","1","223","2","0.165881","1","2","2","0.11236","0.125","20","20","1","3","3","19","13","0","0","37","46","0.111111","0.030303","5","3","1","8","0.030303","5","0","0","0","0","0","160","178","5","1","5","1","9","1","8","1","9","107","1","8","1","160","178","5","1","5","1","9","1","8","1","9","107","1","8","1","0","0","46","0","0","0","0","0","15","0","0","0","0","6","0","21","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L16464","ManagedOrderedRealmCollectionTests","io.realm.ManagedOrderedRealmCollectionTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\ManagedOrderedRealmCollectionTests.java","116","1","762","2","0.244075","4","23","8","0.211747","0.222222","137","120","2","3","3","71","18","2","0","50","86","0.129032","0.144366","82","71","4","27","0.134615","84","1","1","0","0","1","486","590","9","0","8","0","36","2","30","0","42","303","2","30","0","540","647","9","0","8","0","38","2","32","0","44","356","2","32","0","0","0","169","0","0","0","0","0","69","0","1","2","0","3","0","85","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L16662","ManagedRealmCollectionTests","io.realm.ManagedRealmCollectionTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\ManagedRealmCollectionTests.java","87","1","795","2","0.0959433","3","48","5","0.126939","0.140794","90","78","2","4","4","114","20","2","1","47","100","0.297872","0.16723","99","59","14","33","0.155488","102","1","1","0","0","1","493","644","6","0","5","0","53","1","46","0","59","283","1","46","0","554","709","6","0","5","0","55","1","48","0","61","343","1","48","0","0","0","174","0","0","0","0","0","44","0","1","7","0","2","0","111","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L16886","MediatorTest","io.realm.MediatorTest","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\MediatorTest.java","33","1","90","2","0","0","0","0","0","0","0","0","4","0","0","4","12","0","0","8","12","0","0.0416667","2","0","0","5","0.0416667","2","0","0","0","0","0","46","58","0","0","0","0","4","0","4","0","4","32","0","4","0","46","58","0","0","0","0","4","0","4","0","4","32","0","4","0","0","0","13","0","0","0","0","0","0","0","1","0","0","1","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16915","NotificationsTest","io.realm.NotificationsTest","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\NotificationsTest.java","64","1","1363","2","0.123131","5","22","12","0.109231","0.121422","142","123","3","2","2","48","23","33","0","31","64","0.294118","0.168539","105","54","10","24","0.132705","155","0","0","0","0","0","518","738","5","0","5","0","33","3","33","2","33","307","3","33","2","1013","1300","8","0","5","0","102","3","102","2","105","549","5","105","2","0","0","597","0","0","0","0","0","195","0","1","0","0","1","0","387","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L17467","OrderedRealmCollectionIteratorTests","io.realm.OrderedRealmCollectionIteratorTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\OrderedRealmCollectionIteratorTests.java","48","1","954","2","0.383542","10","85","22","0.347299","0.357143","315","265","2","2","2","173","19","1","0","32","75","0","0.0614597","48","6","0","39","0.0607595","48","1","1","0","0","1","733","898","8","0","7","0","43","3","38","0","49","455","3","38","0","742","907","8","0","7","0","44","3","39","0","50","461","3","39","0","0","0","241","0","0","0","0","0","133","0","1","3","0","2","0","92","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L17592","OrderedRealmCollectionTests","io.realm.OrderedRealmCollectionTests","L105","L103","D:\PR_assignment_src\realm-java\realm\realm-library\src\androidTest\java\io\realm\OrderedRealmCollectionTests.java","106","1","385","2","0.0613065","1","5","1","0.0714286","0.0729614","20","17","2","3","3","63","12","0","0","25","50","0.0869565","0.236066","72","68","2","21","0.236066","72","1","1","0","0","1","233","280","7","2","6","2","25","2","22","0","31","101","2","22","0","233","280","7","2","6","2","25","2","22","0","31","101","2","22","0","0","0","73","0","0","0","0","0","9","0","1","1","0","2","0","53","0","0","0","0","0","0","0","7","0","0","0","0","0"
