"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L118","ApplicationTest","jp.wasabeef.recyclerview.ApplicationTest","L106","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\androidTest\java\jp\wasabeef\recyclerview\ApplicationTest.java","9","1","14","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","6","0","0","0","0","1","0","1","0","1","1","0","1","0","5","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L144","AlphaInAnimationAdapter","jp.wasabeef.recyclerview.adapters.AlphaInAnimationAdapter","L131","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AlphaInAnimationAdapter.java","24","1","41","2","0","0","0","0","0","0","0","0","0","0","0","3","1","2","2","1","4","0.333333","0.517241","15","15","1","2","0.517241","15","1","1","0","0","1","14","18","7","5","2","1","3","0","2","0","17","4","0","16","4","14","18","7","5","2","1","3","0","2","0","17","4","0","16","4","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","AnimationAdapter","jp.wasabeef.recyclerview.adapters.AnimationAdapter","L131","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AnimationAdapter.java","26","1","106","2","0","0","0","0","0","0","0","0","1","2","2","18","1","13","7","1","16","0.0666667","0.192308","15","15","1","14","0.192308","15","0","0","5","5","0","63","81","5","5","5","5","15","0","14","4","15","24","0","14","4","63","81","5","5","5","5","15","0","14","4","15","24","0","14","4","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L251","ScaleInAnimationAdapter","jp.wasabeef.recyclerview.adapters.ScaleInAnimationAdapter","L131","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\ScaleInAnimationAdapter.java","24","1","43","2","0","0","0","0","0","0","0","0","0","0","0","3","1","1","1","1","4","0.333333","0.483871","15","15","1","2","0.483871","15","1","1","0","0","1","16","20","7","5","2","1","3","0","2","0","17","6","0","16","4","16","20","7","5","2","1","3","0","2","0","17","6","0","16","4","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L268","SlideInBottomAnimationAdapter","jp.wasabeef.recyclerview.adapters.SlideInBottomAnimationAdapter","L131","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\SlideInBottomAnimationAdapter.java","24","1","35","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","1","3","0.5","0.6","15","15","1","1","0.6","15","1","1","0","0","1","10","12","5","5","0","1","2","0","1","0","16","2","0","15","4","10","12","5","5","0","1","2","0","1","0","16","2","0","15","4","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L276","SlideInLeftAnimationAdapter","jp.wasabeef.recyclerview.adapters.SlideInLeftAnimationAdapter","L131","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\SlideInLeftAnimationAdapter.java","24","1","35","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","1","3","0.5","0.6","15","15","1","1","0.6","15","1","1","0","0","1","10","12","5","5","0","1","2","0","1","0","16","2","0","15","4","10","12","5","5","0","1","2","0","1","0","16","2","0","15","4","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L286","SlideInRightAnimationAdapter","jp.wasabeef.recyclerview.adapters.SlideInRightAnimationAdapter","L131","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\SlideInRightAnimationAdapter.java","24","1","35","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","1","3","0.5","0.6","15","15","1","1","0.6","15","1","1","0","0","1","10","12","5","5","0","1","2","0","1","0","16","2","0","15","4","10","12","5","5","0","1","2","0","1","0","16","2","0","15","4","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L316","BaseItemAnimator","jp.wasabeef.recyclerview.animators.BaseItemAnimator","L292","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\animators\BaseItemAnimator.java","34","1","695","2","0.0477915","1","2","2","0.0453172","0.0490368","30","28","1","4","4","115","7","30","92","9","36","0","0.0426009","19","5","0","11","0.0322034","19","0","0","21","21","0","427","495","13","2","13","2","27","0","10","1","27","301","0","10","1","571","662","26","2","26","2","52","11","32","1","67","365","11","47","1","0","0","211","0","0","0","0","0","39","0","6","6","0","0","0","138","0","1","0","0","0","0","0","21","0","0","0","0","0"
"L638","FadeInAnimator","jp.wasabeef.recyclerview.animators.FadeInAnimator","L292","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\animators\FadeInAnimator.java","23","1","55","2","0","0","0","0","0","0","0","0","2","0","0","5","3","1","1","5","10","0","0","0","0","0","3","0","0","1","1","0","0","1","28","33","13","2","0","0","5","0","2","0","30","4","0","12","1","28","33","13","2","0","0","5","0","2","0","30","4","0","12","1","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L653","FadeInDownAnimator","jp.wasabeef.recyclerview.animators.FadeInDownAnimator","L292","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\animators\FadeInDownAnimator.java","23","1","58","2","0.323741","1","1","1","0.277778","0.322581","10","10","2","0","0","5","3","0","0","5","10","0","0","0","0","0","3","0","0","1","1","0","0","1","31","36","13","2","0","0","5","0","2","0","30","5","0","12","1","31","36","13","2","0","0","5","0","2","0","30","5","0","12","1","0","0","25","0","0","0","0","0","11","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
