"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4952","BuiltInConverters","retrofit2.BuiltInConverters","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\BuiltInConverters.java","25","1","96","2","0","0","0","0","0","0","0","0","2","1","1","6","9","2","0","2","4","0","0","0","0","0","3","0.0163934","1","1","1","0","0","1","23","29","0","0","0","0","2","0","2","0","5","8","0","5","0","60","72","5","0","5","0","7","0","7","0","10","16","0","10","0","0","0","33","0","0","0","0","0","0","0","1","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5099","DefaultCallAdapterFactory","retrofit2.DefaultCallAdapterFactory","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\DefaultCallAdapterFactory.java","26","1","46","2","0","0","0","0","0","0","0","0","1","1","1","2","5","1","0","2","3","0.5","0.294118","5","5","1","1","0.217391","5","1","1","0","0","1","12","14","1","2","1","0","1","0","1","0","3","4","0","1","0","18","21","1","2","1","0","3","0","3","0","5","6","0","3","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5120","ExecutorCallAdapterFactory","retrofit2.ExecutorCallAdapterFactory","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\ExecutorCallAdapterFactory.java","24","1","109","2","0","0","0","0","0","0","0","0","1","1","1","3","5","3","2","2","4","0","0","0","0","0","2","0.0273973","2","1","1","0","0","1","15","18","1","2","1","0","2","0","1","0","4","5","0","1","0","71","86","3","2","3","0","16","0","14","0","18","24","0","14","0","0","0","52","0","0","0","0","0","0","0","2","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5301","OkHttpCall<T extends Object>","retrofit2.OkHttpCall","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\OkHttpCall.java","27","1","304","2","0","0","0","0","0","0","0","0","1","2","2","37","7","3","3","9","19","0","0.0451613","7","1","0","8","0.0295359","7","1","1","0","0","1","148","183","6","0","6","0","10","0","7","0","10","87","0","7","0","230","278","10","0","10","0","25","0","17","0","25","118","0","17","0","0","0","70","0","0","0","0","0","0","0","3","0","0","0","0","65","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L5406","ParameterHandler<T extends Object>","retrofit2.ParameterHandler","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\ParameterHandler.java","27","1","304","2","0.162276","1","10","2","0.129496","0.146552","36","34","2","0","0","3","1","16","4","0","3","0","0","0","0","0","1","0.0333333","8","0","0","14","14","0","11","25","0","0","0","0","3","0","0","0","3","2","0","0","0","232","278","22","0","22","0","28","0","0","0","56","104","0","0","0","0","0","129","0","0","0","0","0","27","0","1","0","0","0","0","99","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L5656","Platform","retrofit2.Platform","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Platform.java","27","1","106","2","0","0","0","0","0","0","0","0","6","2","2","10","6","7","6","1","7","0","0","0","0","0","1","0.0571429","4","0","0","3","3","0","37","45","1","0","1","0","6","0","0","0","6","15","0","0","0","66","80","2","0","2","0","11","0","2","0","23","22","0","2","0","0","0","35","0","0","0","0","0","0","0","3","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5410","RequestBuilder","retrofit2.RequestBuilder","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\RequestBuilder.java","29","1","246","2","0","0","0","0","0","0","0","0","1","4","3","52","1","16","13","1","13","0","0.0747126","13","0","0","1","0.0680628","13","0","0","0","0","0","161","197","12","0","12","0","12","0","0","2","12","89","0","0","2","178","218","14","0","14","0","16","0","3","2","16","94","0","3","2","0","0","42","0","0","0","0","0","0","0","0","1","0","0","0","38","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L215","Response<T extends Object>","retrofit2.Response","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Response.java","24","1","133","2","0","0","0","0","0","0","0","0","3","1","1","21","0","150","108","0","14","0.928571","0.25","25","22","13","1","0.25","25","0","0","0","0","0","75","110","3","0","3","0","14","0","13","0","14","30","0","13","0","75","110","3","0","3","0","14","0","13","0","14","30","0","13","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L198","Retrofit","retrofit2.Retrofit","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Retrofit.java","59","1","585","2","0.246515","1","12","3","0.085389","0.165441","45","45","2","2","2","39","10","108","146","11","28","0.933333","0.431373","132","124","14","1","0.459245","231","0","0","0","0","0","174","318","7","0","7","0","17","0","14","0","17","119","0","14","0","272","527","15","0","15","0","30","0","25","0","30","171","0","25","0","0","0","56","0","0","0","0","0","22","0","2","0","0","0","0","27","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L5304","ServiceMethod<R extends Object, T extends Object>","retrofit2.ServiceMethod","L104","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\ServiceMethod.java","59","1","758","2","0.240338","5","50","14","0.2","0.224223","140","137","3","1","1","17","6","6","6","6","11","1","0.116883","9","8","1","0","0.0347551","22","0","0","0","0","0","68","92","15","0","15","0","5","0","0","0","5","45","0","0","0","611","700","38","0","38","0","19","0","2","0","19","382","0","2","0","0","0","83","0","0","0","0","0","19","0","1","9","0","3","0","39","0","0","0","0","0","0","0","12","0","0","0","0","0"
