"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L163","Access","spark.Access","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\Access.java","24","1","34","2","0","0","0","0","0","0","0","0","1","0","0","2","2","1","1","1","3","0.5","0.363636","4","3","1","1","0.363636","4","0","0","0","0","0","7","11","0","0","0","0","2","0","1","0","2","1","0","1","0","7","11","0","0","0","0","2","0","1","0","2","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L185","CustomErrorPages","spark.CustomErrorPages","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\CustomErrorPages.java","24","1","77","2","0","0","0","0","0","0","0","0","1","3","2","10","4","5","6","1","7","0.333333","0.128205","5","4","1","2","0.119048","5","0","0","0","0","0","34","51","3","2","3","2","6","2","2","0","6","14","2","2","0","37","54","4","2","4","2","6","2","2","0","6","14","2","2","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L844","ExceptionHandlerImpl","spark.ExceptionHandlerImpl","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\ExceptionHandlerImpl.java","19","1","60","2","0","0","0","0","0","0","0","0","1","0","0","4","3","4","1","0","4","0.8","0.657895","25","25","4","1","0.657895","25","1","1","1","1","1","13","42","1","0","1","0","4","0","4","0","4","3","0","4","0","13","42","1","0","1","0","4","0","4","0","4","3","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L866","ExceptionMapper","spark.ExceptionMapper","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\ExceptionMapper.java","22","1","108","2","0","0","0","0","0","0","0","0","1","3","3","9","1","3","4","0","5","0.833333","0.545455","42","33","5","1","0.545455","42","0","0","0","0","0","35","87","2","3","2","3","5","0","5","0","5","17","0","5","0","35","87","2","3","2","3","5","0","5","0","5","17","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L925","FilterImpl","spark.FilterImpl","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\FilterImpl.java","28","1","104","2","0","0","0","0","0","0","0","0","2","1","1","9","4","7","13","0","8","0.75","0.485294","33","33","3","1","0.458333","33","1","2","2","2","2","35","73","4","2","4","2","8","0","3","0","8","11","0","3","0","39","77","4","4","4","2","9","0","4","0","16","12","0","6","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L1014","HaltException","spark.HaltException","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\HaltException.java","26","1","79","2","0","0","0","0","0","0","0","0","1","0","0","8","0","3","5","0","8","1","0.387755","19","19","5","0","0.387755","19","0","0","0","0","0","30","54","3","2","3","2","8","0","4","0","8","9","0","4","0","30","54","3","2","3","2","8","0","4","0","8","9","0","4","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1586","ModelAndView","spark.ModelAndView","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\ModelAndView.java","25","1","62","2","0","0","0","0","0","0","0","0","0","0","0","3","0","7","5","0","3","1","0.615385","24","24","4","0","0.615385","24","0","0","0","0","0","15","38","2","2","2","2","3","0","3","0","3","5","0","3","0","15","38","2","2","2","2","3","0","3","0","3","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1428","QueryParamsMap","spark.QueryParamsMap","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\QueryParamsMap.java","32","1","298","2","0","0","0","0","0","0","0","0","1","2","2","40","0","5","12","0","23","1","0.538153","134","133","15","0","0.527559","134","0","0","1","1","0","115","262","4","2","4","2","23","0","14","0","23","47","0","14","0","120","267","4","4","4","2","24","0","15","0","47","48","0","29","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1761","Redirect","spark.Redirect","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\Redirect.java","22","1","182","2","0","0","0","0","0","0","0","0","1","0","0","13","3","5","4","4","17","1","0.610169","72","72","11","0","0.539568","75","0","0","0","0","0","46","140","1","0","1","0","13","0","10","0","13","16","0","10","0","64","161","11","0","11","0","15","9","11","0","15","18","9","11","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L176","Request","spark.Request","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\Request.java","45","1","545","2","0","0","0","0","0","0","0","0","1","4","4","74","6","29","75","10","54","0.972222","0.432184","188","184","35","1","0.432184","188","0","0","1","1","0","247","501","11","2","11","2","44","0","35","0","44","118","0","35","0","247","501","11","2","11","2","44","0","35","0","44","118","0","35","0","0","0","25","0","0","0","0","0","0","0","0","2","0","0","0","17","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L2109","RequestResponseFactory","spark.RequestResponseFactory","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\RequestResponseFactory.java","24","1","44","2","0","0","0","0","0","0","0","0","3","0","0","4","3","5","5","3","7","0.25","0.1875","3","3","1","3","0.1875","3","0","0","0","0","0","13","21","0","0","0","0","4","0","3","0","4","3","0","3","0","13","21","0","0","0","0","4","0","3","0","4","3","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","Response","spark.Response","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\Response.java","32","1","248","2","0","0","0","0","0","0","0","0","2","1","1","23","0","28","39","0","19","1","0.575","115","114","18","0","0.575","115","0","0","1","1","0","85","217","3","0","3","0","19","0","17","0","19","36","0","17","0","85","217","3","0","3","0","19","0","17","0","19","36","0","17","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L2610","ResponseTransformerRouteImpl","spark.ResponseTransformerRouteImpl","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\ResponseTransformerRouteImpl.java","29","1","64","2","0","0","0","0","0","0","0","0","1","0","0","4","4","2","18","1","5","0.5","0.5","16","16","2","2","0.4","16","2","3","1","1","1","16","27","4","2","0","0","4","0","3","0","14","3","0","7","0","24","36","4","4","0","0","6","0","5","0","28","5","0","14","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1793","Routable","spark.Routable","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\Routable.java","25","1","772","2","0","0","0","0","0","0","0","0","2","0","0","62","11","5","70","8","70","1","0.668135","455","455","61","0","0.668135","455","0","0","1","1","0","226","748","0","0","0","0","62","0","60","0","62","60","0","60","0","226","748","0","0","0","0","62","0","60","0","62","60","0","60","0","0","0","8","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1576","RouteImpl","spark.RouteImpl","L104","L103","D:\PR_assignment_src\spark\src\main\java\spark\RouteImpl.java","28","1","146","2","0","0","0","0","0","0","0","0","2","1","1","12","4","9","28","0","10","1","0.587156","64","64","5","0","0.566372","64","1","2","4","6","2","45","115","4","2","4","2","10","0","4","0","10","15","0","4","0","49","119","4","4","4","2","11","0","5","0","20","16","0","8","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0"
