"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L82656","SampleController","sample.SampleController","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-glassfish\src\main\java\sample\SampleController.java","22","1","30","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82659","SampleGlassfishDeployApplication","sample.SampleGlassfishDeployApplication","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-glassfish\src\main\java\sample\SampleGlassfishDeployApplication.java","22","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","3","4","2","1","0","0","0","0","0","0","7","0","0","1","1","3","4","2","1","0","0","0","0","0","0","7","0","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82661","SampleGlassfishDeployApplicationIT","sample.SampleGlassfishDeployApplicationIT","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-glassfish\src\test\java\sample\SampleGlassfishDeployApplicationIT.java","30","1","44","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","3","0.5","0.2","3","3","1","1","0.2","3","0","0","0","0","0","12","15","1","0","1","0","1","0","1","0","1","5","0","1","0","12","15","1","0","1","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82667","SampleController","sample.SampleController","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-tomcat\src\main\java\sample\SampleController.java","22","1","30","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82670","SampleTomcatDeployApplication","sample.SampleTomcatDeployApplication","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-tomcat\src\main\java\sample\SampleTomcatDeployApplication.java","22","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","3","4","2","1","0","0","0","0","0","0","7","0","0","1","1","3","4","2","1","0","0","0","0","0","0","7","0","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82672","SampleTomcatDeployApplicationIT","sample.SampleTomcatDeployApplicationIT","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-tomcat\src\test\java\sample\SampleTomcatDeployApplicationIT.java","30","1","43","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","3","0.5","0.214286","3","3","1","1","0.214286","3","0","0","0","0","0","11","14","1","0","1","0","1","0","1","0","1","4","0","1","0","11","14","1","0","1","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82678","SampleController","sample.SampleController","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-tomee\src\main\java\sample\SampleController.java","22","1","30","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82681","SampleTomEEDeployApplication","sample.SampleTomEEDeployApplication","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-tomee\src\main\java\sample\SampleTomEEDeployApplication.java","23","1","31","2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","1","2","0","0","0","0","0","1","0","0","1","1","0","0","1","7","9","2","1","0","0","1","0","0","0","8","1","0","1","1","7","9","2","1","0","0","1","0","0","0","8","1","0","1","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82687","SampleTomEEDeployApplicationIT","sample.SampleTomEEDeployApplicationIT","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-tomee\src\test\java\sample\SampleTomEEDeployApplicationIT.java","30","1","43","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","3","0.5","0.214286","3","3","1","1","0.214286","3","0","0","0","0","0","11","14","1","0","1","0","1","0","1","0","1","4","0","1","0","11","14","1","0","1","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82693","SampleController","sample.SampleController","L82599","L103","D:\PR_assignment_src\spring-boot\spring-boot-deployment-tests\spring-boot-deployment-test-wildfly\src\main\java\sample\SampleController.java","22","1","30","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
