"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L282","AbstractContextControllerTests","org.springframework.samples.mvc.AbstractContextControllerTests","L144","L103","D:\PR_assignment_src\spring-mvc-showcase\src\test\java\org\springframework\samples\mvc\AbstractContextControllerTests.java","8","1","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","1","0","0","0","0","8","8","0","6","8","1","0","1","0","0","0","0","0","0","0","0","0","0","6","8","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L121","AjaxUtils","org.springframework.mvc.extensions.ajax.AjaxUtils","L108","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\mvc\extensions\ajax\AjaxUtils.java","5","1","18","2","0","0","0","0","0","0","0","0","2","0","0","4","0","2","2","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","10","14","0","0","0","0","3","0","2","0","3","3","0","2","0","10","14","0","0","0","0","3","0","2","0","3","3","0","2","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L163","CallableController","org.springframework.samples.mvc.async.CallableController","L152","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\CallableController.java","13","1","83","2","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","5","0","0","0","0","0","6","0.0169492","1","0","0","0","0","0","31","43","0","0","0","0","5","0","5","0","5","6","0","5","0","58","71","0","0","0","0","9","0","9","0","9","18","0","9","0","0","0","34","0","0","0","0","0","0","0","1","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","DeferredResultController","org.springframework.samples.mvc.async.DeferredResultController","L152","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\DeferredResultController.java","14","1","77","2","0","0","0","0","0","0","0","0","3","1","1","9","1","0","0","1","7","0","0.0392157","2","0","0","7","0.0392157","2","0","0","0","0","0","49","64","3","0","3","0","6","0","6","0","6","20","0","6","0","49","64","3","0","3","0","6","0","6","0","6","20","0","6","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L247","JavaBean","org.springframework.samples.mvc.async.JavaBean","L152","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\JavaBean.java","3","1","30","2","0","0","0","0","0","0","0","0","0","0","0","5","0","1","1","0","5","0","0","0","0","0","6","0","0","0","0","0","0","0","20","28","2","2","2","2","5","0","5","2","5","6","0","5","2","20","28","2","2","2","2","5","0","5","2","5","6","0","5","2","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","TimeoutCallableProcessingInterceptor","org.springframework.samples.mvc.async.TimeoutCallableProcessingInterceptor","L152","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\TimeoutCallableProcessingInterceptor.java","8","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","8","0","0","0","0","1","0","1","0","1","1","0","1","0","6","8","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L281","CallableControllerTests","org.springframework.samples.mvc.async.CallableControllerTests","L152","L103","D:\PR_assignment_src\spring-mvc-showcase\src\test\java\org\springframework\samples\mvc\async\CallableControllerTests.java","21","1","71","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","4","0","0","0","0","0","5","0","0","1","1","0","0","1","42","51","2","0","1","0","4","0","4","0","4","7","0","4","0","42","51","2","0","1","0","4","0","4","0","4","7","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L296","DeferredResultControllerTests","org.springframework.samples.mvc.async.DeferredResultControllerTests","L152","L103","D:\PR_assignment_src\spring-mvc-showcase\src\test\java\org\springframework\samples\mvc\async\DeferredResultControllerTests.java","22","1","74","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","4","0","0","0","0","0","5","0","0","1","1","0","0","1","44","53","2","0","1","0","4","0","4","0","4","7","0","4","0","44","53","2","0","1","0","4","0","4","0","4","7","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L314","ConvertController","org.springframework.samples.mvc.convert.ConvertController","L304","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\convert\ConvertController.java","14","1","54","2","0","0","0","0","0","0","0","0","7","0","0","7","3","1","0","0","7","0.125","0.030303","1","1","1","7","0.030303","1","0","0","0","0","0","32","41","0","0","0","0","7","0","7","0","7","7","0","7","0","32","41","0","0","0","0","7","0","7","0","7","7","0","7","0","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L342","JavaBean","org.springframework.samples.mvc.convert.JavaBean","L304","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\convert\JavaBean.java","10","1","115","2","0.405109","2","8","2","0.198113","0.2625","21","21","1","1","1","22","1","1","0","0","15","0","0.047619","4","4","0","16","0.047619","4","0","0","0","0","0","80","106","7","7","7","7","15","0","15","7","15","31","0","15","7","80","106","7","7","7","7","15","0","15","7","15","31","0","15","7","0","0","48","0","0","0","0","0","12","0","0","0","0","0","0","33","0","0","0","0","0","0","0","3","0","0","0","0","0"
