"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L45618","DmsIntegrationTests","sample.DmsIntegrationTests","L44788","L103","D:\PR_assignment_src\spring-security\samples\xml\dms\src\test\java\sample\DmsIntegrationTests.java","55","1","163","2","0","0","0","0","0","0","0","0","2","2","2","13","6","1","3","7","14","0.142857","0.23301","24","6","1","6","0.23301","24","0","0","1","1","0","79","109","2","0","2","0","7","0","6","1","7","37","0","6","1","79","109","2","0","2","0","7","0","6","1","7","37","0","6","1","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L45637","SecureDmsIntegrationTests","sample.SecureDmsIntegrationTests","L44788","L103","D:\PR_assignment_src\spring-security\samples\xml\dms\src\test\java\sample\SecureDmsIntegrationTests.java","30","1","68","2","0","0","0","0","0","0","0","0","2","0","0","4","1","0","0","1","5","0.2","0.232558","10","6","1","4","0.232558","10","1","1","0","0","1","33","39","2","0","0","0","4","0","4","0","11","9","0","10","1","33","39","2","0","0","0","4","0","4","0","11","9","0","10","1","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L45647","PreAuthXmlTests","sample.PreAuthXmlTests","L44788","L103","D:\PR_assignment_src\spring-security\samples\xml\preauth\src\test\java\sample\PreAuthXmlTests.java","29","1","38","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0.5","0.25","3","3","1","1","0.25","3","0","0","0","0","0","9","10","1","0","1","0","1","0","1","0","1","0","0","1","0","9","10","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L45830","TestVoter","sample.TestVoter","L44788","L103","D:\PR_assignment_src\spring-security\sandbox\heavyduty\src\main\java\sample\TestVoter.java","25","1","44","2","0","0","0","0","0","0","0","0","3","0","0","3","3","0","0","0","3","0","0","0","0","0","4","0","0","1","1","0","0","1","13","20","3","0","0","0","3","0","3","0","5","5","3","5","0","13","20","3","0","0","0","3","0","3","0","5","5","3","5","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L45944","DataConfig","samples.DataConfig","L45840","L103","D:\PR_assignment_src\spring-security\samples\javaconfig\data\src\main\java\samples\DataConfig.java","40","1","85","2","0.384615","1","1","1","0.282609","0.282051","13","11","3","0","0","5","2","0","0","1","6","0.166667","0.0714286","3","3","1","5","0.0714286","3","0","0","0","0","0","39","46","0","0","0","0","5","0","5","0","5","18","0","5","0","39","46","0","0","0","0","5","0","5","0","5","18","0","5","0","0","0","25","0","0","0","0","0","11","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46367","Account","bigbank.Account","L46348","L103","D:\PR_assignment_src\spring-security\samples\xml\tutorial\src\main\java\bigbank\Account.java","26","1","72","2","0","0","0","0","0","0","0","0","1","0","0","10","0","12","6","0","10","0.0909091","0.177778","8","8","1","10","0.177778","8","0","0","0","0","0","37","47","4","4","4","4","10","0","10","4","10","10","0","10","4","37","47","4","4","4","4","10","0","10","4","10","10","0","10","4","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46401","BankDaoStub","bigbank.BankDaoStub","L46348","L103","D:\PR_assignment_src\spring-security\samples\xml\tutorial\src\main\java\bigbank\BankDaoStub.java","21","1","47","2","0","0","0","0","0","0","0","0","1","1","1","5","2","0","0","2","5","0","0","0","0","0","4","0","0","1","1","0","0","1","23","27","2","0","2","0","3","0","3","0","3","11","0","3","0","23","27","2","0","2","0","3","0","3","0","3","11","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46429","BankServiceImpl","bigbank.BankServiceImpl","L46348","L103","D:\PR_assignment_src\spring-security\samples\xml\tutorial\src\main\java\bigbank\BankServiceImpl.java","20","1","49","2","0","0","0","0","0","0","0","0","1","1","1","5","3","0","0","6","10","0","0.0416667","1","0","0","5","0.0416667","1","1","1","0","0","1","23","30","1","0","1","0","4","0","4","0","4","11","0","4","0","23","30","1","0","1","0","4","0","4","0","4","11","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46447","SeedData","bigbank.SeedData","L46348","L103","D:\PR_assignment_src\spring-security\samples\xml\tutorial\src\main\java\bigbank\SeedData.java","21","1","36","2","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","2","4","0","0","0","0","0","3","0","0","0","0","0","0","0","13","16","1","0","1","0","2","0","2","1","2","6","0","2","1","13","16","1","0","1","0","2","0","2","1","2","6","0","2","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46500","Account","bigbank.Account","L46348","L103","D:\PR_assignment_src\spring-security\sandbox\heavyduty\src\main\java\bigbank\Account.java","26","1","65","2","0","0","0","0","0","0","0","0","1","0","0","8","0","0","0","0","8","0.2","0.210526","8","8","2","8","0.210526","8","0","0","0","0","0","30","40","3","3","3","3","8","0","8","3","8","9","0","8","3","30","40","3","3","3","3","8","0","8","3","8","9","0","8","3","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
