"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L18023","Application","demo.Application","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\main\java\demo\Application.java","22","1","91","2","0.535912","1","1","1","0.371429","0.413793","26","24","2","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0.0333333","2","0","0","0","0","0","14","18","0","0","0","0","2","0","2","0","2","2","0","2","0","58","70","1","0","1","0","6","0","6","0","9","8","0","9","0","0","0","37","0","0","0","0","0","17","0","2","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18041","ApplicationTests","demo.ApplicationTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\ApplicationTests.java","10","1","20","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","9","11","0","0","0","0","1","0","1","0","1","0","0","1","0","9","11","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18044","AuthorizationCodeProviderTests","demo.AuthorizationCodeProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\AuthorizationCodeProviderTests.java","24","1","33","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0.333333","4","3","1","0","0.333333","4","3","3","0","0","1","8","10","17","10","0","0","1","0","0","0","47","3","4","27","4","8","10","17","10","0","0","1","0","0","0","47","3","4","27","4","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L18054","ClientCredentialsProviderTests","demo.ClientCredentialsProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\ClientCredentialsProviderTests.java","10","1","14","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","3","3","1","0","0.5","3","2","2","0","0","1","3","5","17","5","0","0","0","0","0","0","26","0","4","16","4","3","5","17","5","0","0","0","0","0","0","26","0","4","16","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L18062","ImplicitProviderTests","demo.ImplicitProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\ImplicitProviderTests.java","10","1","13","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","3","3","1","0","0.5","3","2","2","0","0","1","3","4","15","5","0","0","0","0","0","0","23","0","4","14","4","3","4","15","5","0","0","0","0","0","0","23","0","4","14","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L18070","ProtectedResourceTests","demo.ProtectedResourceTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\ProtectedResourceTests.java","24","1","27","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.571429","4","4","1","0","0.571429","4","2","2","0","0","1","3","4","15","5","0","0","0","0","0","0","25","0","4","16","4","3","4","15","5","0","0","0","0","0","0","25","0","4","16","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L18078","RefreshTokenSupportTests","demo.RefreshTokenSupportTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\RefreshTokenSupportTests.java","11","1","13","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.571429","4","4","1","0","0.571429","4","2","2","0","0","1","3","3","15","8","0","0","0","0","0","0","29","0","4","14","4","3","3","15","8","0","0","0","0","0","0","29","0","4","14","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L18086","ResourceOwnerPasswordProviderTests","demo.ResourceOwnerPasswordProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\ResourceOwnerPasswordProviderTests.java","10","1","13","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","3","3","1","0","0.5","3","2","2","0","0","1","3","4","16","5","0","0","0","0","0","0","36","0","4","26","4","3","4","16","5","0","0","0","0","0","0","36","0","4","26","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L18094","Application","demo.Application","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\Application.java","22","1","76","2","0.538889","1","1","1","0.254545","0.272727","14","12","3","0","0","3","1","0","0","0","3","0","0","0","0","0","5","0.0434783","2","0","0","0","0","0","18","23","0","0","0","0","3","0","3","0","3","3","0","3","0","44","55","1","0","1","0","6","0","6","0","9","6","0","9","0","0","0","36","0","0","0","0","0","16","0","2","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18114","HardCodedAuthenticationFilter","demo.HardCodedAuthenticationFilter","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\HardCodedAuthenticationFilter.java","28","1","64","2","0","0","0","0","0","0","0","0","3","1","1","4","1","1","0","0","3","0.25","0.257143","9","7","1","3","0.257143","9","0","0","0","0","0","26","37","3","0","3","0","3","0","3","0","3","7","0","3","0","26","37","3","0","3","0","3","0","3","0","3","7","0","3","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18133","ApplicationTests","demo.ApplicationTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\test\java\demo\ApplicationTests.java","10","1","20","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","9","11","0","0","0","0","1","0","1","0","1","0","0","1","0","9","11","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18136","ClientCredentialsProviderTests","demo.ClientCredentialsProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\test\java\demo\ClientCredentialsProviderTests.java","33","1","86","2","0","0","0","0","0","0","0","0","1","1","1","4","3","0","0","1","4","0.6","0.188679","10","10","3","2","0.188679","10","2","2","0","0","1","43","54","18","5","1","0","3","0","3","1","29","24","4","19","5","43","54","18","5","1","0","3","0","3","1","29","24","4","19","5","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L18149","Application","demo.Application","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-grant\src\main\java\demo\Application.java","27","1","96","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0","0","0","0","0","5","0.0333333","2","0","0","0","0","0","18","23","0","0","0","0","3","0","3","0","3","3","0","3","0","58","70","1","0","1","0","6","0","5","0","9","9","0","8","0","0","0","20","0","0","0","0","0","0","0","2","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18167","CustomTokenGranter","demo.CustomTokenGranter","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-grant\src\main\java\demo\CustomTokenGranter.java","40","1","57","2","0","0","0","0","0","0","0","0","0","0","0","4","9","1","1","5","7","1","0.304348","7","7","1","0","0.304348","7","2","2","0","0","1","16","18","5","5","0","1","2","0","0","0","9","7","0","1","0","16","18","5","5","0","1","2","0","0","0","9","7","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18183","AdHocTests","demo.AdHocTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-grant\src\test\java\demo\AdHocTests.java","25","1","34","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.461538","6","4","1","0","0.461538","6","0","0","0","0","0","7","10","0","0","0","0","0","0","0","0","0","0","0","0","0","7","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18186","ApplicationTests","demo.ApplicationTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-grant\src\test\java\demo\ApplicationTests.java","10","1","20","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","9","11","0","0","0","0","1","0","1","0","1","0","0","1","0","9","11","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18189","AuthorizationCodeProviderTests","demo.AuthorizationCodeProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-grant\src\test\java\demo\AuthorizationCodeProviderTests.java","31","1","76","2","0.475336","2","2","2","0.434783","0.444444","20","16","3","0","0","4","7","0","0","5","9","0.333333","0.181818","8","3","2","4","0.181818","8","3","3","0","0","1","36","46","17","10","0","0","4","0","4","0","50","20","4","31","4","36","46","17","10","0","0","4","0","4","0","50","20","4","31","4","0","0","30","0","0","0","0","0","15","0","1","0","0","0","0","11","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L18209","ClientCredentialsProviderTests","demo.ClientCredentialsProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-grant\src\test\java\demo\ClientCredentialsProviderTests.java","10","1","14","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","3","3","2","0","0.5","3","2","2","0","0","1","3","5","17","5","0","0","0","0","0","0","26","0","4","16","4","3","5","17","5","0","0","0","0","0","0","26","0","4","16","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L18212","CustomProviderTests","demo.CustomProviderTests","L17707","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-grant\src\test\java\demo\CustomProviderTests.java","20","1","45","2","0.945946","1","2","2","0.769231","0.869565","20","20","1","0","0","2","2","0","0","1","3","0.333333","0.115385","3","3","1","2","0.115385","3","1","1","0","0","1","23","26","15","5","0","0","2","0","2","0","24","12","4","15","4","23","26","15","5","0","0","2","0","2","0","24","12","4","15","4","0","0","26","0","0","0","0","0","17","0","0","0","0","0","0","7","0","0","0","0","0","0","0","2","0","0","0","0","0"
