"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L405","BootApiApplication","org.springside.examples.bootapi.BootApiApplication","L107","L103","D:\PR_assignment_src\springside4\examples\boot-api\src\main\java\org\springside\examples\bootapi\BootApiApplication.java","7","1","23","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0.647059","11","11","2","0","0.647059","11","0","0","0","0","0","6","17","0","0","0","0","1","0","1","0","1","1","0","1","0","6","17","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L828","BootShowcaseApplication","org.springside.examples.showcase.BootShowcaseApplication","L818","L103","D:\PR_assignment_src\springside4\examples\boot-showcase\src\main\java\org\springside\examples\showcase\BootShowcaseApplication.java","6","1","12","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","7","0","0","0","0","1","0","1","0","1","1","0","1","0","6","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L885","BeanMapper","org.springside.modules.mapper.BeanMapper","L864","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\BeanMapper.java","17","1","41","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","6","0","2","1","0.409091","9","9","3","0","0.409091","9","0","0","0","0","0","13","25","1","0","1","0","2","0","2","0","2","2","0","2","0","13","25","1","0","1","0","2","0","2","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L921","JaxbMapper","org.springside.modules.mapper.JaxbMapper","L864","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","35","1","165","2","0","0","0","0","0","0","0","0","1","2","2","17","3","1","3","2","11","1","0.300885","34","34","9","0","0.308333","37","0","0","0","0","0","79","126","1","1","1","1","9","0","8","0","9","42","0","8","0","83","131","2","1","2","1","9","0","8","0","9","42","0","8","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L307","JsonMapper","org.springside.modules.mapper.JsonMapper","L864","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JsonMapper.java","31","1","166","2","0","0","0","0","0","0","0","0","1","1","1","21","0","4","9","0","13","0.857143","0.4","50","48","12","2","0.4","50","0","0","0","0","0","75","136","2","1","2","1","13","0","13","0","13","33","0","13","0","75","136","2","1","2","1","13","0","13","0","13","33","0","13","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1123","JaxbMapperTest","org.springside.modules.mapper.JaxbMapperTest","L864","L103","D:\PR_assignment_src\springside4\modules\core\src\test\java\org\springside\modules\mapper\JaxbMapperTest.java","44","1","181","2","0","0","0","0","0","0","0","0","3","1","1","6","2","0","0","7","12","0.5","0.320988","26","25","2","2","0.24","30","0","0","0","0","0","55","83","0","0","0","0","5","0","3","0","5","38","0","3","0","95","138","4","4","4","4","14","0","12","4","14","47","0","12","4","0","0","32","0","0","0","0","0","0","0","1","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1198","JsonMapperTest","org.springside.modules.mapper.JsonMapperTest","L864","L103","D:\PR_assignment_src\springside4\modules\core\src\test\java\org\springside\modules\mapper\JsonMapperTest.java","27","1","205","2","0","0","0","0","0","0","0","0","2","1","1","7","2","0","0","7","11","1","0.302521","36","18","5","0","0.238411","36","0","0","0","0","0","83","137","1","0","1","0","4","0","4","0","4","63","0","4","0","115","179","4","3","4","3","13","0","13","3","13","71","0","13","3","0","0","30","0","0","0","0","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1271","Charsets","org.springside.modules.constants.Charsets","L1260","L103","D:\PR_assignment_src\springside4\modules\utils\src\main\java\org\springside\modules\constants\Charsets.java","11","1","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","5","1","0","1","0","0","1","0","0","0","0","1","0","0","3","5","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1280","MediaTypes","org.springside.modules.constants.MediaTypes","L1260","L103","D:\PR_assignment_src\springside4\modules\utils\src\main\java\org\springside\modules\constants\MediaTypes.java","17","1","39","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.36","9","9","1","0","0.36","9","0","0","0","0","0","16","23","14","0","14","0","0","14","0","0","0","0","14","0","0","16","23","14","0","14","0","0","14","0","0","0","0","14","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1367","Collections3","org.springside.modules.utils.Collections3","L1296","L103","D:\PR_assignment_src\springside4\modules\utils\src\main\java\org\springside\modules\utils\Collections3.java","45","1","240","2","0","0","0","0","0","0","0","0","14","2","2","34","1","1","3","1","18","1","0.450777","87","85","18","0","0.450777","87","0","0","0","0","0","106","196","0","2","0","2","17","0","17","0","17","51","0","17","0","106","196","0","2","0","2","17","0","17","0","17","51","0","17","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0"
