"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L358","Config","backtype.storm.Config","L105","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\backtype\storm\Config.java","45","1","975","2","0.0760518","1","4","2","0.0214823","0.0598802","20","20","3","1","1","35","2","43","7","0","32","0.0322581","0.576679","455","455","1","30","0.576679","455","0","0","0","0","0","334","931","212","2","212","2","32","212","30","21","32","52","212","30","21","334","931","212","2","212","2","32","212","30","21","32","52","212","30","21","0","0","94","0","0","0","0","0","14","0","1","0","0","0","0","65","0","0","0","0","0","0","0","14","0","0","0","0","0"
"L868","ConfigValidation","backtype.storm.ConfigValidation","L105","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\backtype\storm\ConfigValidation.java","24","1","106","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0.645161","20","20","1","0","0.4","32","0","0","0","0","0","11","37","4","0","4","0","1","4","0","0","1","1","4","0","0","48","83","4","0","4","0","4","4","3","0","4","16","4","3","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L912","Constants","backtype.storm.Constants","L105","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\backtype\storm\Constants.java","24","1","34","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","10","11","8","0","8","0","0","8","0","0","0","0","8","0","0","10","11","8","0","8","0","0","8","0","0","0","0","8","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L16661","StormSubmitter","backtype.storm.StormSubmitter","L105","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\backtype\storm\StormSubmitter.java","37","1","169","2","0","0","0","0","0","0","0","0","1","4","4","21","13","0","0","17","23","0.6","0.224806","29","28","3","2","0.224806","29","0","0","0","0","0","100","133","3","0","3","0","6","1","4","1","6","60","1","4","1","100","133","3","0","3","0","6","1","4","1","6","60","1","4","1","0","0","21","0","0","0","0","0","0","0","0","2","0","2","0","13","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L21200","Stream","storm.trident.Stream","L21112","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\storm\trident\Stream.java","61","1","374","2","0","0","0","0","0","0","0","0","3","2","2","55","41","11","20","36","87","0.04","0.0255319","6","2","2","48","0.0235294","6","1","1","0","0","1","229","288","3","1","3","1","51","0","49","0","51","82","0","49","0","249","314","3","1","3","1","55","0","53","0","55","86","0","53","0","0","0","125","0","0","0","0","0","0","0","3","0","0","2","0","115","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L21475","TridentState","storm.trident.TridentState","L21112","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\storm\trident\TridentState.java","23","1","40","2","0","0","0","0","0","0","0","0","1","0","0","3","3","3","2","1","4","0","0","0","0","0","3","0","0","0","0","0","0","0","15","18","2","0","2","0","3","0","2","0","3","5","0","2","0","15","18","2","0","2","0","3","0","2","0","3","5","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24803","TridentTopology","storm.trident.TridentTopology","L21112","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\storm\trident\TridentTopology.java","86","1","813","2","0","0","0","0","0","0","0","0","1","4","4","177","54","2","6","66","132","0.0666667","0.0496","31","11","2","28","0.0496","31","0","0","0","0","0","594","728","3","11","3","11","66","0","29","0","66","367","0","29","0","594","728","3","11","3","11","66","0","29","0","66","367","0","29","0","0","0","159","0","0","0","0","0","0","0","0","8","0","4","0","131","0","0","0","0","0","0","0","16","0","0","0","0","0"
"L126","ClojureBolt","backtype.storm.clojure.ClojureBolt","L120","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\backtype\storm\clojure\ClojureBolt.java","40","1","119","2","0.429054","1","3","1","0.3125","0.323529","25","22","1","2","2","13","10","0","0","9","16","0","0.0151515","1","0","0","8","0.0144928","1","2","4","0","0","2","65","77","5","1","5","1","7","0","7","0","7","25","0","7","0","68","80","5","1","5","1","7","0","7","0","7","25","0","7","0","0","0","38","0","0","0","0","0","17","0","0","0","0","0","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L268","ClojureSpout","backtype.storm.clojure.ClojureSpout","L120","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\backtype\storm\clojure\ClojureSpout.java","37","1","153","2","0.367052","1","3","1","0.213675","0.236559","25","22","1","2","2","20","8","0","0","12","22","0","0.010989","1","0","0","11","0.0106383","1","2","3","0","0","1","90","114","5","1","5","1","10","0","10","0","10","32","0","10","0","93","117","5","1","5","1","10","0","10","0","10","32","0","10","0","0","0","43","0","0","0","0","0","17","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L326","RichShellBolt","backtype.storm.clojure.RichShellBolt","L120","L103","D:\PR_assignment_src\storm\storm-core\src\jvm\backtype\storm\clojure\RichShellBolt.java","27","1","51","2","0.654321","1","3","1","0.44","0.5","11","11","1","2","2","5","5","0","0","6","9","0","0","0","0","0","4","0","0","2","4","0","0","2","22","25","13","1","1","1","3","0","3","0","13","8","1","8","0","22","25","13","1","1","1","3","0","3","0","13","8","1","8","0","0","0","23","0","0","0","0","0","11","0","0","0","0","0","0","9","0","1","0","0","0","0","0","2","0","0","0","0","0"
