"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L15532","ApplicationTest","tinker.sample.android.ApplicationTest","L15516","L103","D:\PR_assignment_src\tinker\tinker-sample-android\app\src\androidTest\java\tinker\sample\android\ApplicationTest.java","25","1","29","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16469","ExampleUnitTest","tinker.sample.android.ExampleUnitTest","L15516","L103","D:\PR_assignment_src\tinker\tinker-sample-android\app\src\test\java\tinker\sample\android\ExampleUnitTest.java","26","1","31","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0.5","0.333333","3","3","1","1","0.333333","3","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3933","BSDiff","com.tencent.tinker.bsdiff.BSDiff","L3921","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","46","1","550","2","0","0","0","0","0","0","0","0","1","5","5","77","2","2","2","1","9","0.25","0.193069","78","22","1","3","0.224057","95","0","0","0","0","0","326","502","1","0","1","0","8","0","3","0","8","291","0","3","0","329","505","2","0","2","0","8","0","3","0","8","291","0","3","0","0","0","29","0","0","0","0","0","0","0","0","7","0","0","0","13","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L4058","BSPatch","com.tencent.tinker.bsdiff.BSPatch","L3921","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","48","1","384","2","0.189329","1","2","2","0.118694","0.130435","40","30","1","4","4","48","1","2","2","2","9","0.875","0.201389","58","43","7","1","0.201389","58","0","0","0","0","0","230","337","4","0","4","0","7","4","7","0","7","175","4","7","0","230","337","4","0","4","0","7","4","7","0","7","175","4","7","0","0","0","42","0","0","0","0","0","17","0","0","3","0","0","0","15","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L4154","BSUtil","com.tencent.tinker.bsdiff.BSUtil","L3921","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSUtil.java","35","1","83","2","0","0","0","0","0","0","0","0","2","2","2","5","0","2","8","0","2","0.666667","0.390244","16","16","2","1","0.390244","16","0","0","0","0","0","25","49","2","0","2","0","2","2","2","0","2","14","2","2","0","25","49","2","0","2","0","2","2","2","0","2","14","2","2","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L4183","AnnotationProcessor","com.tencent.tinker.anno.AnnotationProcessor","L4171","L103","D:\PR_assignment_src\tinker\tinker-android\tinker-android-anno\src\main\java\com\tencent\tinker\anno\AnnotationProcessor.java","42","1","115","2","0","0","0","0","0","0","0","0","1","3","3","7","1","0","0","4","7","0.333333","0.0923077","6","5","1","2","0.0923077","6","0","0","0","0","0","59","74","2","1","2","1","3","0","2","0","3","33","0","2","0","59","74","2","1","2","1","3","0","2","0","3","33","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6066","ExampleUnitTest","com.tencent.tinker.recover.ExampleUnitTest","L6058","L103","D:\PR_assignment_src\tinker\tinker-android\tinker-android-lib\src\test\java\com\tencent\tinker\recover\ExampleUnitTest.java","26","1","31","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0.5","0.333333","3","3","1","1","0.333333","3","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6106","ApplicationTest","com.tencent.tinker.loader.ApplicationTest","L6072","L103","D:\PR_assignment_src\tinker\tinker-android\tinker-android-loader\src\androidTest\java\com\tencent\tinker\loader\ApplicationTest.java","25","1","29","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6111","AbstractTinkerLoader","com.tencent.tinker.loader.AbstractTinkerLoader","L6072","L103","D:\PR_assignment_src\tinker\tinker-android\tinker-android-loader\src\main\java\com\tencent\tinker\loader\AbstractTinkerLoader.java","27","1","29","2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0.5","0.5","3","3","1","1","0.5","3","0","0","1","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6121","AndroidNClassLoader","com.tencent.tinker.loader.AndroidNClassLoader","L6072","L103","D:\PR_assignment_src\tinker\tinker-android\tinker-android-loader\src\main\java\com\tencent\tinker\loader\AndroidNClassLoader.java","39","1","116","2","0","0","0","0","0","0","0","0","4","1","1","7","1","1","1","3","9","0.5","0.25","18","12","2","2","0.25","18","0","0","0","0","0","54","78","2","0","2","0","6","0","3","0","6","34","0","3","0","54","78","2","0","2","0","6","0","3","0","6","34","0","3","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
