"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L121","ClickItemTouchListener","org.lucasr.twowayview.ClickItemTouchListener","L106","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ClickItemTouchListener.java","13","1","154","2","0","0","0","0","0","0","0","0","2","1","1","10","2","3","4","2","9","0","0.0606061","2","0","0","3","0.0535714","6","0","0","2","2","0","31","43","2","0","2","0","7","0","2","0","7","9","0","2","0","106","142","5","0","5","0","16","0","11","0","16","46","0","11","0","0","0","38","0","0","0","0","0","0","0","1","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","ItemClickSupport","org.lucasr.twowayview.ItemClickSupport","L106","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ItemClickSupport.java","8","1","139","2","0.153153","1","2","1","0.0833333","0.126761","11","9","1","1","1","10","3","2","1","1","7","0.333333","0.245614","14","12","2","4","0.371681","42","0","0","0","0","0","43","80","4","0","4","0","6","0","5","2","6","20","0","5","2","71","132","6","0","4","0","11","0","7","2","16","30","0","9","2","0","0","28","0","0","0","0","0","8","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L329","ItemSelectionSupport","org.lucasr.twowayview.ItemSelectionSupport","L106","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ItemSelectionSupport.java","17","1","531","2","0.0247093","1","2","1","0.0213592","0.0261628","11","9","1","4","4","65","4","2","5","3","21","0.529412","0.290541","86","77","9","8","0.2","86","0","0","0","0","0","210","357","12","5","12","5","18","1","16","3","18","129","1","16","3","344","515","21","5","19","5","33","6","26","3","38","197","6","28","3","0","0","109","0","0","0","0","0","7","0","5","4","0","0","0","72","0","0","0","0","0","0","0","21","0","0","0","0","0"
"L581","TwoWayLayoutManager","org.lucasr.twowayview.TwoWayLayoutManager","L106","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\TwoWayLayoutManager.java","39","1","1015","2","0.0190198","1","6","2","0.0276356","0.0255034","27","19","8","3","3","195","4","7","27","8","89","0","0.0546985","39","0","0","42","0.0497449","39","0","0","1","5","0","674","893","8","20","8","20","81","0","41","2","81","379","0","41","2","745","977","17","23","17","23","92","5","47","2","92","400","5","47","2","0","0","235","0","0","0","0","0","9","0","3","3","0","1","0","194","0","0","0","0","0","0","0","25","0","0","0","0","0"
"L140","ClickItemTouchListener$ItemClickGestureDetector","org.lucasr.twowayview.ClickItemTouchListener$ItemClickGestureDetector","L121","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ClickItemTouchListener.java","54","5","73","6","0","0","0","0","0","0","0","0","1","1","1","3","1","1","1","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","16","20","1","0","1","0","2","0","2","0","2","7","0","2","0","16","20","1","0","1","0","2","0","2","0","2","7","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","ClickItemTouchListener$ItemClickGestureListener","org.lucasr.twowayview.ClickItemTouchListener$ItemClickGestureListener","L121","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ClickItemTouchListener.java","75","5","153","6","0","0","0","0","0","0","0","0","1","1","1","13","1","2","2","2","9","0","0.0634921","4","0","0","8","0.0634921","4","0","0","0","0","0","59","79","2","0","2","0","7","0","7","0","7","30","0","7","0","59","79","2","0","2","0","7","0","7","0","7","30","0","7","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L272","ItemClickSupport$TouchListener","org.lucasr.twowayview.ItemClickSupport$TouchListener","L253","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ItemClickSupport.java","113","5","138","6","0","0","0","0","0","0","0","0","2","1","1","5","4","1","1","3","6","0","0","0","0","0","1","0","0","1","1","0","0","1","22","26","2","0","0","0","3","0","0","0","8","10","0","2","0","22","26","2","0","0","0","3","0","0","0","8","10","0","2","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L357","ItemSelectionSupport$CheckedStates","org.lucasr.twowayview.ItemSelectionSupport$CheckedStates","L329","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ItemSelectionSupport.java","376","5","423","6","0","0","0","0","0","0","0","0","2","2","2","8","0","2","2","0","4","0","0","0","0","0","4","0","0","0","0","0","0","0","33","39","3","0","3","0","4","1","3","0","4","17","1","3","0","41","48","3","0","3","0","6","1","5","0","6","19","1","5","0","0","0","24","0","0","0","0","0","0","0","2","0","0","0","0","18","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L361","ItemSelectionSupport$CheckedIdStates","org.lucasr.twowayview.ItemSelectionSupport$CheckedIdStates","L329","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ItemSelectionSupport.java","425","5","469","6","0","0","0","0","0","0","0","0","2","2","2","7","0","2","2","0","4","0","0","0","0","0","4","0","0","0","0","0","0","0","31","36","1","0","1","0","4","1","3","0","4","17","1","3","0","39","45","1","0","1","0","6","1","5","0","6","19","1","5","0","0","0","24","0","0","0","0","0","0","0","2","0","0","0","0","18","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L351","ItemSelectionSupport$TouchListener","org.lucasr.twowayview.ItemSelectionSupport$TouchListener","L329","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\ItemSelectionSupport.java","471","5","530","6","0","0","0","0","0","0","0","0","2","4","3","15","3","1","1","2","5","0","0","0","0","0","1","0","0","1","1","0","0","1","49","60","2","0","0","0","3","0","0","0","8","30","0","2","0","49","60","2","0","0","0","3","0","0","0","8","30","0","2","0","0","0","11","0","0","0","0","0","0","0","1","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L612","TwoWayLayoutManager$SavedState","org.lucasr.twowayview.TwoWayLayoutManager$SavedState","L581","L103","D:\PR_assignment_src\twoway-view\core\src\main\java\org\lucasr\twowayview\TwoWayLayoutManager.java","962","5","1014","6","0","0","0","0","0","0","0","0","2","1","1","8","0","4","6","0","6","0","0","0","0","0","4","0","0","0","0","1","1","0","35","44","5","1","5","1","6","1","3","0","6","11","1","3","0","43","53","5","1","5","1","8","1","5","0","8","13","1","5","0","0","0","28","0","0","0","0","0","0","0","2","0","0","0","0","22","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1010","BaseLayoutManager","org.lucasr.twowayview.widget.BaseLayoutManager","L990","L103","D:\PR_assignment_src\twoway-view\layouts\src\main\java\org\lucasr\twowayview\widget\BaseLayoutManager.java","38","1","640","2","0","0","0","0","0","0","0","0","2","2","2","102","10","9","34","54","102","0","0.0143678","5","0","0","18","0.010395","5","1","1","2","4","1","343","440","16","30","8","10","48","0","17","1","126","174","0","58","3","476","603","34","32","21","11","64","8","26","3","148","246","9","70","5","0","0","177","0","0","0","0","0","0","0","4","0","0","2","0","142","0","0","0","0","0","0","0","29","0","0","0","0","0"
"L1389","DividerItemDecoration","org.lucasr.twowayview.widget.DividerItemDecoration","L990","L103","D:\PR_assignment_src\twoway-view\layouts\src\main\java\org\lucasr\twowayview\widget\DividerItemDecoration.java","19","1","124","2","0","0","0","0","0","0","0","0","1","2","2","15","3","1","1","7","14","0.142857","0.0561798","5","5","1","6","0.0561798","5","0","0","0","0","0","84","106","3","1","3","1","7","0","6","0","7","54","0","6","0","84","106","3","1","3","1","7","0","6","0","7","54","0","6","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1453","GridLayoutManager","org.lucasr.twowayview.widget.GridLayoutManager","L990","L103","D:\PR_assignment_src\twoway-view\layouts\src\main\java\org\lucasr\twowayview\widget\GridLayoutManager.java","28","1","136","2","0","0","0","0","0","0","0","0","1","1","1","21","6","2","8","10","21","0","0","0","0","0","8","0","0","2","2","2","2","1","85","109","21","32","5","4","11","0","7","2","134","42","0","65","5","85","109","21","32","5","4","11","0","7","2","134","42","0","65","5","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1085","ItemEntries","org.lucasr.twowayview.widget.ItemEntries","L990","L103","D:\PR_assignment_src\twoway-view\layouts\src\main\java\org\lucasr\twowayview\widget\ItemEntries.java","30","1","133","2","0","0","0","0","0","0","0","0","1","2","2","28","1","2","10","1","12","0","0.0238095","2","0","0","8","0.0238095","2","0","0","0","0","0","82","104","4","1","4","1","11","0","7","1","11","44","0","7","1","82","104","4","1","4","1","11","0","7","1","11","44","0","7","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1392","ItemSpacingOffsets","org.lucasr.twowayview.widget.ItemSpacingOffsets","L990","L103","D:\PR_assignment_src\twoway-view\layouts\src\main\java\org\lucasr\twowayview\widget\ItemSpacingOffsets.java","15","1","168","2","0","0","0","0","0","0","0","0","1","3","2","36","6","2","5","5","11","0.5","0.174242","23","21","2","2","0.174242","23","0","0","0","0","0","109","154","4","1","4","1","6","0","3","1","6","75","0","3","1","109","154","4","1","4","1","6","0","3","1","6","75","0","3","1","0","0","14","0","0","0","0","0","0","0","0","1","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1080","Lanes","org.lucasr.twowayview.widget.Lanes","L990","L103","D:\PR_assignment_src\twoway-view\layouts\src\main\java\org\lucasr\twowayview\widget\Lanes.java","24","1","350","2","0.0839272","1","8","2","0.0795107","0.0833333","26","22","1","3","3","77","4","8","25","3","26","0","0.0119048","3","0","0","20","0.011236","3","0","0","0","0","0","249","309","10","7","10","7","23","1","19","0","23","164","1","19","0","264","327","12","7","12","7","26","3","22","1","26","169","3","22","1","0","0","86","0","0","0","0","0","14","0","0","1","0","0","0","58","0","0","0","0","0","0","0","13","0","0","0","0","0"
