"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L38158","BufferExamples","examples.BufferExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\BufferExamples.java","25","1","72","2","0","0","0","0","0","0","0","0","8","1","1","9","2","0","0","13","21","0.111111","0.0769231","3","3","1","8","0.0769231","3","0","0","0","0","0","36","48","0","0","0","0","8","0","8","0","8","19","0","8","0","36","48","0","0","0","0","8","0","8","0","8","19","0","8","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38256","ConfigurableVerticleExamples","examples.ConfigurableVerticleExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\ConfigurableVerticleExamples.java","8","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","2","3","0.5","0.333333","3","3","1","1","0.333333","3","2","2","0","0","1","6","8","2","1","0","0","1","0","1","0","10","1","0","10","0","6","8","2","1","0","0","1","0","1","0","10","1","0","10","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38260","CoreExamples","examples.CoreExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\CoreExamples.java","38","1","354","2","0","0","0","0","0","0","0","0","38","4","1","42","19","0","0","61","99","0.025641","0.117925","25","3","1","38","0.112108","25","0","0","0","0","0","187","305","1","0","1","0","38","0","38","0","38","76","0","38","0","198","317","3","1","1","0","40","0","39","0","49","78","0","48","0","0","0","85","0","0","0","0","0","0","0","1","0","0","3","0","77","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L38374","DatagramExamples","examples.DatagramExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\DatagramExamples.java","31","1","128","2","0.377483","1","3","3","0.571429","0.384615","56","15","7","0","0","7","4","0","0","7","14","0.125","0.277778","15","3","1","7","0.277778","15","0","0","0","0","0","39","98","0","0","0","0","7","0","7","0","7","16","0","7","0","39","98","0","0","0","0","7","0","7","0","7","16","0","7","0","0","0","32","0","0","0","0","0","22","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38393","DNSExamples","examples.DNSExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\DNSExamples.java","29","1","208","2","0.760563","1","12","12","0.794444","0.740741","143","60","15","0","0","16","4","0","0","22","38","0.0625","0.0357143","3","3","1","15","0.0357143","3","0","0","0","0","0","81","180","0","1","0","1","16","0","15","0","16","35","0","15","0","81","180","0","1","0","1","16","0","15","0","16","35","0","15","0","0","0","101","0","0","0","0","0","65","0","1","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38434","EventBusExamples","examples.EventBusExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\EventBusExamples.java","30","1","149","2","0","0","0","0","0","0","0","0","12","0","0","12","7","0","0","22","34","0.0769231","0.0447761","3","3","1","12","0.0447761","3","0","0","0","0","0","64","120","0","0","0","0","12","0","12","0","12","19","0","12","0","64","120","0","0","0","0","12","0","12","0","12","19","0","12","0","0","0","29","0","0","0","0","0","0","0","1","0","0","1","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38458","FileSystemExamples","examples.FileSystemExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\FileSystemExamples.java","29","1","163","2","0.234637","1","2","2","0.303704","0.232558","41","10","7","0","0","7","5","0","0","11","18","0.125","0.232143","13","3","1","7","0.232143","13","0","0","0","0","0","43","135","0","0","0","0","7","0","7","0","7","18","0","7","0","43","135","0","0","0","0","7","0","7","0","7","18","0","7","0","0","0","31","0","0","0","0","0","17","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38472","HTTP2Examples","examples.HTTP2Examples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\HTTP2Examples.java","39","1","294","2","0","0","0","0","0","0","0","0","30","1","1","31","15","0","0","49","79","0.0322581","0.121795","19","3","1","30","0.121795","19","0","0","0","0","0","137","256","0","0","0","0","30","0","30","0","30","51","0","30","0","137","256","0","0","0","0","30","0","30","0","30","51","0","30","0","0","0","61","0","0","0","0","0","0","0","1","0","0","2","0","55","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L38552","HTTPExamples","examples.HTTPExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\HTTPExamples.java","31","1","738","2","0.0124633","1","1","1","0.0155367","0.0147493","11","5","70","1","1","71","18","0","0","81","151","0.0140845","0.135204","53","3","1","70","0.135204","53","0","0","0","0","0","339","708","0","0","0","0","70","0","70","0","70","147","0","70","0","339","708","0","0","0","0","70","0","70","0","70","147","0","70","0","0","0","134","0","0","0","0","0","7","0","1","0","0","3","0","117","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L38725","NetExamples","examples.NetExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\NetExamples.java","28","1","553","2","0.370033","6","14","14","0.288973","0.353535","152","140","52","1","1","53","18","0","0","79","131","0.113208","0.0411622","17","8","6","47","0.0411622","17","0","0","0","0","0","396","526","0","0","0","0","52","0","52","0","52","128","0","52","0","396","526","0","0","0","0","52","0","52","0","52","128","0","52","0","0","0","202","0","0","0","0","0","88","0","1","0","0","3","0","105","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L38852","RecordParserExamples","examples.RecordParserExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\RecordParserExamples.java","9","1","28","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","4","6","0.333333","0.176471","3","3","1","2","0.176471","3","0","0","0","0","0","14","20","0","0","0","0","2","0","2","0","2","6","0","2","0","14","20","0","0","0","0","2","0","2","0","2","6","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38857","SharedDataExamples","examples.SharedDataExamples","L38142","L103","D:\PR_assignment_src\vert.x\src\main\java\examples\SharedDataExamples.java","28","1","132","2","0","0","0","0","0","0","0","0","7","0","0","7","5","0","0","12","19","0.125","0.309091","17","3","1","7","0.309091","17","0","0","0","0","0","38","105","0","0","0","0","7","0","7","0","7","16","0","7","0","38","105","0","0","0","0","7","0","7","0","7","16","0","7","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
