"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L183","Forger<T extends Object>","us.codecraft.forger.Forger","L106","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\Forger.java","12","1","36","2","0","0","0","0","0","0","0","0","1","0","0","4","2","3","7","2","6","0.2","0.136364","3","3","1","4","0.136364","3","0","0","0","0","0","19","25","2","2","2","2","4","0","4","0","4","7","0","4","0","19","25","2","2","2","2","4","0","4","0","4","7","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","ForgerFactory","us.codecraft.forger.ForgerFactory","L106","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\ForgerFactory.java","9","1","28","2","0","0","0","0","0","0","0","0","1","0","0","3","3","3","5","2","5","0.25","0.166667","3","3","1","3","0.166667","3","0","0","0","0","0","15","20","2","0","2","0","3","0","3","0","3","5","0","3","0","15","20","2","0","2","0","3","0","3","0","3","5","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L815","Bar","us.codecraft.forger.Bar","L106","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Bar.java","12","1","47","2","0","0","0","0","0","0","0","0","0","0","0","6","0","1","1","0","6","0.142857","0.1","3","3","1","6","0.1","3","0","0","0","0","0","27","36","3","3","3","3","6","0","6","3","6","6","0","6","3","27","36","3","3","3","3","6","0","6","3","6","6","0","6","3","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L836","Foo","us.codecraft.forger.Foo","L106","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Foo.java","9","1","47","2","0","0","0","0","0","0","0","0","1","0","0","2","1","2","2","0","2","0.333333","0.0789474","3","3","1","2","0.0789474","3","1","1","0","0","1","35","39","2","1","2","1","2","1","2","0","2","2","1","2","0","35","39","2","1","2","1","2","1","2","0","2","2","1","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L848","ForgerFactoryTest","us.codecraft.forger.ForgerFactoryTest","L106","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\ForgerFactoryTest.java","20","1","66","2","0","0","0","0","0","0","0","0","4","0","0","4","8","0","0","9","13","0.2","0.0652174","3","3","1","4","0.0652174","3","0","0","0","0","0","43","47","0","0","0","0","4","0","4","0","4","29","0","4","0","43","47","0","0","0","0","4","0","4","0","4","29","0","4","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1000","AbstractTest","us.codecraft.webmagic.AbstractTest","L900","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\webmagic-avalon-common\src\test\java\us\codecraft\webmagic\AbstractTest.java","12","1","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.333333","3","3","1","0","0.333333","3","0","0","2","2","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2366","Foo","us.codecraft.webmagic.Foo","L900","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\webmagic-avalon-common\src\test\java\us\codecraft\webmagic\Foo.java","9","1","45","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","0","0","2","0.333333","0.0833333","3","3","1","2","0.0833333","3","0","0","0","0","0","33","37","2","1","2","1","2","1","2","0","2","2","1","2","0","33","37","2","1","2","1","2","1","2","0","2","2","1","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1081","Page","us.codecraft.webmagic.Page","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\Page.java","27","1","232","2","0","0","0","0","0","0","0","0","2","2","2","35","6","59","63","11","34","0.458333","0.361702","68","68","11","13","0.361702","68","0","0","0","0","0","120","206","9","8","9","8","23","0","23","7","23","44","0","23","7","120","206","9","8","9","8","23","0","23","7","23","44","0","23","7","0","0","34","0","0","0","0","0","0","0","1","0","0","0","0","27","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1572","Request","us.codecraft.webmagic.Request","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\Request.java","16","1","136","2","0","0","0","0","0","0","0","0","1","1","1","21","1","52","72","0","15","0.1875","0.278846","29","29","3","13","0.278846","29","0","0","0","0","0","75","121","8","5","8","5","15","3","15","4","15","27","3","15","4","75","121","8","5","8","5","15","3","15","4","15","27","3","15","4","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1603","ResultItems","us.codecraft.webmagic.ResultItems","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\ResultItems.java","16","1","81","2","0","0","0","0","0","0","0","0","1","1","1","9","1","35","31","0","8","0.333333","0.349206","22","22","3","6","0.349206","22","0","0","0","0","0","41","66","3","2","3","2","8","0","8","2","8","14","0","8","2","41","66","3","2","3","2","8","0","8","2","8","14","0","8","2","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1495","Site","us.codecraft.webmagic.Site","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\Site.java","22","1","519","2","0","0","0","0","0","0","0","0","6","1","1","75","6","79","78","8","53","0.652174","0.463007","194","193","30","16","0.456221","198","0","0","0","0","0","225","485","18","18","18","18","45","0","45","14","45","104","0","45","14","236","498","19","20","19","20","47","1","47","14","47","106","1","47","14","0","0","60","0","0","0","0","0","0","0","1","1","0","0","0","40","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L1622","Spider","us.codecraft.webmagic.Spider","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\Spider.java","61","1","734","2","0","0","0","0","0","0","0","0","3","3","3","107","17","62","74","32","85","0.634146","0.349153","206","201","26","15","0.332797","207","1","1","1","1","1","384","638","24","10","24","10","53","0","40","9","53","193","0","40","9","415","674","28","11","28","11","57","3","42","9","57","206","3","42","9","0","0","93","0","0","0","0","0","0","0","1","0","0","3","0","71","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L6159","HtmlTest","us.codecraft.webmagic.HtmlTest","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\HtmlTest.java","15","1","51","2","0","0","0","0","0","0","0","0","5","0","0","5","4","0","0","10","15","0.166667","0.135135","5","5","1","5","0.135135","5","0","0","0","0","0","32","37","0","0","0","0","5","0","5","0","5","14","0","5","0","32","37","0","0","0","0","5","0","5","0","5","14","0","5","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6168","ResultItemsTest","us.codecraft.webmagic.ResultItemsTest","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\ResultItemsTest.java","11","1","22","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","3","0.5","0.230769","3","3","1","1","0.230769","3","0","0","0","0","0","10","12","0","0","0","0","1","0","1","0","1","5","0","1","0","10","12","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6174","SpiderTest","us.codecraft.webmagic.SpiderTest","L900","L103","D:\PR_assignment_src\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\SpiderTest.java","17","1","93","2","0","0","0","0","0","0","0","0","2","1","1","4","6","0","0","9","12","0.333333","0.09375","3","3","1","2","0.0447761","3","0","0","0","0","0","29","32","0","0","0","0","3","0","2","0","3","14","0","2","0","64","77","3","1","3","1","10","0","9","1","10","23","0","9","1","0","0","37","0","0","0","0","0","0","0","2","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6619","MockPageModelPipeline","us.codecraft.webmagic.MockPageModelPipeline","L900","L103","D:\PR_assignment_src\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\MockPageModelPipeline.java","9","1","14","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0.5","0.333333","3","3","1","1","0.333333","3","1","1","0","0","1","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6625","MockPipeline","us.codecraft.webmagic.MockPipeline","L900","L103","D:\PR_assignment_src\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\MockPipeline.java","8","1","13","2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","1","1","0","0","1","5","6","0","0","0","0","1","0","1","0","1","0","0","1","0","5","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
