"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L653","ApplicationTest","com.alibaba.weex.ApplicationTest","L106","L103","D:\PR_assignment_src\weex\android\playground\app\src\androidTest\java\com\alibaba\weex\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3962","WeappJsBaseTestCase","com.alibaba.weex.WeappJsBaseTestCase","L106","L103","D:\PR_assignment_src\weex\android\playground\app\src\androidTest\java\com\alibaba\weex\WeappJsBaseTestCase.java","11","1","56","2","0","0","0","0","0","0","0","0","0","1","1","3","3","18","16","1","3","0.333333","0.410256","16","3","1","2","0.410256","16","0","0","0","0","0","23","46","11","0","11","0","2","8","2","1","2","5","8","2","1","23","46","11","0","11","0","2","8","2","1","2","5","8","2","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L6888","IndexActivity","com.alibaba.weex.IndexActivity","L106","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","32","1","163","2","0","0","0","0","0","0","0","0","1","4","3","20","6","2","0","9","16","0","0.00952381","1","0","0","8","0.00869565","1","2","2","0","0","1","104","122","12","2","8","0","7","0","7","0","27","55","0","17","1","114","132","12","2","8","0","8","0","8","0","28","60","0","18","1","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L6964","SplashActivity","com.alibaba.weex.SplashActivity","L106","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\SplashActivity.java","12","1","46","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","17","22","0","0","0","0","1","0","0","0","1","11","0","0","0","28","35","0","0","0","0","4","0","3","0","4","13","0","3","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6104","WXApplication","com.alibaba.weex.WXApplication","L106","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXApplication.java","18","1","79","2","0","0","0","0","0","0","0","0","2","1","1","4","12","1","0","9","11","0","0.433962","23","8","0","2","0.433962","23","0","0","0","0","0","30","62","0","0","0","0","2","0","1","0","2","15","0","1","0","30","62","0","0","0","0","2","0","1","0","2","15","0","1","0","0","0","3","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7065","WXBaseActivity","com.alibaba.weex.WXBaseActivity","L106","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXBaseActivity.java","7","1","13","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","1","1","0","6","7","0","0","0","0","1","0","1","0","1","1","0","1","0","6","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L909","WXPageActivity","com.alibaba.weex.WXPageActivity","L106","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","54","1","503","2","0.0576923","1","9","3","0.0666667","0.08","30","30","3","3","2","75","16","268","2","26","53","0","0.0233333","7","3","0","13","0.0183246","7","1","3","0","0","3","293","357","14","1","14","1","27","1","12","1","28","161","1","13","1","375","450","14","1","14","1","40","1","25","5","41","190","1","26","5","0","0","127","0","0","0","0","0","20","0","3","0","0","1","0","93","0","1","0","0","0","0","0","9","0","0","0","0","0"
"L8235","Binarizer","com.google.zxing.Binarizer","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\Binarizer.java","30","1","87","2","0","0","0","0","0","0","0","0","0","0","0","7","4","3","13","2","9","0.571429","0.684211","39","39","4","3","0.684211","39","0","0","1","2","0","18","58","1","5","1","5","7","0","6","0","7","4","0","6","0","18","58","1","5","1","5","7","0","6","0","7","4","0","6","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7382","BinaryBitmap","com.google.zxing.BinaryBitmap","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\BinaryBitmap.java","28","1","150","2","0","0","0","0","0","0","0","0","1","1","1","14","5","15","11","12","23","0.833333","0.560345","65","60","10","2","0.560345","65","0","0","0","0","0","51","123","2","4","2","4","11","0","11","0","11","20","0","11","0","51","123","2","4","2","4","11","0","11","0","11","20","0","11","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8312","ChecksumException","com.google.zxing.ChecksumException","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\ChecksumException.java","25","1","47","2","0","0","0","0","0","0","0","0","0","0","0","6","1","17","12","2","6","0.333333","0.291667","7","6","1","2","0.291667","7","1","1","0","0","1","17","23","3","2","1","2","4","0","2","0","7","3","0","3","0","17","23","3","2","1","2","4","0","2","0","7","3","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15119","Dimension","com.google.zxing.Dimension","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\Dimension.java","22","1","62","2","0","0","0","0","0","0","0","0","1","1","1","10","0","4","1","0","6","0.142857","0.0833333","3","3","1","6","0.0833333","3","0","0","0","0","0","33","41","2","2","2","2","6","0","6","0","6","12","0","6","0","33","41","2","2","2","2","6","0","6","0","6","12","0","6","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7378","FormatException","com.google.zxing.FormatException","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\FormatException.java","26","1","47","2","0","0","0","0","0","0","0","0","0","0","0","6","1","39","39","2","6","0.333333","0.291667","7","7","1","2","0.291667","7","1","1","0","0","1","17","22","3","2","1","2","4","0","2","0","7","3","0","3","0","17","22","3","2","1","2","4","0","2","0","7","3","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16190","InvertedLuminanceSource","com.google.zxing.InvertedLuminanceSource","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\InvertedLuminanceSource.java","25","1","88","2","0","0","0","0","0","0","0","0","1","1","1","11","1","1","1","10","19","0.2","0.152542","9","9","2","8","0.152542","9","1","1","0","0","1","50","64","3","4","1","2","9","0","9","0","19","23","0","18","0","50","64","3","4","1","2","9","0","9","0","19","23","0","18","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8238","LuminanceSource","com.google.zxing.LuminanceSource","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\LuminanceSource.java","28","1","157","2","0","0","0","0","0","0","0","0","7","5","3","17","1","8","29","1","13","0.916667","0.536","67","67","11","1","0.536","67","0","0","3","3","0","58","130","2","4","2","4","12","0","11","0","12","31","0","11","0","58","130","2","4","2","4","12","0","11","0","12","31","0","11","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10340","MultiFormatReader","com.google.zxing.MultiFormatReader","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\MultiFormatReader.java","38","1","180","2","0.187225","2","11","2","0.104895","0.15625","15","15","1","3","3","37","13","1","2","4","10","0.833333","0.314286","44","40","5","1","0.314286","44","1","1","0","0","1","96","143","2","0","2","0","6","0","5","1","6","46","0","5","1","96","143","2","0","2","0","6","0","5","1","6","46","0","5","1","0","0","19","0","0","0","0","0","10","0","0","1","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10874","MultiFormatWriter","com.google.zxing.MultiFormatWriter","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\MultiFormatWriter.java","42","1","105","2","0.648649","3","41","7","0.5625","0.6","36","36","1","1","1","15","18","1","1","1","3","0.333333","0.0909091","6","6","1","2","0.0909091","6","1","1","0","0","1","60","64","0","0","0","0","2","0","2","0","2","31","0","2","0","60","64","0","0","0","0","2","0","2","0","2","31","0","2","0","0","0","21","0","0","0","0","0","12","0","0","1","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7375","NotFoundException","com.google.zxing.NotFoundException","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\NotFoundException.java","25","1","40","2","0","0","0","0","0","0","0","0","0","0","0","2","1","57","78","1","3","0.5","0.388889","7","6","1","1","0.388889","7","1","1","0","0","1","11","16","3","1","1","1","2","0","1","0","5","1","0","2","0","11","16","3","1","1","1","2","0","1","0","5","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9486","PlanarYUVLuminanceSource","com.google.zxing.PlanarYUVLuminanceSource","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\PlanarYUVLuminanceSource.java","29","1","169","2","0.355603","2","7","2","0.304965","0.3125","43","35","2","2","2","24","1","2","2","3","12","0.333333","0.151515","20","16","3","6","0.151515","20","1","1","0","0","1","112","141","8","6","6","4","9","0","8","0","19","71","0","17","0","112","141","8","6","6","4","9","0","8","0","19","71","0","17","0","0","0","38","0","0","0","0","0","18","0","1","0","0","0","0","17","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L8314","ReaderException","com.google.zxing.ReaderException","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\ReaderException.java","26","1","49","2","0","0","0","0","0","0","0","0","1","0","0","3","0","13","5","0","3","1","0.461538","12","11","2","0","0.461538","12","0","0","3","3","0","14","24","2","0","2","0","3","0","1","0","3","2","0","1","0","14","24","2","0","2","0","3","0","1","0","3","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7372","Result","com.google.zxing.Result","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\Result.java","27","1","133","2","0","0","0","0","0","0","0","0","1","2","2","18","3","61","44","0","12","0.461538","0.244898","24","24","6","7","0.244898","24","0","0","0","0","0","74","107","6","6","6","6","12","0","12","0","12","29","0","12","0","74","107","6","6","6","6","12","0","12","0","12","29","0","12","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L7349","ResultPoint","com.google.zxing.ResultPoint","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\ResultPoint.java","27","1","138","2","0","0","0","0","0","0","0","0","1","2","1","16","1","44","61","1","10","0.333333","0.257426","26","20","3","6","0.257426","26","0","0","2","2","0","75","112","2","2","2","2","9","0","8","0","9","44","0","8","0","75","112","2","2","2","2","9","0","8","0","9","44","0","8","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21438","RGBLuminanceSource","com.google.zxing.RGBLuminanceSource","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\RGBLuminanceSource.java","26","1","142","2","0.423077","2","7","2","0.367521","0.368421","43","35","2","3","3","20","1","0","0","3","9","0.166667","0.136364","15","7","1","5","0.136364","15","1","1","0","0","1","95","117","7","4","5","2","6","0","5","0","16","56","0","14","0","95","117","7","4","5","2","6","0","5","0","16","56","0","14","0","0","0","35","0","0","0","0","0","18","0","1","0","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L10632","WriterException","com.google.zxing.WriterException","L7303","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java_zxing\com\google\zxing\WriterException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","0","20","22","0","3","0.25","0.375","6","6","1","3","0.375","6","0","0","0","0","0","10","14","0","0","0","0","3","0","3","0","3","2","0","3","0","10","14","0","0","0","0","3","0","3","0","3","2","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7031","InitConfig","com.taobao.weex.InitConfig","L21492","L103","D:\PR_assignment_src\weex\android\sdk\src\main\java\com\taobao\weex\InitConfig.java","216","1","304","2","0","0","0","0","0","0","0","0","0","0","0","7","5","8","2","0","7","0.142857","0.0967742","3","3","1","6","0.04","3","0","0","0","0","0","28","37","6","6","6","6","7","0","6","0","7","6","0","6","0","72","89","12","6","12","6","15","0","14","6","15","26","0","14","6","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L35323","WXEnvironment","com.taobao.weex.WXEnvironment","L21492","L103","D:\PR_assignment_src\weex\android\sdk\src\main\java\com\taobao\weex\WXEnvironment.java","225","1","386","2","0","0","0","0","0","0","0","0","1","1","1","28","6","56","95","7","17","0.111111","0.161972","23","17","1","8","0.161972","23","0","0","0","0","0","119","162","28","5","28","5","10","25","8","0","10","52","25","8","0","119","162","28","5","28","5","10","25","8","0","10","52","25","8","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L35390","WXGlobalEventModule","com.taobao.weex.WXGlobalEventModule","L21492","L103","D:\PR_assignment_src\weex\android\sdk\src\main\java\com\taobao\weex\WXGlobalEventModule.java","119","1","135","2","0","0","0","0","0","0","0","0","1","0","0","3","3","1","0","3","6","0.25","0.1875","3","3","1","3","0.1875","3","2","2","0","0","1","13","17","7","0","0","0","3","0","3","0","3","3","7","3","0","13","17","7","0","0","0","3","0","3","0","3","3","7","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L35407","WXRenderErrorCode","com.taobao.weex.WXRenderErrorCode","L21492","L103","D:\PR_assignment_src\weex\android\sdk\src\main\java\com\taobao\weex\WXRenderErrorCode.java","207","1","214","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","8","3","0","3","0","0","3","0","0","0","0","3","0","0","5","8","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
