"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L764","BitmapUtils","com.lidroid.xutils.BitmapUtils","L106","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","43","1","513","2","0","0","0","0","0","0","0","0","4","3","2","69","16","9","5","56","108","0.0980392","0.0390071","11","6","5","46","0.0343008","13","1","1","0","0","1","271","355","6","3","6","3","52","0","50","0","52","130","0","50","0","366","471","23","5","13","4","59","0","53","0","86","176","1","71","1","0","0","137","0","0","0","0","0","0","0","2","1","0","4","0","118","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L2866","DbUtils","com.lidroid.xutils.DbUtils","L106","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\DbUtils.java","39","1","885","2","0.149399","5","28","10","0.14876","0.165457","126","114","1","4","4","156","18","10","21","55","112","0.0208333","0.0156986","10","9","1","47","0.0295775","21","0","0","0","0","0","627","760","8","4","8","4","57","0","47","1","57","384","0","47","1","689","847","15","9","15","9","72","0","61","6","72","401","0","61","6","0","0","238","0","0","0","0","0","64","0","0","5","0","6","0","154","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L6110","HttpUtils","com.lidroid.xutils.HttpUtils","L106","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\HttpUtils.java","52","1","338","2","0","0","0","0","0","0","0","0","2","1","1","41","15","7","7","20","53","0.09375","0.030303","6","5","3","29","0.0272727","6","0","0","0","0","0","192","265","12","1","12","1","33","1","31","0","33","99","1","31","0","214","287","12","1","12","1","35","1","33","0","35","110","1","33","0","0","0","94","0","0","0","0","0","0","0","1","0","0","1","0","79","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L7793","ViewUtils","com.lidroid.xutils.ViewUtils","L106","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\ViewUtils.java","39","1","172","2","0","0","0","0","0","0","0","0","1","7","7","36","10","8","8","16","25","0","0.0333333","4","0","0","8","0.0333333","4","0","0","0","0","0","116","134","0","0","0","0","9","0","7","0","9","67","0","7","0","116","134","0","0","0","0","9","0","7","0","9","67","0","7","0","0","0","28","0","0","0","0","0","0","0","0","5","0","1","0","21","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L147","BitmapCommonUtils","com.lidroid.xutils.bitmap.BitmapCommonUtils","L119","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\bitmap\BitmapCommonUtils.java","27","1","90","2","0","0","0","0","0","0","0","0","1","3","3","20","1","3","3","3","7","0","0","0","0","0","3","0","0","0","0","0","0","0","53","64","1","2","1","2","4","0","2","0","4","37","0","2","0","53","64","1","2","1","2","4","0","2","0","4","37","0","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","BitmapDisplayConfig","com.lidroid.xutils.bitmap.BitmapDisplayConfig","L119","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\bitmap\BitmapDisplayConfig.java","25","1","132","2","0","0","0","0","0","0","0","0","1","0","0","24","3","9","22","1","22","0","0","0","0","0","22","0","0","0","0","0","0","0","85","108","9","7","9","7","21","0","21","9","21","30","0","21","9","85","108","9","7","9","7","21","0","21","9","21","30","0","21","9","0","0","52","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L323","BitmapGlobalConfig","com.lidroid.xutils.bitmap.BitmapGlobalConfig","L119","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\bitmap\BitmapGlobalConfig.java","38","1","389","2","0.056872","1","8","2","0.0568182","0.0687285","20","20","11","2","2","52","9","4","33","13","52","0.0540541","0.0990099","20","12","2","35","0.0673077","21","0","0","0","0","0","182","240","19","15","19","15","39","2","36","12","39","71","2","36","12","291","352","39","16","29","15","42","12","36","12","69","141","13","54","13","0","0","131","0","0","0","0","0","18","0","1","2","0","2","0","85","0","0","0","0","0","0","0","23","0","0","0","0","0"
"L1354","PauseOnScrollListener","com.lidroid.xutils.bitmap.PauseOnScrollListener","L119","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\bitmap\PauseOnScrollListener.java","23","1","86","2","0","0","0","0","0","0","0","0","1","2","2","11","1","0","0","2","6","0.4","0.275862","16","16","2","3","0.275862","16","0","0","0","0","0","42","64","4","0","4","0","4","0","4","0","4","18","0","4","0","42","64","4","0","4","0","4","0","4","0","4","18","0","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L752","BitmapUtils$BitmapLoadTask<T extends View>","com.lidroid.xutils.BitmapUtils$BitmapLoadTask","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","397","5","512","6","0","0","0","0","0","0","0","0","2","3","3","29","7","5","2","12","19","0","0.0206186","2","0","0","4","0.0206186","2","2","2","0","0","1","95","116","17","2","7","1","7","0","3","0","34","46","1","21","1","95","116","17","2","7","1","7","0","3","0","34","46","1","21","1","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1695","KeyExpiryMap<K extends Object, V extends Object>","com.lidroid.xutils.cache.KeyExpiryMap","L1685","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\cache\KeyExpiryMap.java","25","1","88","2","0","0","0","0","0","0","0","0","2","1","1","13","0","1","6","0","9","0.1","0.137931","8","8","1","9","0.137931","8","0","0","0","0","0","50","64","2","0","2","0","9","0","9","0","9","18","0","9","0","50","64","2","0","2","0","9","0","9","0","9","18","0","9","0","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
