"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1874","Annotation","zipkin.Annotation","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","26","1","135","2","0","0","0","0","0","0","0","0","3","1","1","16","4","35","48","5","12","0.285714","0.25","17","17","2","5","0.204082","20","0","0","0","0","0","51","74","3","0","3","0","7","3","6","0","7","26","3","6","0","78","110","6","0","6","0","13","3","10","0","13","36","3","10","0","0","0","36","0","0","0","0","0","0","0","1","0","0","0","0","31","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2168","BinaryAnnotation","zipkin.BinaryAnnotation","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","36","1","233","2","0.0657895","4","29","4","0.0757576","0.114504","15","15","3","1","1","16","5","30","53","5","14","0.444444","0.417476","43","43","4","5","0.299465","56","0","0","0","0","0","60","104","4","0","4","0","9","4","8","0","9","28","4","8","0","131","198","16","0","16","0","19","12","15","0","19","54","12","15","0","0","0","64","0","0","0","0","0","13","0","1","0","0","0","0","40","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L13294","Constants","zipkin.Constants","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Constants.java","21","1","192","2","0","0","0","0","0","0","0","0","0","0","0","1","0","25","0","0","1","0","0.865385","135","135","0","1","0.865385","135","0","0","0","0","0","21","172","15","0","15","0","1","15","0","0","1","0","15","0","0","21","172","15","0","15","0","1","15","0","0","1","0","15","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L2231","DependencyLink","zipkin.DependencyLink","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\DependencyLink.java","23","1","140","2","0.142857","1","1","1","0.0932203","0.119565","11","11","5","1","1","12","6","51","31","6","14","0","0.0727273","4","4","0","7","0.0416667","4","0","0","0","0","0","51","68","4","0","4","0","8","3","6","0","8","22","3","6","0","92","118","9","0","9","0","16","3","10","0","16","36","3","10","0","0","0","53","0","0","0","0","0","8","0","1","0","0","0","0","39","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1744","Endpoint","zipkin.Endpoint","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Endpoint.java","34","1","211","2","0","0","0","0","0","0","0","0","4","1","1","16","3","39","59","5","13","0.25","0.458716","50","50","2","6","0.381818","63","0","0","0","0","0","59","114","4","0","4","0","8","4","7","0","8","25","4","7","0","102","178","8","0","8","0","16","4","13","0","16","44","4","13","0","0","0","37","0","0","0","0","0","0","0","1","0","0","0","0","32","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L13426","InMemoryCollectorMetrics","zipkin.InMemoryCollectorMetrics","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\InMemoryCollectorMetrics.java","26","1","123","2","0.230241","1","7","1","0.163265","0.189873","16","15","1","3","3","25","2","0","0","1","18","0.0714286","0.0705882","6","4","1","13","0.0705882","6","1","1","0","0","1","79","98","7","0","6","0","17","0","13","0","17","35","1","13","0","79","98","7","0","6","0","17","0","13","0","17","35","1","13","0","0","0","52","0","0","0","0","0","12","0","0","0","0","0","0","37","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1546","Span","zipkin.Span","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Span.java","47","1","475","2","0","0","0","0","0","0","0","0","5","2","2","42","9","122","122","9","19","0.444444","0.451477","107","106","4","5","0.323383","130","0","0","0","0","0","130","244","11","0","11","0","10","10","8","0","10","81","10","8","0","272","429","23","0","23","0","28","10","22","0","28","153","10","22","0","0","0","69","0","0","0","0","0","0","0","2","2","0","0","0","57","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L13581","TraceKeys","zipkin.TraceKeys","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\TraceKeys.java","37","1","110","2","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","1","1","0.860465","74","74","1","0","0.860465","74","0","0","0","0","0","12","74","8","0","8","0","1","8","0","0","1","0","8","0","0","12","74","8","0","8","0","1","8","0","0","1","0","8","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L3896","CodecTest","zipkin.CodecTest","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\test\java\zipkin\CodecTest.java","26","1","234","2","0.394338","3","3","3","0.258373","0.298246","54","51","1","1","1","22","10","2","0","29","47","0.111111","0.0604396","11","7","2","16","0.0604396","11","0","0","2","2","0","171","209","1","0","1","0","18","1","17","0","18","50","1","17","0","171","209","1","0","1","0","18","1","17","0","18","50","1","17","0","0","0","67","0","0","0","0","0","24","0","0","0","0","3","0","35","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L13624","DependencyLinkTest","zipkin.DependencyLinkTest","L1507","L103","D:\PR_assignment_src\zipkin\zipkin\src\test\java\zipkin\DependencyLinkTest.java","24","1","49","2","0.990196","2","2","2","0.846154","0.894737","22","17","2","0","0","2","4","0","0","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","19","26","0","0","0","0","2","0","2","0","2","9","0","2","0","19","26","0","0","0","0","2","0","2","0","2","9","0","2","0","0","0","23","0","0","0","0","0","15","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
