"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L19790","ClientCnxn","org.apache.zookeeper.ClientCnxn","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","99","1","1595","2","0.034279","1","6","3","0.0207081","0.0277033","31","31","2","4","4","45","23","16","53","28","52","0.315789","0.340102","134","118","6","13","0.16803","226","0","0","0","0","0","260","466","26","6","26","6","24","1","18","0","24","116","1","18","0","1119","1497","67","9","65","9","62","2","35","0","66","582","2","37","0","0","0","210","0","0","0","0","0","11","0","1","17","0","7","0","138","0","0","0","0","0","0","0","36","0","0","0","0","0"
"L20074","ClientCnxnSocket","org.apache.zookeeper.ClientCnxnSocket","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxnSocket.java","46","1","241","2","0","0","0","0","0","0","0","0","2","2","2","31","8","9","24","6","31","1","0.409357","70","67","1","0","0.409357","70","0","0","2","3","0","101","196","14","6","14","6","25","0","0","0","25","35","0","0","0","101","196","14","6","14","6","25","0","0","0","25","35","0","0","0","0","0","33","0","0","0","0","0","0","0","1","0","0","0","0","28","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L20533","ClientCnxnSocketNetty","org.apache.zookeeper.ClientCnxnSocketNetty","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxnSocketNetty.java","68","1","443","2","0","0","0","0","0","0","0","0","3","3","3","43","10","4","3","9","28","1","0.150485","31","23","1","0","0.146628","50","1","1","0","0","1","175","237","23","6","9","2","19","0","0","0","31","79","0","0","0","291","376","27","8","13","4","28","0","6","0","40","145","0","6","0","0","0","66","0","0","0","0","0","0","0","2","0","0","0","0","60","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L20668","ClientCnxnSocketNIO","org.apache.zookeeper.ClientCnxnSocketNIO","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxnSocketNIO.java","41","1","432","2","0.0926871","2","14","2","0.0739796","0.0973154","29","29","1","5","4","77","8","3","1","15","39","0","0.176796","64","29","0","1","0.176796","64","1","1","1","1","1","298","392","19","7","5","3","24","0","0","0","36","159","0","0","0","298","392","19","7","5","3","24","0","0","0","36","159","0","0","0","0","0","56","0","0","0","0","0","9","0","0","4","0","1","0","39","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L4575","Environment","org.apache.zookeeper.Environment","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\Environment.java","32","1","112","2","0.392857","2","4","4","0.296296","0.338028","24","24","1","1","1","5","2","4","2","3","6","0.333333","0.0806452","5","4","1","2","0.0657895","5","0","0","0","0","0","57","66","1","0","1","0","3","1","2","0","3","28","1","2","0","71","81","3","2","3","2","7","1","6","0","7","33","1","6","0","0","0","36","0","0","0","0","0","12","0","0","0","0","0","0","20","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L21303","JLineZNodeCompleter","org.apache.zookeeper.JLineZNodeCompleter","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\JLineZNodeCompleter.java","26","1","86","2","0","0","0","0","0","0","0","0","1","3","3","15","3","0","0","2","6","0","0.0357143","2","0","0","3","0.0357143","2","0","0","0","0","0","54","61","1","0","1","0","4","0","2","0","4","27","0","2","0","54","61","1","0","1","0","4","0","2","0","4","27","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2164","KeeperException","org.apache.zookeeper.KeeperException","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\KeeperException.java","27","1","814","2","0.234146","25","593","58","0.135787","0.249417","107","107","1","1","1","71","28","160","98","27","41","0.75","0.280992","68","68","9","3","0.407459","295","0","0","27","27","0","174","386","3","5","3","5","14","0","11","2","14","76","0","11","2","429","788","57","140","57","5","53","52","49","2","431","115","52","346","56","0","0","167","0","0","0","0","0","22","0","1","2","0","2","0","114","0","1","0","0","0","0","0","25","0","0","0","0","0"
"L14276","Login","org.apache.zookeeper.Login","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\Login.java","49","1","422","2","0","0","0","0","0","0","0","0","1","3","3","33","4","7","9","3","18","0.166667","0.285068","63","49","1","5","0.205128","72","0","0","0","0","0","158","245","16","7","16","7","15","1","5","2","15","77","1","5","2","279","374","16","7","16","7","16","1","6","2","16","151","1","6","2","0","0","44","0","0","0","0","0","0","0","0","5","0","0","0","26","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L5806","MultiResponse","org.apache.zookeeper.MultiResponse","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\MultiResponse.java","41","1","177","2","0","0","0","0","0","0","0","0","1","4","4","30","10","4","6","15","23","0.111111","0.0645161","8","7","1","8","0.0645161","8","1","1","0","0","1","116","137","1","1","1","1","8","0","8","0","8","64","0","8","0","116","137","1","1","1","1","8","0","8","0","8","64","0","8","0","0","0","21","0","0","0","0","0","0","0","0","2","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7801","MultiTransactionRecord","org.apache.zookeeper.MultiTransactionRecord","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\MultiTransactionRecord.java","37","1","163","2","0","0","0","0","0","0","0","0","1","3","3","33","5","4","6","12","21","0.1","0.0578512","7","7","1","9","0.0578512","7","1","1","0","0","1","114","127","1","0","1","0","9","0","9","0","9","58","0","9","0","114","127","1","0","1","0","9","0","9","0","9","58","0","9","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7810","Op","org.apache.zookeeper.Op","L106","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\Op.java","46","1","452","2","0","0","0","0","0","0","0","0","7","1","1","15","9","17","62","9","22","1","0.740331","134","134","11","0","0.379501","137","0","0","4","5","0","47","192","2","2","2","2","13","0","10","1","13","17","0","10","1","224","407","10","14","10","3","43","0","25","2","106","96","0","73","7","0","0","83","0","0","0","0","0","0","0","1","0","0","0","0","77","0","0","0","0","0","0","0","5","0","0","0","0","0"
