"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L9254","Binarizer","com.google.zxing.Binarizer","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","30","1","87","2","0","0","0","0","0","0","0","0","0","0","0","7","4","3","13","2","9","0.571429","0.684211","39","39","4","3","0.684211","39","0","0","1","2","0","18","58","1","5","1","5","7","0","6","0","7","4","0","6","0","18","58","1","5","1","5","7","0","6","0","7","4","0","6","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2656","BinaryBitmap","com.google.zxing.BinaryBitmap","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\BinaryBitmap.java","28","1","150","2","0","0","0","0","0","0","0","0","1","1","1","14","5","31","31","12","23","0.833333","0.560345","65","60","10","2","0.560345","65","0","0","0","0","0","51","123","2","4","2","4","11","0","11","0","11","20","0","11","0","51","123","2","4","2","4","11","0","11","0","11","20","0","11","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9317","ChecksumException","com.google.zxing.ChecksumException","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\ChecksumException.java","25","1","47","2","0","0","0","0","0","0","0","0","0","0","0","6","1","19","12","2","6","0.333333","0.291667","7","6","1","2","0.291667","7","1","1","0","0","1","17","23","3","2","1","2","4","0","2","0","7","3","0","3","0","17","23","3","2","1","2","4","0","2","0","7","3","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10725","Dimension","com.google.zxing.Dimension","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Dimension.java","22","1","62","2","0","0","0","0","0","0","0","0","1","1","1","10","0","5","2","0","6","0.142857","0.0833333","3","3","1","6","0.0833333","3","0","0","0","0","0","33","41","2","2","2","2","6","0","6","0","6","12","0","6","0","33","41","2","2","2","2","6","0","6","0","6","12","0","6","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8289","FormatException","com.google.zxing.FormatException","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\FormatException.java","26","1","47","2","0","0","0","0","0","0","0","0","0","0","0","6","1","44","39","2","6","0.333333","0.291667","7","7","1","2","0.291667","7","1","1","0","0","1","17","22","3","2","1","2","4","0","2","0","7","3","0","3","0","17","22","3","2","1","2","4","0","2","0","7","3","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11902","InvertedLuminanceSource","com.google.zxing.InvertedLuminanceSource","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\InvertedLuminanceSource.java","25","1","88","2","0","0","0","0","0","0","0","0","1","1","1","11","1","1","1","10","19","0.2","0.152542","9","9","2","8","0.152542","9","1","1","0","0","1","50","64","3","4","1","2","9","0","9","0","19","23","0","18","0","50","64","3","4","1","2","9","0","9","0","19","23","0","18","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7402","LuminanceSource","com.google.zxing.LuminanceSource","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\LuminanceSource.java","28","1","157","2","0","0","0","0","0","0","0","0","7","5","3","17","1","19","41","1","13","0.916667","0.536","67","67","11","1","0.536","67","0","0","5","5","0","58","130","2","4","2","4","12","0","11","0","12","31","0","11","0","58","130","2","4","2","4","12","0","11","0","12","31","0","11","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2619","MultiFormatReader","com.google.zxing.MultiFormatReader","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\MultiFormatReader.java","38","1","180","2","0.187638","2","11","2","0.104895","0.15625","15","15","1","3","3","37","13","52","7","4","10","0.833333","0.314286","44","40","5","1","0.314286","44","1","1","0","0","1","96","143","2","0","2","0","6","0","5","1","6","46","0","5","1","96","143","2","0","2","0","6","0","5","1","6","46","0","5","1","0","0","19","0","0","0","0","0","10","0","0","1","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3229","MultiFormatWriter","com.google.zxing.MultiFormatWriter","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\MultiFormatWriter.java","42","1","105","2","0.648649","3","41","7","0.5625","0.6","36","36","1","1","1","15","18","2","2","1","3","0.333333","0.0909091","6","6","1","2","0.0909091","6","1","1","0","0","1","60","64","0","0","0","0","2","0","2","0","2","31","0","2","0","60","64","0","0","0","0","2","0","2","0","2","31","0","2","0","0","0","21","0","0","0","0","0","12","0","0","1","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7733","NotFoundException","com.google.zxing.NotFoundException","L106","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\NotFoundException.java","25","1","40","2","0","0","0","0","0","0","0","0","0","0","0","2","1","67","79","1","3","0.5","0.388889","7","6","1","1","0.388889","7","1","1","0","0","1","11","16","3","1","1","1","2","0","1","0","5","1","0","2","0","11","16","3","1","1","1","2","0","1","0","5","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
