"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4186","void registerImplementation(Class<? extends ActionBarSherlock> implementationClass)","com.actionbarsherlock.ActionBarSherlock.registerImplementation(Ljava/lang/Class;)V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","122","5","133","6","0","0","0","0","0","0","0","0","5","3","2","0","0","0.388889","7","7","0.388889","7","11","12","10","1","11","12","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4264","boolean unregisterImplementation(Class<? extends ActionBarSherlock> implementationClass)","com.actionbarsherlock.ActionBarSherlock.unregisterImplementation(Ljava/lang/Class;)Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","143","5","145","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.727273","8","8","0.727273","8","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1361","ActionBarSherlock wrap(Activity activity)","com.actionbarsherlock.ActionBarSherlock.wrap(Landroid/app/Activity;)Lcom/actionbarsherlock/ActionBarSherlock;","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","155","5","157","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.727273","8","8","0.727273","8","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4273","ActionBarSherlock wrap(Activity activity, int flags)","com.actionbarsherlock.ActionBarSherlock.wrap(Landroid/app/Activity;I)Lcom/actionbarsherlock/ActionBarSherlock;","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","168","5","243","6","0","0","0","0","0","0","0","0","25","4","3","6","2","0.160494","13","9","0.160494","13","68","76","48","2","68","76","48","0","0","4","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L4345","ActionBarSherlock(Activity activity, int flags)","com.actionbarsherlock.ActionBarSherlock.<init>(Landroid/app/Activity;I)V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","256","5","261","6","0","0","0","0","0","0","0","0","2","1","1","2","0","0","0","0","0","0","5","6","4","2","5","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4353","ActionBar getActionBar()","com.actionbarsherlock.ActionBarSherlock.getActionBar()Lcom/actionbarsherlock/app/ActionBar;","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","269","5","269","46","0","0","0","0","0","0","0","0","1","0","0","6","0","0.833333","5","5","0.833333","5","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4355","void dispatchConfigurationChanged(Configuration newConfig)","com.actionbarsherlock.ActionBarSherlock.dispatchConfigurationChanged(Landroid/content/res/Configuration;)V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","290","5","290","73","0","0","0","0","0","0","0","0","1","0","0","5","0","0.944444","17","17","0.944444","17","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4361","void dispatchPostResume()","com.actionbarsherlock.ActionBarSherlock.dispatchPostResume()V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","304","5","304","40","0","0","0","0","0","0","0","0","1","0","0","5","0","0.923077","12","12","0.923077","12","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4363","void dispatchPause()","com.actionbarsherlock.ActionBarSherlock.dispatchPause()V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","318","5","318","35","0","0","0","0","0","0","0","0","1","0","0","5","0","0.923077","12","12","0.923077","12","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4365","void dispatchStop()","com.actionbarsherlock.ActionBarSherlock.dispatchStop()V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","332","5","332","34","0","0","0","0","0","0","0","0","1","0","0","5","0","0.923077","12","12","0.923077","12","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4367","void dispatchInvalidateOptionsMenu()","com.actionbarsherlock.ActionBarSherlock.dispatchInvalidateOptionsMenu()V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","338","5","338","58","0","0","0","0","0","0","0","0","1","0","0","5","0","0.8","4","4","0.8","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4369","boolean dispatchOpenOptionsMenu()","com.actionbarsherlock.ActionBarSherlock.dispatchOpenOptionsMenu()Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","356","5","358","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0.842105","16","16","0.842105","16","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4371","boolean dispatchCloseOptionsMenu()","com.actionbarsherlock.ActionBarSherlock.dispatchCloseOptionsMenu()Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","376","5","378","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0.842105","16","16","0.842105","16","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4373","void dispatchPostCreate(Bundle savedInstanceState)","com.actionbarsherlock.ActionBarSherlock.dispatchPostCreate(Landroid/os/Bundle;)V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","398","5","398","65","0","0","0","0","0","0","0","0","1","0","0","5","0","0.947368","18","18","0.947368","18","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4376","void dispatchTitleChanged(CharSequence title, int color)","com.actionbarsherlock.ActionBarSherlock.dispatchTitleChanged(Ljava/lang/CharSequence;I)V","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","416","5","416","71","0","0","0","0","0","0","0","0","1","0","0","5","0","0.941176","16","16","0.941176","16","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4380","boolean dispatchKeyEvent(KeyEvent event)","com.actionbarsherlock.ActionBarSherlock.dispatchKeyEvent(Landroid/view/KeyEvent;)Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","436","5","438","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0.857143","18","18","0.857143","18","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1380","boolean dispatchCreateOptionsMenu(Menu menu)","com.actionbarsherlock.ActionBarSherlock.dispatchCreateOptionsMenu(Landroid/view/Menu;)Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","450","5","450","79","0","0","0","0","0","0","0","0","1","0","0","6","0","0.909091","10","10","0.909091","10","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4385","boolean dispatchPrepareOptionsMenu(Menu menu)","com.actionbarsherlock.ActionBarSherlock.dispatchPrepareOptionsMenu(Landroid/view/Menu;)Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","468","5","468","80","0","0","0","0","0","0","0","0","1","0","0","5","0","0.941176","16","16","0.941176","16","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4388","boolean dispatchOptionsItemSelected(MenuItem item)","com.actionbarsherlock.ActionBarSherlock.dispatchOptionsItemSelected(Landroid/view/MenuItem;)Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","484","5","484","85","0","0","0","0","0","0","0","0","1","0","0","5","0","0.933333","14","14","0.933333","14","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4391","boolean dispatchMenuOpened(int featureId, Menu menu)","com.actionbarsherlock.ActionBarSherlock.dispatchMenuOpened(ILandroid/view/Menu;)Z","L1358","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","506","5","508","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0.869565","20","20","0.869565","20","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
