"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L594","AwesomeTextView(Context context)","com.beardedhen.androidbootstrap.AwesomeTextView.<init>(Landroid/content/Context;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","62","5","65","6","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L600","AwesomeTextView(Context context, AttributeSet attrs)","com.beardedhen.androidbootstrap.AwesomeTextView.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","67","5","70","6","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L608","AwesomeTextView(Context context, AttributeSet attrs, int defStyle)","com.beardedhen.androidbootstrap.AwesomeTextView.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","72","5","75","6","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","4","4","2","3","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L598","void initialise(AttributeSet attrs)","com.beardedhen.androidbootstrap.AwesomeTextView.initialise(Landroid/util/AttributeSet;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","77","5","126","6","0","0","0","0","0","0","0","0","8","3","3","3","6","0.0238095","1","0","0.0238095","1","41","50","29","1","41","50","29","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L659","Parcelable onSaveInstanceState()","com.beardedhen.androidbootstrap.AwesomeTextView.onSaveInstanceState()Landroid/os/Parcelable;","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","128","5","134","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","7","7","5","0","7","7","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L678","void onRestoreInstanceState(Parcelable state)","com.beardedhen.androidbootstrap.AwesomeTextView.onRestoreInstanceState(Landroid/os/Parcelable;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","136","5","153","6","0","0","0","0","0","0","0","0","4","2","2","3","1","0","0","0","0","0","16","18","11","1","16","18","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L686","void startFlashing(boolean forever, AnimationSpeed speed)","com.beardedhen.androidbootstrap.AwesomeTextView.startFlashing(ZLcom/beardedhen/androidbootstrap/AwesomeTextView$AnimationSpeed;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","161","5","176","6","0","0","0","0","0","0","0","0","2","1","1","1","1","0.421053","8","6","0.421053","8","11","16","8","2","11","16","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L713","void startRotate(boolean clockwise, AnimationSpeed speed)","com.beardedhen.androidbootstrap.AwesomeTextView.startRotate(ZLcom/beardedhen/androidbootstrap/AwesomeTextView$AnimationSpeed;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","184","5","202","6","0","0","0","0","0","0","0","0","2","1","1","1","1","0.347826","8","6","0.347826","8","15","19","10","2","15","19","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L637","void setIcon(CharSequence iconCode, IconSet iconSet)","com.beardedhen.androidbootstrap.AwesomeTextView.setIcon(Ljava/lang/CharSequence;Lcom/beardedhen/androidbootstrap/font/IconSet;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","210","5","212","6","0","0","0","0","0","0","0","0","1","0","0","1","4","0.666667","6","6","0.666667","6","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L751","void setFontAwesomeIcon(CharSequence iconCode)","com.beardedhen.androidbootstrap.AwesomeTextView.setFontAwesomeIcon(Ljava/lang/CharSequence;)V","L557","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","220","5","222","6","0","0","0","0","0","0","0","0","1","0","0","1","4","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
