"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L467","User(int userId)","com.fernandocejas.android10.sample.domain.User.<init>(I)V","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","25","3","27","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L546","int getUserId()","com.fernandocejas.android10.sample.domain.User.getUserId()I","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","35","3","37","4","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1233","String getCoverUrl()","com.fernandocejas.android10.sample.domain.User.getCoverUrl()Ljava/lang/String;","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","39","3","41","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L469","void setCoverUrl(String coverUrl)","com.fernandocejas.android10.sample.domain.User.setCoverUrl(Ljava/lang/String;)V","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","43","3","45","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L549","String getFullName()","com.fernandocejas.android10.sample.domain.User.getFullName()Ljava/lang/String;","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","47","3","49","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L473","void setFullName(String fullName)","com.fernandocejas.android10.sample.domain.User.setFullName(Ljava/lang/String;)V","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","51","3","53","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1238","String getEmail()","com.fernandocejas.android10.sample.domain.User.getEmail()Ljava/lang/String;","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","55","3","57","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L481","void setEmail(String email)","com.fernandocejas.android10.sample.domain.User.setEmail(Ljava/lang/String;)V","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","59","3","61","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1241","String getDescription()","com.fernandocejas.android10.sample.domain.User.getDescription()Ljava/lang/String;","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","63","3","65","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L475","void setDescription(String description)","com.fernandocejas.android10.sample.domain.User.setDescription(Ljava/lang/String;)V","L463","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","67","3","69","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
