"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1672","void onCreate(Bundle savedInstanceState)","com.hmkcode.MainActivity.onCreate(Landroid/os/Bundle;)V","L1667","L103","D:\PR_assignment_src\Android\android-clean-http-async-task\src\com\hmkcode\MainActivity.java","25","2","43","3","0.776471","2","4","2","0.684211","0.6875","13","11","2","1","1","0","1","0","0","0","0","0","16","19","10","1","16","19","10","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1679","void onClick(View v)","com.hmkcode.MainActivity.onClick(Landroid/view/View;)V","L1667","L103","D:\PR_assignment_src\Android\android-clean-http-async-task\src\com\hmkcode\MainActivity.java","45","2","63","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0.0666667","1","5","6","1","1","14","19","4","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0"
"L1677","boolean isConnected()","com.hmkcode.MainActivity.isConnected()Z","L1667","L103","D:\PR_assignment_src\Android\android-clean-http-async-task\src\com\hmkcode\MainActivity.java","64","2","71","6","0","0","0","0","0","0","0","0","3","1","1","1","0","0","0","0","0","0","8","8","5","0","8","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2048","void main(String[] args)","com.hmkcode.App.main([Ljava/lang/String;)V","L2045","L103","D:\PR_assignment_src\Android\java-post-gcm\src\main\java\com\hmkcode\App.java","20","5","28","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","7","9","4","1","7","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2056","Content createContent()","com.hmkcode.App.createContent()Lcom/hmkcode/vo/Content;","L2045","L103","D:\PR_assignment_src\Android\java-post-gcm\src\main\java\com\hmkcode\App.java","30","5","38","3","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","6","9","4","0","6","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2058","void post(String apiKey, Content content)","com.hmkcode.POST2GCM.post(Ljava/lang/String;Lcom/hmkcode/vo/Content;)V","L2063","L103","D:\PR_assignment_src\Android\java-post-gcm\src\main\java\com\hmkcode\POST2GCM.java","17","2","76","7","0","0","0","0","0","0","0","0","4","2","2","1","0","0.27907","12","0","0.27907","12","31","60","24","2","31","60","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2102","AppTest(String testName)","com.hmkcode.AppTest.<init>(Ljava/lang/String;)V","L2100","L103","D:\PR_assignment_src\Android\java-post-gcm\src\test\java\com\hmkcode\AppTest.java","18","5","21","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.555556","5","5","0.555556","5","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2105","Test suite()","com.hmkcode.AppTest.suite()LTest;","L2100","L103","D:\PR_assignment_src\Android\java-post-gcm\src\test\java\com\hmkcode\AppTest.java","26","5","29","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.428571","3","3","0.428571","3","4","4","1","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2109","void testApp()","com.hmkcode.AppTest.testApp()V","L2100","L103","D:\PR_assignment_src\Android\java-post-gcm\src\test\java\com\hmkcode\AppTest.java","34","5","37","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.428571","3","3","0.428571","3","4","4","1","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","void onCreate(Bundle savedInstanceState)","com.hmkcode.android.MainActivity.onCreate(Landroid/os/Bundle;)V","L205","L103","D:\PR_assignment_src\Android\android-actionbar-for-2.x.x\src\com\hmkcode\android\MainActivity.java","9","2","13","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","boolean onCreateOptionsMenu(Menu menu)","com.hmkcode.android.MainActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L205","L103","D:\PR_assignment_src\Android\android-actionbar-for-2.x.x\src\com\hmkcode\android\MainActivity.java","15","2","20","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L260","void onCreate(Bundle savedInstanceState)","com.hmkcode.android.MainActivity.onCreate(Landroid/os/Bundle;)V","L229","L103","D:\PR_assignment_src\Android\android-camera-app\src\com\hmkcode\android\MainActivity.java","29","2","55","3","0","0","0","0","0","0","0","0","3","1","1","0","2","0.181818","4","0","0.181818","4","18","27","13","1","18","27","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
