"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L6283","ApplicationTest()","com.github.ksoichiro.myapplication.ApplicationTest.<init>()V","L6274","L103","D:\PR_assignment_src\Android-ObservableScrollView\samples\src\androidTest\java\com\github\ksoichiro\app\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L144","void testGridViewSavedState()","com.github.ksoichiro.android.observablescrollview.SavedStateTest.testGridViewSavedState()V","L140","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\androidTest\java\com\github\ksoichiro\android\observablescrollview\SavedStateTest.java","10","5","38","6","1","1","1","1","1","1","29","27","1","0","0","0","2","0","0","0","0","0","27","29","25","0","27","29","25","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L198","void testListViewSavedState()","com.github.ksoichiro.android.observablescrollview.SavedStateTest.testListViewSavedState()V","L140","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\androidTest\java\com\github\ksoichiro\android\observablescrollview\SavedStateTest.java","40","5","68","6","1","1","1","1","1","1","29","27","1","0","0","0","2","0","0","0","0","0","27","29","25","0","27","29","25","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L223","void testRecyclerViewSavedState()","com.github.ksoichiro.android.observablescrollview.SavedStateTest.testRecyclerViewSavedState()V","L140","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\androidTest\java\com\github\ksoichiro\android\observablescrollview\SavedStateTest.java","70","5","98","6","1","1","1","1","1","1","29","27","1","0","0","0","2","0","0","0","0","0","27","29","25","0","27","29","25","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L248","void testScrollViewSavedState()","com.github.ksoichiro.android.observablescrollview.SavedStateTest.testScrollViewSavedState()V","L140","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\androidTest\java\com\github\ksoichiro\android\observablescrollview\SavedStateTest.java","100","5","113","6","1","1","1","1","1","1","14","12","1","0","0","0","2","0","0","0","0","0","12","14","10","0","12","14","10","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L265","void testWebViewSavedState()","com.github.ksoichiro.android.observablescrollview.SavedStateTest.testWebViewSavedState()V","L140","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\androidTest\java\com\github\ksoichiro\android\observablescrollview\SavedStateTest.java","115","5","128","6","1","1","1","1","1","1","14","12","1","0","0","0","2","0","0","0","0","0","12","14","10","0","12","14","10","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1785","CacheFragmentStatePagerAdapter(FragmentManager fm)","com.github.ksoichiro.android.observablescrollview.CacheFragmentStatePagerAdapter.<init>(Landroid/support/v4/app/FragmentManager;)V","L1776","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\main\java\com\github\ksoichiro\android\observablescrollview\CacheFragmentStatePagerAdapter.java","44","5","48","6","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2148","Parcelable saveState()","com.github.ksoichiro.android.observablescrollview.CacheFragmentStatePagerAdapter.saveState()Landroid/os/Parcelable;","L1776","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\main\java\com\github\ksoichiro\android\observablescrollview\CacheFragmentStatePagerAdapter.java","50","5","66","6","0","0","0","0","0","0","0","0","3","2","2","0","2","0","0","0","0","0","16","17","13","0","16","17","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2170","void restoreState(Parcelable state, ClassLoader loader)","com.github.ksoichiro.android.observablescrollview.CacheFragmentStatePagerAdapter.restoreState(Landroid/os/Parcelable;Ljava/lang/ClassLoader;)V","L1776","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\main\java\com\github\ksoichiro\android\observablescrollview\CacheFragmentStatePagerAdapter.java","68","5","82","6","0","0","0","0","0","0","0","0","3","2","2","0","2","0","0","0","0","0","14","15","11","2","14","15","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2186","Fragment getItem(int position)","com.github.ksoichiro.android.observablescrollview.CacheFragmentStatePagerAdapter.getItem(I)Landroid/support/v4/app/Fragment;","L1776","L103","D:\PR_assignment_src\Android-ObservableScrollView\library\src\main\java\com\github\ksoichiro\android\observablescrollview\CacheFragmentStatePagerAdapter.java","96","5","102","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.684211","13","12","0.684211","13","6","7","3","1","6","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
