"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2797","Executor createExecutor(int threadPoolSize, int threadPriority, QueueProcessingType tasksProcessingType)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createExecutor(IILcom/nostra13/universalimageloader/core/assist/QueueProcessingType;)Ljava/util/concurrent/Executor;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","61","2","68","3","0","0","0","0","0","0","0","0","2","0","0","2","1","0.111111","1","1","0.111111","1","8","8","3","3","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2823","Executor createTaskDistributor()","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createTaskDistributor()Ljava/util/concurrent/Executor;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","71","2","73","3","0","0","0","0","0","0","0","0","1","0","0","1","1","0.25","1","1","0.25","1","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L222","FileNameGenerator createFileNameGenerator()","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createFileNameGenerator()Lcom/nostra13/universalimageloader/cache/disc/naming/FileNameGenerator;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","76","2","78","3","0","0","0","0","0","0","0","0","1","0","0","4","0","0.25","1","1","0.25","1","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2833","DiskCache createDiskCache(Context context, FileNameGenerator diskCacheFileNameGenerator, long diskCacheSize, int diskCacheFileCount)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createDiskCache(Landroid/content/Context;Lcom/nostra13/universalimageloader/cache/disc/naming/FileNameGenerator;JI)Lcom/nostra13/universalimageloader/cache/disc/DiskCache;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","83","2","98","3","0","0","0","0","0","0","0","0","4","2","2","1","6","0.210526","4","3","0.210526","4","15","16","8","4","15","16","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2839","File createReserveDiskCacheDir(Context context)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createReserveDiskCacheDir(Landroid/content/Context;)Ljava/io/File;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","101","2","108","3","0","0","0","0","0","0","0","0","3","1","1","1","1","0.111111","1","1","0.111111","1","8","8","5","1","8","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2856","MemoryCache createMemoryCache(Context context, int memoryCacheSize)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createMemoryCache(Landroid/content/Context;I)Lcom/nostra13/universalimageloader/cache/memory/MemoryCache;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","114","2","124","3","0","0","0","0","0","0","0","0","4","2","2","1","4","0.266667","4","4","0.266667","4","11","11","7","2","11","11","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2869","boolean hasHoneycomb()","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.hasHoneycomb()Z","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","126","2","128","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2871","boolean isLargeHeap(Context context)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.isLargeHeap(Landroid/content/Context;)Z","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","130","2","133","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2873","int getLargeMemoryClass(ActivityManager am)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.getLargeMemoryClass(Landroid/app/ActivityManager;)I","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","135","2","138","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2890","ImageDownloader createImageDownloader(Context context)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createImageDownloader(Landroid/content/Context;)Lcom/nostra13/universalimageloader/core/download/ImageDownloader;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","141","2","143","3","0","0","0","0","0","0","0","0","1","0","0","1","1","0.25","1","1","0.25","1","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2898","ImageDecoder createImageDecoder(boolean loggingEnabled)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createImageDecoder(Z)Lcom/nostra13/universalimageloader/core/decode/ImageDecoder;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","146","2","148","3","0","0","0","0","0","0","0","0","1","0","0","1","1","0.25","1","1","0.25","1","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2904","BitmapDisplayer createBitmapDisplayer()","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createBitmapDisplayer()Lcom/nostra13/universalimageloader/core/display/BitmapDisplayer;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","151","2","153","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0.25","1","1","0.25","1","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2821","ThreadFactory createThreadFactory(int threadPriority, String threadNamePrefix)","com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createThreadFactory(ILjava/lang/String;)Ljava/util/concurrent/ThreadFactory;","L2794","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","156","2","158","3","0","0","0","0","0","0","0","0","1","0","0","2","1","0.25","1","1","0.25","1","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3259","DisplayBitmapTask(Bitmap bitmap, ImageLoadingInfo imageLoadingInfo, ImageLoaderEngine engine, LoadedFrom loadedFrom)","com.nostra13.universalimageloader.core.DisplayBitmapTask.<init>(Landroid/graphics/Bitmap;Lcom/nostra13/universalimageloader/core/ImageLoadingInfo;Lcom/nostra13/universalimageloader/core/ImageLoaderEngine;Lcom/nostra13/universalimageloader/core/assist/LoadedFrom;)V","L3240","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayBitmapTask.java","48","2","58","3","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","11","11","8","4","11","11","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3287","void run()","com.nostra13.universalimageloader.core.DisplayBitmapTask.run()V","L3240","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayBitmapTask.java","60","2","74","3","0","0","0","0","0","0","0","0","3","2","1","0","8","0","0","0","0","0","15","15","10","0","15","15","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3293","boolean isViewWasReused()","com.nostra13.universalimageloader.core.DisplayBitmapTask.isViewWasReused()Z","L3240","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayBitmapTask.java","77","2","80","3","0","0","0","0","0","0","0","0","1","0","0","1","1","0.2","1","1","0.2","1","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3331","DisplayImageOptions(Builder builder)","com.nostra13.universalimageloader.core.DisplayImageOptions.<init>(Lcom/nostra13/universalimageloader/core/DisplayImageOptions$Builder;)V","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","87","2","107","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","21","21","19","1","21","21","19","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3393","boolean shouldShowImageOnLoading()","com.nostra13.universalimageloader.core.DisplayImageOptions.shouldShowImageOnLoading()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","109","2","111","3","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3394","boolean shouldShowImageForEmptyUri()","com.nostra13.universalimageloader.core.DisplayImageOptions.shouldShowImageForEmptyUri()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","113","2","115","3","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3395","boolean shouldShowImageOnFail()","com.nostra13.universalimageloader.core.DisplayImageOptions.shouldShowImageOnFail()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","117","2","119","3","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3396","boolean shouldPreProcess()","com.nostra13.universalimageloader.core.DisplayImageOptions.shouldPreProcess()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","121","2","123","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3397","boolean shouldPostProcess()","com.nostra13.universalimageloader.core.DisplayImageOptions.shouldPostProcess()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","125","2","127","3","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3398","boolean shouldDelayBeforeLoading()","com.nostra13.universalimageloader.core.DisplayImageOptions.shouldDelayBeforeLoading()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","129","2","131","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3399","Drawable getImageOnLoading(Resources res)","com.nostra13.universalimageloader.core.DisplayImageOptions.getImageOnLoading(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","133","2","135","3","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3406","Drawable getImageForEmptyUri(Resources res)","com.nostra13.universalimageloader.core.DisplayImageOptions.getImageForEmptyUri(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","137","2","139","3","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3408","Drawable getImageOnFail(Resources res)","com.nostra13.universalimageloader.core.DisplayImageOptions.getImageOnFail(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","141","2","143","3","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3410","boolean isResetViewBeforeLoading()","com.nostra13.universalimageloader.core.DisplayImageOptions.isResetViewBeforeLoading()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","145","2","147","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3411","boolean isCacheInMemory()","com.nostra13.universalimageloader.core.DisplayImageOptions.isCacheInMemory()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","149","2","151","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3412","boolean isCacheOnDisk()","com.nostra13.universalimageloader.core.DisplayImageOptions.isCacheOnDisk()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","153","2","155","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2729","ImageScaleType getImageScaleType()","com.nostra13.universalimageloader.core.DisplayImageOptions.getImageScaleType()Lcom/nostra13/universalimageloader/core/assist/ImageScaleType;","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","157","2","159","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2742","Options getDecodingOptions()","com.nostra13.universalimageloader.core.DisplayImageOptions.getDecodingOptions()Landroid/graphics/BitmapFactory$Options;","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","161","2","163","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3413","int getDelayBeforeLoading()","com.nostra13.universalimageloader.core.DisplayImageOptions.getDelayBeforeLoading()I","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","165","2","167","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2737","boolean isConsiderExifParams()","com.nostra13.universalimageloader.core.DisplayImageOptions.isConsiderExifParams()Z","L2721","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","169","2","171","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
