"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L318","int getScrollableViewScrollPosition(View scrollableView, boolean isSlidingUp)","com.sothree.slidinguppanel.ScrollableViewHelper.getScrollableViewScrollPosition(Landroid/view/View;Z)I","L315","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\ScrollableViewHelper.java","24","5","62","6","0","0","0","0","0","0","0","0","12","4","2","1","0","0.285714","14","10","0.285714","14","35","39","28","2","35","39","28","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L493","SlidingUpPanelLayout(Context context)","com.sothree.slidinguppanel.SlidingUpPanelLayout.<init>(Landroid/content/Context;)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","267","5","269","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L498","SlidingUpPanelLayout(Context context, AttributeSet attrs)","com.sothree.slidinguppanel.SlidingUpPanelLayout.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","271","5","273","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L505","SlidingUpPanelLayout(Context context, AttributeSet attrs, int defStyle)","com.sothree.slidinguppanel.SlidingUpPanelLayout.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","275","5","351","6","0","0","0","0","0","0","0","0","11","3","3","1","3","0.0166667","1","0","0.0166667","1","59","77","45","3","59","77","45","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L586","void onFinishInflate()","com.sothree.slidinguppanel.SlidingUpPanelLayout.onFinishInflate()V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","356","5","365","6","0","0","0","0","0","0","0","0","3","1","1","0","2","0.230769","3","3","0.230769","3","10","10","5","0","10","10","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L529","void setGravity(int gravity)","com.sothree.slidinguppanel.SlidingUpPanelLayout.setGravity(I)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","367","5","375","6","0","0","0","0","0","0","0","0","4","1","1","1","0","0","0","0","0","0","9","9","5","1","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L609","void setCoveredFadeColor(int color)","com.sothree.slidinguppanel.SlidingUpPanelLayout.setCoveredFadeColor(I)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","383","5","386","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.6","6","6","0.6","6","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L612","int getCoveredFadeColor()","com.sothree.slidinguppanel.SlidingUpPanelLayout.getCoveredFadeColor()I","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","391","5","393","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L614","void setTouchEnabled(boolean enabled)","com.sothree.slidinguppanel.SlidingUpPanelLayout.setTouchEnabled(Z)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","400","5","402","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L617","boolean isTouchEnabled()","com.sothree.slidinguppanel.SlidingUpPanelLayout.isTouchEnabled()Z","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","404","5","406","6","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L619","void setPanelHeight(int val)","com.sothree.slidinguppanel.SlidingUpPanelLayout.setPanelHeight(I)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","413","5","428","6","0","0","0","0","0","0","0","0","4","1","1","0","3","0.263158","5","5","0.263158","5","14","16","9","1","14","16","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L624","void smoothToBottom()","com.sothree.slidinguppanel.SlidingUpPanelLayout.smoothToBottom()V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","430","5","432","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L630","int getShadowHeight()","com.sothree.slidinguppanel.SlidingUpPanelLayout.getShadowHeight()I","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","437","5","439","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L632","void setShadowHeight(int val)","com.sothree.slidinguppanel.SlidingUpPanelLayout.setShadowHeight(I)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","446","5","451","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0.454545","5","5","0.454545","5","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L622","int getPanelHeight()","com.sothree.slidinguppanel.SlidingUpPanelLayout.getPanelHeight()I","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","456","5","458","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L636","int getCurrentParallaxOffset()","com.sothree.slidinguppanel.SlidingUpPanelLayout.getCurrentParallaxOffset()I","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","463","5","467","6","0","0","0","0","0","0","0","0","2","0","0","1","0","0.5","4","3","0.5","4","4","5","2","0","4","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L641","void setParallaxOffset(int val)","com.sothree.slidinguppanel.SlidingUpPanelLayout.setParallaxOffset(I)V","L140","L103","D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java","474","5","479","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0.454545","5","5","0.454545","5","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
