"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L136","ClassLoaderSavedState()","com.etsy.android.grid.ClassLoaderSavedState.<init>()V","L123","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ClassLoaderSavedState.java","37","5","40","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.428571","3","3","0.428571","3","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L149","ClassLoaderSavedState(Parcelable superState, ClassLoader classLoader)","com.etsy.android.grid.ClassLoaderSavedState.<init>(Landroid/os/Parcelable;Ljava/lang/ClassLoader;)V","L123","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ClassLoaderSavedState.java","47","5","55","6","0","0","0","0","0","0","0","0","3","1","1","1","0","0.357143","5","5","0.357143","5","9","9","4","2","9","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","ClassLoaderSavedState(Parcel source)","com.etsy.android.grid.ClassLoaderSavedState.<init>(Landroid/os/Parcel;)V","L123","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ClassLoaderSavedState.java","62","5","66","6","0","0","0","0","0","0","0","0","2","0","0","1","0","0.6","6","5","0.6","6","4","5","2","1","4","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","Parcelable getSuperState()","com.etsy.android.grid.ClassLoaderSavedState.getSuperState()Landroid/os/Parcelable;","L123","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ClassLoaderSavedState.java","68","5","70","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L167","int describeContents()","com.etsy.android.grid.ClassLoaderSavedState.describeContents()I","L123","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ClassLoaderSavedState.java","72","5","74","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L171","void writeToParcel(Parcel dest, int flags)","com.etsy.android.grid.ClassLoaderSavedState.writeToParcel(Landroid/os/Parcel;I)V","L123","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ClassLoaderSavedState.java","76","5","78","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L343","ExtendableListView(Context context, AttributeSet attrs, int defStyle)","com.etsy.android.grid.ExtendableListView.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L199","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ExtendableListView.java","193","5","214","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.117647","2","0","0.117647","2","15","22","13","3","15","22","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L387","void onAttachedToWindow()","com.etsy.android.grid.ExtendableListView.onAttachedToWindow()V","L199","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ExtendableListView.java","221","5","232","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0.285714","4","3","0.285714","4","10","12","6","0","10","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L401","void onDetachedFromWindow()","com.etsy.android.grid.ExtendableListView.onDetachedFromWindow()V","L199","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ExtendableListView.java","234","5","246","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0.1","1","0","0.1","1","9","13","5","0","9","13","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L409","void onFocusChanged(boolean gainFocus, int direction, Rect previouslyFocusedRect)","com.etsy.android.grid.ExtendableListView.onFocusChanged(ZILandroid/graphics/Rect;)V","L199","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ExtendableListView.java","248","5","251","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.25","1","0","0.25","1","3","4","0","3","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
