"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L553","void onCreate(Bundle savedInstanceState)","com.daimajia.swipedemo.GridViewExample.onCreate(Landroid/os/Bundle;)V","L546","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\GridViewExample.java","15","5","51","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","16","19","10","1","32","37","14","0","0","20","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0"
"L637","void onCreate(Bundle savedInstanceState)","com.daimajia.swipedemo.ListViewExample.onCreate(Landroid/os/Bundle;)V","L627","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\ListViewExample.java","29","5","97","6","0","0","0","0","0","0","0","0","3","2","2","0","2","0.242424","8","0","0.129032","8","25","37","15","1","54","69","23","0","0","33","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0"
"L720","boolean onCreateOptionsMenu(Menu menu)","com.daimajia.swipedemo.ListViewExample.onCreateOptionsMenu(Landroid/view/Menu;)Z","L627","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\ListViewExample.java","100","5","105","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L729","boolean onOptionsItemSelected(MenuItem item)","com.daimajia.swipedemo.ListViewExample.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L627","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\ListViewExample.java","107","5","127","6","0","0","0","0","0","0","0","0","4","3","1","0","0","0.142857","3","0","0.142857","3","18","21","14","1","18","21","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L759","void onCreate(Bundle savedInstanceState)","com.daimajia.swipedemo.MyActivity.onCreate(Landroid/os/Bundle;)V","L754","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\MyActivity.java","20","5","160","6","0.45977","3","7","7","0.460993","0.504202","65","60","1","0","0","0","5","0.113208","6","0","0.048","6","47","68","29","1","119","141","56","0","0","185","0","0","0","0","0","107","0","0","0","0","0","77","0","0","0","0","0","0","1","0","0","0","0","0"
"L897","boolean onCreateOptionsMenu(Menu menu)","com.daimajia.swipedemo.MyActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L754","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\MyActivity.java","162","5","167","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L899","boolean onOptionsItemSelected(MenuItem item)","com.daimajia.swipedemo.MyActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L754","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\MyActivity.java","169","5","188","6","0","0","0","0","0","0","0","0","5","4","1","0","0","0.15","3","0","0.15","3","17","20","13","1","17","20","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L878","Object evaluate(float fraction, Object startValue, Object endValue)","com.daimajia.swipedemo.MyActivity.evaluate(FLjava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","L754","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\MyActivity.java","193","5","210","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.157895","3","3","0.157895","3","16","18","11","3","16","18","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L909","void onCreate(Bundle savedInstanceState)","com.daimajia.swipedemo.NestedExample.onCreate(Landroid/os/Bundle;)V","L901","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\NestedExample.java","12","5","29","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","10","10","5","1","18","18","7","0","0","12","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
"L929","void onCreate(Bundle savedInstanceState)","com.daimajia.swipedemo.RecyclerViewExample.onCreate(Landroid/os/Bundle;)V","L749","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\RecyclerViewExample.java","39","5","67","6","0","0","0","0","0","0","0","0","3","2","2","0","3","0.16","4","0","0.16","4","21","29","16","1","21","29","16","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
