"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L243","App getInstance()","com.blankj.androidutilcode.App.getInstance()Lcom/blankj/androidutilcode/App;","L835","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\App.java","25","5","27","6","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L847","void onCreate()","com.blankj.androidutilcode.App.onCreate()V","L835","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\App.java","29","5","42","6","0","0","0","0","0","0","0","0","2","1","1","0","6","0.214286","3","0","0.214286","3","11","14","7","0","11","14","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","void onCreate(Bundle savedInstanceState)","com.blankj.androidutilcode.activities.ActivityActivity.onCreate(Landroid/os/Bundle;)V","L135","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\ActivityActivity.java","26","5","41","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","12","16","7","1","12","16","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L182","void onClick(View view)","com.blankj.androidutilcode.activities.ActivityActivity.onClick(Landroid/view/View;)V","L135","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\ActivityActivity.java","43","5","50","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","8","8","3","1","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L195","void onCreate(Bundle savedInstanceState)","com.blankj.androidutilcode.activities.AppActivity.onCreate(Landroid/os/Bundle;)V","L191","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\AppActivity.java","26","5","51","6","0","0","0","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0","22","26","11","1","22","26","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","void onClick(View view)","com.blankj.androidutilcode.activities.AppActivity.onClick(Landroid/view/View;)V","L191","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\AppActivity.java","53","5","80","6","0","0","0","0","0","0","0","0","7","1","1","0","5","0","0","0","0","0","24","24","13","1","28","28","14","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L256","void onCreate(Bundle savedInstanceState)","com.blankj.androidutilcode.activities.CleanActivity.onCreate(Landroid/os/Bundle;)V","L253","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\CleanActivity.java","25","5","47","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","20","23","17","1","20","23","17","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L275","void onClick(View view)","com.blankj.androidutilcode.activities.CleanActivity.onClick(Landroid/view/View;)V","L253","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\CleanActivity.java","49","5","68","6","0","0","0","0","0","0","0","0","6","1","1","0","5","0","0","0","0","0","20","20","11","1","20","20","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","void onCreate(Bundle savedInstanceState)","com.blankj.androidutilcode.activities.DeviceActivity.onCreate(Landroid/os/Bundle;)V","L289","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\DeviceActivity.java","23","5","42","6","0","0","0","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","17","20","8","1","17","20","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L306","void onClick(View view)","com.blankj.androidutilcode.activities.DeviceActivity.onClick(Landroid/view/View;)V","L289","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\DeviceActivity.java","44","5","58","6","0","0","0","0","0","0","0","0","5","1","1","0","4","0","0","0","0","0","15","15","7","1","15","15","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
