"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L126","void v(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.v(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","14","5","18","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","void d(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.d(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","20","5","24","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L143","void i(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.i(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","26","5","30","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L148","void w(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.w(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","32","5","36","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","void e(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.e(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","38","5","42","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","void e(String tag, String message, Exception e)","com.chengxinet.bobo.utils.LogUtils.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Exception;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","44","5","48","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","5","5","2","3","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L167","void logv(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.logv(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","55","5","60","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0.333333","3","3","0.333333","3","6","6","3","2","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","void logd(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.logd(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","62","5","67","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","3","2","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L175","void logi(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.logi(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","69","5","74","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","3","2","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L178","void logw(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.logw(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","76","5","81","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","3","2","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L181","void loge(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.loge(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","83","5","88","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","3","2","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","void loge(String tag, String message, Exception e)","com.chengxinet.bobo.utils.LogUtils.loge(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Exception;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","90","5","95","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","3","3","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L188","void logJ(String tag, String message)","com.chengxinet.bobo.utils.LogUtils.logJ(Ljava/lang/String;Ljava/lang/String;)V","L114","L103","D:\PR_assignment_src\Android_Data\fake_land\LogUtils.java","97","5","102","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","3","2","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L194","boolean isNetworkAvailable(Context c)","com.chengxinet.bobo.utils.NetworkUtils.isNetworkAvailable(Landroid/content/Context;)Z","L191","L103","D:\PR_assignment_src\Android_Data\fake_land\NetworkUtils.java","12","5","35","6","0","0","0","0","0","0","0","0","6","4","4","0","0","0.227273","5","0","0.227273","5","17","24","10","1","17","24","10","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L219","boolean isWifiEnabled(Context context)","com.chengxinet.bobo.utils.NetworkUtils.isWifiEnabled(Landroid/content/Context;)Z","L191","L103","D:\PR_assignment_src\Android_Data\fake_land\NetworkUtils.java","42","5","50","6","0","0","0","0","0","0","0","0","3","0","0","0","0","0.357143","5","5","0.357143","5","9","9","3","1","9","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","boolean is3rd(Context context)","com.chengxinet.bobo.utils.NetworkUtils.is3rd(Landroid/content/Context;)Z","L191","L103","D:\PR_assignment_src\Android_Data\fake_land\NetworkUtils.java","57","5","66","6","1","1","2","1","1","1","10","10","3","1","1","0","0","0.333333","5","5","0.333333","5","10","10","5","1","10","10","5","0","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L240","boolean isWifi(Context context)","com.chengxinet.bobo.utils.NetworkUtils.isWifi(Landroid/content/Context;)Z","L191","L103","D:\PR_assignment_src\Android_Data\fake_land\NetworkUtils.java","73","5","82","6","1","1","2","1","1","1","10","10","3","1","1","0","0","0.333333","5","5","0.333333","5","10","10","5","1","10","10","5","0","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
