"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L145","OrientationChangeAction(int orientation)","com.amqtech.opensource.appintroexample.util.OrientationChangeAction.<init>(I)V","L134","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\OrientationChangeAction.java","47","5","49","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L150","Matcher<View> getConstraints()","com.amqtech.opensource.appintroexample.util.OrientationChangeAction.getConstraints()LMatcher;","L134","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\OrientationChangeAction.java","51","5","54","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","String getDescription()","com.amqtech.opensource.appintroexample.util.OrientationChangeAction.getDescription()Ljava/lang/String;","L134","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\OrientationChangeAction.java","56","5","59","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L162","void perform(UiController uiController, View view)","com.amqtech.opensource.appintroexample.util.OrientationChangeAction.perform(LUiController;LView;)V","L134","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\OrientationChangeAction.java","61","5","77","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","15","17","9","2","15","17","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L195","ViewAction orientationLandscape()","com.amqtech.opensource.appintroexample.util.OrientationChangeAction.orientationLandscape()LViewAction;","L134","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\OrientationChangeAction.java","79","5","81","6","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L201","ViewAction orientationPortrait()","com.amqtech.opensource.appintroexample.util.OrientationChangeAction.orientationPortrait()LViewAction;","L134","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\OrientationChangeAction.java","83","5","85","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L211","ViewPagerIdlingResource(ViewPager viewPager, String name)","com.amqtech.opensource.appintroexample.util.ViewPagerIdlingResource.<init>(Landroid/support/v4/view/ViewPager;Ljava/lang/String;)V","L204","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\ViewPagerIdlingResource.java","14","5","17","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L223","String getName()","com.amqtech.opensource.appintroexample.util.ViewPagerIdlingResource.getName()Ljava/lang/String;","L204","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\ViewPagerIdlingResource.java","19","5","22","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L224","boolean isIdleNow()","com.amqtech.opensource.appintroexample.util.ViewPagerIdlingResource.isIdleNow()Z","L204","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\ViewPagerIdlingResource.java","24","5","27","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L226","void registerIdleTransitionCallback(ResourceCallback resourceCallback)","com.amqtech.opensource.appintroexample.util.ViewPagerIdlingResource.registerIdleTransitionCallback(LResourceCallback;)V","L204","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\amqtech\opensource\appintroexample\util\ViewPagerIdlingResource.java","29","5","32","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L273","FragmentStatePagerAdapter(FragmentManager fm)","com.amqtech.opensource.appintroexample.util.FragmentStatePagerAdapter.<init>(Landroid/app/FragmentManager;)V","L240","L103","D:\PR_assignment_src\AppIntro\example\src\main\java\com\amqtech\opensource\appintroexample\util\FragmentStatePagerAdapter.java","67","5","69","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
