"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L150","ApplicationTest()","com.chad.baserecyclerviewadapterhelper.ApplicationTest.<init>()V","L141","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\androidTest\java\com\chad\baserecyclerviewadapterhelper\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L152","void test()","com.chad.baserecyclerviewadapterhelper.ApplicationTest.test()V","L141","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\androidTest\java\com\chad\baserecyclerviewadapterhelper\ApplicationTest.java","13","5","15","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","3","0","0","2","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L615","void onCreate(Bundle savedInstanceState)","com.chad.baserecyclerviewadapterhelper.AnimationUseActivity.onCreate(Landroid/os/Bundle;)V","L603","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\AnimationUseActivity.java","24","5","33","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","10","10","7","1","10","10","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L627","void initAdapter()","com.chad.baserecyclerviewadapterhelper.AnimationUseActivity.initAdapter()V","L603","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\AnimationUseActivity.java","35","5","55","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","7","7","4","0","21","21","12","0","0","9","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","2","0","0","0","0","0"
"L629","void initMenu()","com.chad.baserecyclerviewadapterhelper.AnimationUseActivity.initMenu()V","L603","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\AnimationUseActivity.java","57","5","108","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","10","10","6","0","50","52","28","0","0","12","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
"L768","void onCreate(Bundle savedInstanceState)","com.chad.baserecyclerviewadapterhelper.DataBindingUseActivity.onCreate(Landroid/os/Bundle;)V","L764","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\DataBindingUseActivity.java","20","5","29","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","9","10","6","1","9","10","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L773","List<Movie> genData()","com.chad.baserecyclerviewadapterhelper.DataBindingUseActivity.genData()Ljava/util/List;","L764","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\DataBindingUseActivity.java","31","5","42","6","0","0","0","0","0","0","0","0","2","1","1","1","1","0","0","0","0","0","12","12","11","0","12","12","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L859","void onCreate(Bundle savedInstanceState)","com.chad.baserecyclerviewadapterhelper.EmptyViewUseActivity.onCreate(Landroid/os/Bundle;)V","L852","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\EmptyViewUseActivity.java","21","5","45","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","18","19","13","1","24","25","15","0","0","12","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
"L881","void initAdapter()","com.chad.baserecyclerviewadapterhelper.EmptyViewUseActivity.initAdapter()V","L852","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\EmptyViewUseActivity.java","47","5","53","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.428571","3","0","0.428571","3","4","7","2","0","4","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L885","void onClick(View v)","com.chad.baserecyclerviewadapterhelper.EmptyViewUseActivity.onClick(Landroid/view/View;)V","L852","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\EmptyViewUseActivity.java","55","5","61","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","7","7","4","1","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
