"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L394","void setUp()","com.roughike.bottombar.BadgeTest.setUp()V","L389","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BadgeTest.java","30","5","36","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L401","void hasNoBadges_ExceptNearby()","com.roughike.bottombar.BadgeTest.hasNoBadges_ExceptNearby()V","L389","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BadgeTest.java","38","5","44","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","6","7","3","0","6","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L404","void whenTabWithBadgeClicked_BadgeIsHidden()","com.roughike.bottombar.BadgeTest.whenTabWithBadgeClicked_BadgeIsHidden()V","L389","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BadgeTest.java","46","5","56","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","1","0","11","11","3","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L416","void whenBadgeCountIsZero_BadgeIsRemoved()","com.roughike.bottombar.BadgeTest.whenBadgeCountIsZero_BadgeIsRemoved()V","L389","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BadgeTest.java","58","5","63","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","6","6","2","0","6","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L417","void whenBadgeCountIsNegative_BadgeIsRemoved()","com.roughike.bottombar.BadgeTest.whenBadgeCountIsNegative_BadgeIsRemoved()V","L389","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BadgeTest.java","65","5","70","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","6","6","2","0","6","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L418","void whenBadgeStateRestored_CountPersists()","com.roughike.bottombar.BadgeTest.whenBadgeStateRestored_CountPersists()V","L389","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BadgeTest.java","72","5","85","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","11","14","7","0","11","14","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L429","void badgeRemovedProperly()","com.roughike.bottombar.BadgeTest.badgeRemovedProperly()V","L389","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BadgeTest.java","87","5","97","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","10","11","6","0","10","11","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L451","void setUp()","com.roughike.bottombar.BottomBarTabTest.setUp()V","L443","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTabTest.java","22","5","28","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","6","7","3","0","6","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L460","void correctLayoutReturned_ForFixedTab()","com.roughike.bottombar.BottomBarTabTest.correctLayoutReturned_ForFixedTab()V","L443","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTabTest.java","30","5","34","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L467","void correctLayoutReturned_ForShiftingTab()","com.roughike.bottombar.BottomBarTabTest.correctLayoutReturned_ForShiftingTab()V","L443","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTabTest.java","36","5","40","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L470","void correctLayoutReturned_ForTabletTab()","com.roughike.bottombar.BottomBarTabTest.correctLayoutReturned_ForTabletTab()V","L443","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTabTest.java","42","5","46","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L473","void testSavedStateWithBadge_StaysIntact()","com.roughike.bottombar.BottomBarTabTest.testSavedStateWithBadge_StaysIntact()V","L443","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTabTest.java","48","5","62","6","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","12","15","9","0","12","15","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L488","void setUp()","com.roughike.bottombar.BottomBarTest.setUp()V","L482","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTest.java","38","5","47","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","9","10","6","0","9","10","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L492","void setItems_ThrowsExceptionWithNoResource()","com.roughike.bottombar.BottomBarTest.setItems_ThrowsExceptionWithNoResource()V","L482","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTest.java","49","5","53","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L493","void setItemsWithCustomConfig_OverridesPreviousValues()","com.roughike.bottombar.BottomBarTest.setItemsWithCustomConfig_OverridesPreviousValues()V","L482","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTest.java","55","5","87","6","0","0","0","0","0","0","0","0","1","0","0","0","18","0","0","0","0","0","29","33","18","0","29","33","18","0","0","3","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L547","void tabCount_IsCorrect()","com.roughike.bottombar.BottomBarTest.tabCount_IsCorrect()V","L482","L103","D:\PR_assignment_src\BottomBar\bottom-bar\src\androidTest\java\com\roughike\bottombar\BottomBarTest.java","89","5","93","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","1","0","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
