"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L131","View onActivityCreateView(View parent, View view, String name, Context context, AttributeSet attrs)","uk.co.chrisjenx.calligraphy.CalligraphyActivityFactory.onActivityCreateView(Landroid/view/View;Landroid/view/View;Ljava/lang/String;Landroid/content/Context;Landroid/util/AttributeSet;)Landroid/view/View;","L129","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyActivityFactory.java","33","5","33","105","0","0","0","0","0","0","0","0","1","0","0","1","0","0.952381","20","20","0.952381","20","1","1","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L222","void addAppCompatViews()","uk.co.chrisjenx.calligraphy.CalligraphyConfig.addAppCompatViews()V","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","53","5","62","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.285714","4","4","0.285714","4","10","10","8","0","10","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","void initDefault(CalligraphyConfig calligraphyConfig)","uk.co.chrisjenx.calligraphy.CalligraphyConfig.initDefault(Luk/co/chrisjenx/calligraphy/CalligraphyConfig;)V","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","72","5","74","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","CalligraphyConfig get()","uk.co.chrisjenx.calligraphy.CalligraphyConfig.get()Luk/co/chrisjenx/calligraphy/CalligraphyConfig;","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","80","5","84","6","0","0","0","0","0","0","0","0","2","1","1","6","1","0.444444","4","4","0.444444","4","5","5","3","0","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","CalligraphyConfig(Builder builder)","uk.co.chrisjenx.calligraphy.CalligraphyConfig.<init>(Luk/co/chrisjenx/calligraphy/CalligraphyConfig$Builder;)V","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","120","5","131","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","12","12","10","1","12","12","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L314","String getFontPath()","uk.co.chrisjenx.calligraphy.CalligraphyConfig.getFontPath()Ljava/lang/String;","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","136","5","138","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L316","boolean isFontSet()","uk.co.chrisjenx.calligraphy.CalligraphyConfig.isFontSet()Z","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","143","5","145","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L318","boolean isReflection()","uk.co.chrisjenx.calligraphy.CalligraphyConfig.isReflection()Z","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","147","5","149","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L319","boolean isCustomViewCreation()","uk.co.chrisjenx.calligraphy.CalligraphyConfig.isCustomViewCreation()Z","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","151","5","153","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L320","boolean isCustomViewTypefaceSupport()","uk.co.chrisjenx.calligraphy.CalligraphyConfig.isCustomViewTypefaceSupport()Z","L150","L103","D:\PR_assignment_src\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyConfig.java","155","5","157","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
