"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L193","CircleImageView(Context context)","de.hdodenhof.circleimageview.CircleImageView.<init>(Landroid/content/Context;)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","78","5","82","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","5","2","1","4","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L202","CircleImageView(Context context, AttributeSet attrs)","de.hdodenhof.circleimageview.CircleImageView.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","84","5","86","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L208","CircleImageView(Context context, AttributeSet attrs, int defStyle)","de.hdodenhof.circleimageview.CircleImageView.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","88","5","101","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","10","14","8","3","10","14","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L200","void init()","de.hdodenhof.circleimageview.CircleImageView.init()V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","103","5","111","6","0","0","0","0","0","0","0","0","2","1","1","2","1","0","0","0","0","0","8","9","5","0","8","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","ScaleType getScaleType()","de.hdodenhof.circleimageview.CircleImageView.getScaleType()Landroid/widget/ImageView$ScaleType;","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","113","5","116","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L247","void setScaleType(ScaleType scaleType)","de.hdodenhof.circleimageview.CircleImageView.setScaleType(Landroid/widget/ImageView$ScaleType;)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","118","5","123","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","2","1","6","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L256","void setAdjustViewBounds(boolean adjustViewBounds)","de.hdodenhof.circleimageview.CircleImageView.setAdjustViewBounds(Z)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","125","5","130","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","6","6","2","1","6","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L258","void onDraw(Canvas canvas)","de.hdodenhof.circleimageview.CircleImageView.onDraw(Landroid/graphics/Canvas;)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","132","5","150","6","0","0","0","0","0","0","0","0","5","1","1","0","0","0","0","0","0","0","17","19","10","1","17","19","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L280","void onSizeChanged(int w, int h, int oldw, int oldh)","de.hdodenhof.circleimageview.CircleImageView.onSizeChanged(IIII)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","152","5","156","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","2","4","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L287","void setPadding(int left, int top, int right, int bottom)","de.hdodenhof.circleimageview.CircleImageView.setPadding(IIII)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","158","5","162","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","2","4","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L294","void setPaddingRelative(int start, int top, int end, int bottom)","de.hdodenhof.circleimageview.CircleImageView.setPaddingRelative(IIII)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","164","5","168","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","2","4","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L301","int getBorderColor()","de.hdodenhof.circleimageview.CircleImageView.getBorderColor()I","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","170","5","172","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L302","void setBorderColor(int borderColor)","de.hdodenhof.circleimageview.CircleImageView.setBorderColor(I)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","174","5","182","6","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","8","9","5","1","8","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L310","void setBorderColorResource(int borderColorRes)","de.hdodenhof.circleimageview.CircleImageView.setBorderColorResource(I)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","187","5","190","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.428571","3","3","0.428571","3","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L323","int getFillColor()","de.hdodenhof.circleimageview.CircleImageView.getFillColor()I","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","199","5","202","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.636364","7","7","0.636364","7","4","4","1","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L325","void setFillColor(int fillColor)","de.hdodenhof.circleimageview.CircleImageView.setFillColor(I)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","212","5","221","6","0","0","0","0","0","0","0","0","2","1","1","1","0","0.470588","8","8","0.470588","8","9","10","5","1","9","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L328","void setFillColorResource(int fillColorRes)","de.hdodenhof.circleimageview.CircleImageView.setFillColorResource(I)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","232","5","235","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.692308","9","9","0.692308","9","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L332","int getBorderWidth()","de.hdodenhof.circleimageview.CircleImageView.getBorderWidth()I","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","237","5","239","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L333","void setBorderWidth(int borderWidth)","de.hdodenhof.circleimageview.CircleImageView.setBorderWidth(I)V","L118","L103","D:\PR_assignment_src\CircleImageView\circleimageview\src\main\java\de\hdodenhof\circleimageview\CircleImageView.java","241","5","248","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","7","8","4","1","7","8","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
