"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5865","MyCrashHandler getInstance()","com.morgoo.droidplugin.MyCrashHandler.getInstance()Lcom/morgoo/droidplugin/MyCrashHandler;","L5848","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\MyCrashHandler.java","59","5","61","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5867","void register(Context context)","com.morgoo.droidplugin.MyCrashHandler.register(Landroid/content/Context;)V","L5848","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\MyCrashHandler.java","63","5","71","6","0","0","0","0","0","0","0","0","3","2","2","1","0","0","0","0","0","0","9","9","5","1","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5875","void uncaughtException(Thread thread, Throwable ex)","com.morgoo.droidplugin.MyCrashHandler.uncaughtException(Ljava/lang/Thread;Ljava/lang/Throwable;)V","L5848","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\MyCrashHandler.java","73","5","160","6","0","0","0","0","0","0","0","0","10","3","3","0","4","0","0","0","0","0","78","88","61","2","78","88","61","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L5905","String getIMEI(Context mContext)","com.morgoo.droidplugin.MyCrashHandler.getIMEI(Landroid/content/Context;)Ljava/lang/String;","L5848","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\MyCrashHandler.java","162","5","164","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5903","String getProcessName()","com.morgoo.droidplugin.MyCrashHandler.getProcessName()Ljava/lang/String;","L5848","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\MyCrashHandler.java","166","5","175","6","0","0","0","0","0","0","0","0","3","2","2","1","0","0","0","0","0","0","10","10","6","0","10","10","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5928","void onCreate()","com.morgoo.droidplugin.PluginApplication.onCreate()V","L5920","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginApplication.java","35","5","39","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5935","void attachBaseContext(Context base)","com.morgoo.droidplugin.PluginApplication.attachBaseContext(Landroid/content/Context;)V","L5920","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginApplication.java","42","5","46","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5950","PluginHelper()","com.morgoo.droidplugin.PluginHelper.<init>()V","L5941","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginHelper.java","52","5","53","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5933","PluginHelper getInstance()","com.morgoo.droidplugin.PluginHelper.getInstance()Lcom/morgoo/droidplugin/PluginHelper;","L5941","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginHelper.java","55","5","60","6","0","0","0","0","0","0","0","0","2","1","1","2","1","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5931","void applicationOnCreate(Context baseContext)","com.morgoo.droidplugin.PluginHelper.applicationOnCreate(Landroid/content/Context;)V","L5941","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginHelper.java","62","5","65","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
