"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L642","void onCreate()","com.github.pedrovgs.effectiveandroidui.TvShowsApplication.onCreate()V","L633","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\TvShowsApplication.java","37","3","41","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L647","void initializeUiManager()","com.github.pedrovgs.effectiveandroidui.TvShowsApplication.initializeUiManager()V","L633","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\TvShowsApplication.java","52","3","59","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0.823529","14","9","0.823529","14","3","8","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L649","void inject(Object object)","com.github.pedrovgs.effectiveandroidui.TvShowsApplication.inject(Ljava/lang/Object;)V","L633","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\TvShowsApplication.java","67","3","69","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L654","ObjectGraph plus(List<Object> modules)","com.github.pedrovgs.effectiveandroidui.TvShowsApplication.plus(LList;)LObjectGraph;","L633","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\TvShowsApplication.java","77","3","83","4","0","0","0","0","0","0","0","0","2","1","1","1","0","0.461538","6","6","0.461538","6","7","7","3","1","7","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L645","void initializeDependencyInjector()","com.github.pedrovgs.effectiveandroidui.TvShowsApplication.initializeDependencyInjector()V","L633","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\TvShowsApplication.java","85","3","89","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","5","3","0","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","ActivityModule(Activity activity)","com.github.pedrovgs.effectiveandroidui.di.ActivityModule.<init>(Landroid/app/Activity;)V","L137","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\di\ActivityModule.java","34","3","36","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","Context provideActivityContext()","com.github.pedrovgs.effectiveandroidui.di.ActivityModule.provideActivityContext()Landroid/content/Context;","L137","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\di\ActivityModule.java","38","3","40","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L160","RootModule(Context context)","com.github.pedrovgs.effectiveandroidui.di.RootModule.<init>(Landroid/content/Context;)V","L157","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\di\RootModule.java","45","3","47","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L163","Context provideApplicationContext()","com.github.pedrovgs.effectiveandroidui.di.RootModule.provideApplicationContext()Landroid/content/Context;","L157","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\di\RootModule.java","49","3","51","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L164","LayoutInflater provideLayoutInflater()","com.github.pedrovgs.effectiveandroidui.di.RootModule.provideLayoutInflater()Landroid/view/LayoutInflater;","L157","L103","D:\PR_assignment_src\EffectiveAndroidUI\app\src\main\java\com\github\pedrovgs\effectiveandroidui\di\RootModule.java","53","3","55","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
