"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L135","ApplicationTest()","com.morristaedt.mirror.ApplicationTest.<init>()V","L126","L103","D:\PR_assignment_src\HomeMirror\app\src\androidTest\java\com\morristaedt\mirror\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L500","void onCreate(Bundle savedInstanceState)","com.morristaedt.mirror.MirrorActivity.onCreate(Landroid/os/Bundle;)V","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","155","5","209","6","0","0","0","0","0","0","0","0","3","1","1","0","2","0.109091","6","0","0.109091","6","49","55","31","1","49","55","31","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L548","void onPause()","com.morristaedt.mirror.MirrorActivity.onPause()V","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","211","5","218","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","7","8","3","0","7","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L552","void onNewIntent(Intent intent)","com.morristaedt.mirror.MirrorActivity.onNewIntent(Landroid/content/Intent;)V","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","220","5","224","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L557","void colorTextViews(ViewGroup mview)","com.morristaedt.mirror.MirrorActivity.colorTextViews(Landroid/view/ViewGroup;)V","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","226","5","235","6","0","0","0","0","0","0","0","0","4","3","2","1","1","0","0","0","0","0","10","10","8","1","10","10","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L546","void setViewState()","com.morristaedt.mirror.MirrorActivity.setViewState()V","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","237","5","302","6","0","0","0","0","0","0","0","0","14","2","1","2","26","0.0545455","3","0","0.0545455","3","52","66","35","0","52","66","35","0","0","4","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L621","void onBackPressed()","com.morristaedt.mirror.MirrorActivity.onBackPressed()V","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","304","5","310","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L630","void onCreate()","com.morristaedt.mirror.MirrorApplication.onCreate()V","L625","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorApplication.java","15","5","21","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","7","7","3","0","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1365","void onCreate(Bundle savedInstanceState)","com.morristaedt.mirror.SetUpActivity.onCreate(Landroid/os/Bundle;)V","L622","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java","69","5","231","6","0.183051","1","3","3","0.269939","0.304","44","38","3","1","1","0","14","0","0","0","0","0","67","97","57","1","125","163","79","0","0","118","0","0","0","0","0","67","0","0","0","1","0","44","0","0","0","0","0","0","3","0","0","0","0","0"
"L1499","void onDestroy()","com.morristaedt.mirror.SetUpActivity.onDestroy()V","L622","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java","233","5","239","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","7","7","3","0","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
