"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L9363","String getDefaultNameFromClass(Class<?> cls)","com.netflix.hystrix.AbstractCommand.getDefaultNameFromClass(Ljava/lang/Class;)Ljava/lang/String;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","139","18","154","6","0.969697","1","3","1","1","1","16","13","3","1","1","1","0","0.235294","4","0","0.235294","4","13","16","9","1","13","16","9","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9372","AbstractCommand(HystrixCommandGroupKey group, HystrixCommandKey key, HystrixThreadPoolKey threadPoolKey, HystrixCircuitBreaker circuitBreaker, HystrixThreadPool threadPool, Setter commandPropertiesDefaults, Setter threadPoolPropertiesDefaults, HystrixCommandMetrics metrics, TryableSemaphore fallbackSemaphore, TryableSemaphore executionSemaphore, HystrixPropertiesStrategy propertiesStrategy, HystrixCommandExecutionHook executionHook)","com.netflix.hystrix.AbstractCommand.<init>(Lcom/netflix/hystrix/HystrixCommandGroupKey;Lcom/netflix/hystrix/HystrixCommandKey;Lcom/netflix/hystrix/HystrixThreadPoolKey;Lcom/netflix/hystrix/HystrixCircuitBreaker;Lcom/netflix/hystrix/HystrixThreadPool;Lcom/netflix/hystrix/HystrixCommandProperties$Setter;Lcom/netflix/hystrix/HystrixThreadPoolProperties$Setter;Lcom/netflix/hystrix/HystrixCommandMetrics;Lcom/netflix/hystrix/AbstractCommand$TryableSemaphore;Lcom/netflix/hystrix/AbstractCommand$TryableSemaphore;Lcom/netflix/hystrix/strategy/properties/HystrixPropertiesStrategy;Lcom/netflix/hystrix/strategy/executionhook/HystrixCommandExecutionHook;)V","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","156","5","183","6","0","0","0","0","0","0","0","0","1","0","0","6","18","0.130435","3","0","0.130435","3","20","28","15","12","20","28","15","0","0","4","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L9389","HystrixCommandGroupKey initGroupKey(HystrixCommandGroupKey fromConstructor)","com.netflix.hystrix.AbstractCommand.initGroupKey(Lcom/netflix/hystrix/HystrixCommandGroupKey;)Lcom/netflix/hystrix/HystrixCommandGroupKey;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","185","5","191","6","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","7","7","3","1","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9392","HystrixCommandKey initCommandKey(HystrixCommandKey fromConstructor, Class<?> clazz)","com.netflix.hystrix.AbstractCommand.initCommandKey(Lcom/netflix/hystrix/HystrixCommandKey;Ljava/lang/Class;)Lcom/netflix/hystrix/HystrixCommandKey;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","193","5","200","6","0","0","0","0","0","0","0","0","3","1","1","1","3","0","0","0","0","0","8","8","4","2","8","8","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9395","HystrixCommandProperties initCommandProperties(HystrixCommandKey commandKey, HystrixPropertiesStrategy propertiesStrategy, Setter commandPropertiesDefaults)","com.netflix.hystrix.AbstractCommand.initCommandProperties(Lcom/netflix/hystrix/HystrixCommandKey;Lcom/netflix/hystrix/strategy/properties/HystrixPropertiesStrategy;Lcom/netflix/hystrix/HystrixCommandProperties$Setter;)Lcom/netflix/hystrix/HystrixCommandProperties;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","202","5","209","6","0","0","0","0","0","0","0","0","2","1","1","1","2","0.125","1","0","0.125","1","7","8","3","3","7","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9398","HystrixThreadPoolKey initThreadPoolKey(HystrixThreadPoolKey threadPoolKey, HystrixCommandGroupKey groupKey, String threadPoolKeyOverride)","com.netflix.hystrix.AbstractCommand.initThreadPoolKey(Lcom/netflix/hystrix/HystrixThreadPoolKey;Lcom/netflix/hystrix/HystrixCommandGroupKey;Ljava/lang/String;)Lcom/netflix/hystrix/HystrixThreadPoolKey;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","220","5","233","6","0","0","0","0","0","0","0","0","3","2","2","1","2","0.521739","12","9","0.521739","12","11","14","5","3","11","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9401","HystrixCommandMetrics initMetrics(HystrixCommandMetrics fromConstructor, HystrixCommandGroupKey groupKey, HystrixThreadPoolKey threadPoolKey, HystrixCommandKey commandKey, HystrixCommandProperties properties)","com.netflix.hystrix.AbstractCommand.initMetrics(Lcom/netflix/hystrix/HystrixCommandMetrics;Lcom/netflix/hystrix/HystrixCommandGroupKey;Lcom/netflix/hystrix/HystrixThreadPoolKey;Lcom/netflix/hystrix/HystrixCommandKey;Lcom/netflix/hystrix/HystrixCommandProperties;)Lcom/netflix/hystrix/HystrixCommandMetrics;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","235","5","243","6","0","0","0","0","0","0","0","0","2","1","1","1","1","0","0","0","0","0","9","9","3","5","9","9","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9404","HystrixCircuitBreaker initCircuitBreaker(boolean enabled, HystrixCircuitBreaker fromConstructor, HystrixCommandGroupKey groupKey, HystrixCommandKey commandKey, HystrixCommandProperties properties, HystrixCommandMetrics metrics)","com.netflix.hystrix.AbstractCommand.initCircuitBreaker(ZLcom/netflix/hystrix/HystrixCircuitBreaker;Lcom/netflix/hystrix/HystrixCommandGroupKey;Lcom/netflix/hystrix/HystrixCommandKey;Lcom/netflix/hystrix/HystrixCommandProperties;Lcom/netflix/hystrix/HystrixCommandMetrics;)Lcom/netflix/hystrix/HystrixCircuitBreaker;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","245","5","258","6","0","0","0","0","0","0","0","0","3","2","2","1","1","0.0714286","1","0","0.0714286","1","13","14","5","6","13","14","5","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L9420","HystrixCommandExecutionHook initExecutionHook(HystrixCommandExecutionHook fromConstructor)","com.netflix.hystrix.AbstractCommand.initExecutionHook(Lcom/netflix/hystrix/strategy/executionhook/HystrixCommandExecutionHook;)Lcom/netflix/hystrix/strategy/executionhook/HystrixCommandExecutionHook;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","260","5","271","6","0","0","0","0","0","0","0","0","3","2","2","1","3","0.0833333","1","0","0.0833333","1","11","12","5","1","11","12","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9407","HystrixThreadPool initThreadPool(HystrixThreadPool fromConstructor, HystrixThreadPoolKey threadPoolKey, Setter threadPoolPropertiesDefaults)","com.netflix.hystrix.AbstractCommand.initThreadPool(Lcom/netflix/hystrix/HystrixThreadPool;Lcom/netflix/hystrix/HystrixThreadPoolKey;Lcom/netflix/hystrix/HystrixThreadPoolProperties$Setter;)Lcom/netflix/hystrix/HystrixThreadPool;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","273","5","280","6","0","0","0","0","0","0","0","0","2","1","1","1","1","0.125","1","0","0.125","1","7","8","3","3","7","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9424","HystrixRequestLog initRequestLog(boolean enabled, HystrixConcurrencyStrategy concurrencyStrategy)","com.netflix.hystrix.AbstractCommand.initRequestLog(ZLcom/netflix/hystrix/strategy/concurrency/HystrixConcurrencyStrategy;)Lcom/netflix/hystrix/HystrixRequestLog;","L9213","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","282","5","289","6","0","0","0","0","0","0","0","0","2","1","1","1","1","0.222222","2","0","0.222222","2","7","8","3","2","7","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
