"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L136","String getValue(JSONTokener x)","org.json.CDL.getValue(Lorg/json/JSONTokener;)Ljava/lang/String;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","55","5","92","6","0","0","0","0","0","0","0","0","13","4","4","1","4","0.177778","8","7","0.177778","8","37","38","23","1","37","38","23","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L168","JSONArray rowToJSONArray(JSONTokener x)","org.json.CDL.rowToJSONArray(Lorg/json/JSONTokener;)Lorg/json/JSONArray;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","100","5","124","6","0","0","0","0","0","0","0","0","12","4","4","2","6","0.193548","6","6","0.193548","6","25","25","15","1","25","25","15","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L186","JSONObject rowToJSONObject(JSONArray names, JSONTokener x)","org.json.CDL.rowToJSONObject(Lorg/json/JSONArray;Lorg/json/JSONTokener;)Lorg/json/JSONObject;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","136","5","140","6","0","0","0","0","0","0","0","0","2","0","0","1","2","0.666667","10","10","0.666667","10","5","5","2","2","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L196","String rowToString(JSONArray ja)","org.json.CDL.rowToString(Lorg/json/JSONArray;)Ljava/lang/String;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","149","5","177","6","0","0","0","0","0","0","0","0","13","5","5","2","2","0.194444","7","7","0.194444","7","29","29","22","1","29","29","22","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","JSONArray toJSONArray(String string)","org.json.CDL.toJSONArray(Ljava/lang/String;)Lorg/json/JSONArray;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","186","5","188","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0.7","7","7","0.7","7","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","JSONArray toJSONArray(JSONTokener x)","org.json.CDL.toJSONArray(Lorg/json/JSONTokener;)Lorg/json/JSONArray;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","197","5","199","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0.7","7","7","0.7","7","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L229","JSONArray toJSONArray(JSONArray names, String string)","org.json.CDL.toJSONArray(Lorg/json/JSONArray;Ljava/lang/String;)Lorg/json/JSONArray;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","209","5","212","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0.666667","8","8","0.666667","8","4","4","1","2","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","JSONArray toJSONArray(JSONArray names, JSONTokener x)","org.json.CDL.toJSONArray(Lorg/json/JSONArray;Lorg/json/JSONTokener;)Lorg/json/JSONArray;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","222","5","239","6","0","0","0","0","0","0","0","0","6","2","2","2","4","0.307692","8","8","0.307692","8","18","18","11","2","18","18","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L237","String toString(JSONArray ja)","org.json.CDL.toString(Lorg/json/JSONArray;)Ljava/lang/String;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","250","5","259","6","0","0","0","0","0","0","0","0","3","2","2","0","4","0.444444","8","8","0.444444","8","10","10","6","1","10","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L245","String toString(JSONArray names, JSONArray ja)","org.json.CDL.toString(Lorg/json/JSONArray;Lorg/json/JSONArray;)Ljava/lang/String;","L127","L103","D:\PR_assignment_src\JSON-java\CDL.java","270","5","283","6","0","0","0","0","0","0","0","0","5","2","2","1","4","0.391304","9","9","0.391304","9","14","14","10","2","14","14","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L258","String escape(String string)","org.json.Cookie.escape(Ljava/lang/String;)Ljava/lang/String;","L254","L103","D:\PR_assignment_src\JSON-java\Cookie.java","47","5","63","6","0","0","0","0","0","0","0","0","7","2","2","2","0","0.413793","12","12","0.413793","12","17","17","14","1","17","17","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L267","JSONObject toJSONObject(String string)","org.json.Cookie.toJSONObject(Ljava/lang/String;)Lorg/json/JSONObject;","L254","L103","D:\PR_assignment_src\JSON-java\Cookie.java","81","5","105","6","0","0","0","0","0","0","0","0","4","3","3","0","10","0.375","15","15","0.375","15","25","25","18","1","25","25","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L286","String toString(JSONObject jo)","org.json.Cookie.toString(Lorg/json/JSONObject;)Ljava/lang/String;","L254","L103","D:\PR_assignment_src\JSON-java\Cookie.java","118","5","140","6","0","0","0","0","0","0","0","0","5","1","1","0","4","0.3125","10","10","0.3125","10","22","23","16","1","22","23","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L276","String unescape(String string)","org.json.Cookie.unescape(Ljava/lang/String;)Ljava/lang/String;","L254","L103","D:\PR_assignment_src\JSON-java\Cookie.java","150","5","168","6","0","0","0","0","0","0","0","0","7","4","3","2","1","0.296296","8","8","0.296296","8","19","19","16","1","19","19","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L303","JSONObject toJSONObject(String string)","org.json.CookieList.toJSONObject(Ljava/lang/String;)Lorg/json/JSONObject;","L300","L103","D:\PR_assignment_src\JSON-java\CookieList.java","49","5","59","6","0","0","0","0","0","0","0","0","2","1","1","0","8","0.541667","13","13","0.541667","13","11","11","8","1","11","11","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L306","String toString(JSONObject jo)","org.json.CookieList.toString(Lorg/json/JSONObject;)Ljava/lang/String;","L300","L103","D:\PR_assignment_src\JSON-java\CookieList.java","70","5","88","6","0","0","0","0","0","0","0","0","4","3","3","0","4","0.321429","9","9","0.321429","9","19","19","14","1","19","19","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L331","JSONObject toJSONObject(String string)","org.json.HTTP.toJSONObject(Ljava/lang/String;)Lorg/json/JSONObject;","L326","L103","D:\PR_assignment_src\JSON-java\HTTP.java","71","5","104","6","0","0","0","0","0","0","0","0","3","1","1","0","8","0.603448","35","32","0.603448","35","23","34","18","1","23","34","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L345","String toString(JSONObject jo)","org.json.HTTP.toString(Lorg/json/JSONObject;)Ljava/lang/String;","L326","L103","D:\PR_assignment_src\JSON-java\HTTP.java","127","5","162","6","0","0","0","0","0","0","0","0","12","2","2","0","5","0.357143","20","20","0.357143","20","36","36","28","1","36","36","28","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L337","HTTPTokener(String string)","org.json.HTTPTokener.<init>(Ljava/lang/String;)V","L334","L103","D:\PR_assignment_src\JSON-java\HTTPTokener.java","39","5","41","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.571429","4","4","0.571429","4","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L339","String nextToken()","org.json.HTTPTokener.nextToken()Ljava/lang/String;","L334","L103","D:\PR_assignment_src\JSON-java\HTTPTokener.java","49","5","76","6","0","0","0","0","0","0","0","0","10","3","3","1","2","0.151515","5","5","0.151515","5","28","28","19","0","28","28","19","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","JSONArray()","org.json.JSONArray.<init>()V","L170","L103","D:\PR_assignment_src\JSON-java\JSONArray.java","93","5","95","6","0","0","0","0","0","0","0","0","1","0","0","9","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L375","JSONArray(JSONTokener x)","org.json.JSONArray.<init>(Lorg/json/JSONTokener;)V","L170","L103","D:\PR_assignment_src\JSON-java\JSONArray.java","105","5","134","6","0.25","1","4","1","0.333333","0.333333","10","10","8","4","4","2","5","0.210526","8","8","0.210526","8","30","30","18","1","30","30","18","0","0","9","0","0","0","0","0","6","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
