"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L170","void onCreate(Bundle savedInstanceState)","com.xxmassdeveloper.mpchartexample.AnotherBarActivity.onCreate(Landroid/os/Bundle;)V","L146","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java","32","5","76","6","0.836735","5","5","5","0.733333","0.740741","33","20","1","0","0","0","13","0.15625","5","0","0.15625","5","27","45","23","1","27","45","23","0","0","10","0","0","0","0","0","7","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","boolean onCreateOptionsMenu(Menu menu)","com.xxmassdeveloper.mpchartexample.AnotherBarActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L146","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java","78","5","82","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","boolean onOptionsItemSelected(MenuItem item)","com.xxmassdeveloper.mpchartexample.AnotherBarActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L146","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java","84","5","149","6","1","10","76","10","1","1","66","58","16","2","2","0","17","0","0","0","0","0","59","66","32","1","59","66","32","0","0","12","0","0","0","0","0","8","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L301","void onProgressChanged(SeekBar seekBar, int progress, boolean fromUser)","com.xxmassdeveloper.mpchartexample.AnotherBarActivity.onProgressChanged(Landroid/widget/SeekBar;IZ)V","L146","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java","151","5","187","6","0","0","0","0","0","0","0","0","4","1","1","0","13","0","0","0","0","0","29","37","24","3","29","37","24","0","0","3","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L360","void onStartTrackingTouch(SeekBar seekBar)","com.xxmassdeveloper.mpchartexample.AnotherBarActivity.onStartTrackingTouch(Landroid/widget/SeekBar;)V","L146","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java","189","5","193","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.25","1","0","0.25","1","3","5","0","1","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L362","void onStopTrackingTouch(SeekBar seekBar)","com.xxmassdeveloper.mpchartexample.AnotherBarActivity.onStopTrackingTouch(Landroid/widget/SeekBar;)V","L146","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java","195","5","199","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.25","1","0","0.25","1","3","5","0","1","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L374","void onCreate(Bundle savedInstanceState)","com.xxmassdeveloper.mpchartexample.BarChartActivity.onCreate(Landroid/os/Bundle;)V","L364","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivity.java","50","5","137","6","0.340909","3","3","3","0.306818","0.271186","27","16","1","0","0","0","37","0.202703","15","0","0.202703","15","59","88","55","1","59","88","55","0","0","10","0","0","0","0","0","7","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L461","boolean onCreateOptionsMenu(Menu menu)","com.xxmassdeveloper.mpchartexample.BarChartActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L364","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivity.java","139","5","143","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L463","boolean onOptionsItemSelected(MenuItem item)","com.xxmassdeveloper.mpchartexample.BarChartActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L364","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivity.java","145","5","208","6","1","10","76","10","1","1","64","58","16","2","2","0","17","0","0","0","0","0","59","64","32","1","59","64","32","0","0","12","0","0","0","0","0","8","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L465","void onProgressChanged(SeekBar seekBar, int progress, boolean fromUser)","com.xxmassdeveloper.mpchartexample.BarChartActivity.onProgressChanged(Landroid/widget/SeekBar;IZ)V","L364","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivity.java","210","5","218","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","7","9","4","3","7","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
