"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L146","ApplicationTest()","com.lgvalle.material_animations.ApplicationTest.<init>()V","L137","L103","D:\PR_assignment_src\Material-Animations\app\src\androidTest\java\com\lgvalle\material_animations\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L178","void onCreate(Bundle savedInstanceState)","com.lgvalle.material_animations.AnimationsActivity1.onCreate(Landroid/os/Bundle;)V","L150","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity1.java","24","5","31","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","8","8","5","1","8","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L191","void setupWindowAnimations()","com.lgvalle.material_animations.AnimationsActivity1.setupWindowAnimations()V","L150","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity1.java","33","5","35","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L189","void bindData()","com.lgvalle.material_animations.AnimationsActivity1.bindData()V","L150","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity1.java","37","5","41","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","5","5","3","0","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L193","void setupLayout()","com.lgvalle.material_animations.AnimationsActivity1.setupLayout()V","L150","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity1.java","43","5","67","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","10","11","5","0","24","25","10","0","0","17","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0"
"L220","void changeLayout()","com.lgvalle.material_animations.AnimationsActivity1.changeLayout()V","L150","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity1.java","69","5","81","6","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","12","13","8","0","12","13","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","void changePosition()","com.lgvalle.material_animations.AnimationsActivity1.changePosition()V","L150","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity1.java","83","5","94","6","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","11","12","7","0","11","12","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L288","void onCreate(Bundle savedInstanceState)","com.lgvalle.material_animations.AnimationsActivity2.onCreate(Landroid/os/Bundle;)V","L237","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity2.java","28","5","35","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","8","8","5","1","8","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L290","void bindData()","com.lgvalle.material_animations.AnimationsActivity2.bindData()V","L237","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity2.java","37","5","42","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L294","void setupWindowAnimations()","com.lgvalle.material_animations.AnimationsActivity2.setupWindowAnimations()V","L237","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity2.java","44","5","70","6","0.25","2","2","2","0.555556","0.521739","15","12","1","0","0","1","0","0","0","0","0","0","6","6","2","0","23","27","4","0","0","47","0","0","0","0","0","31","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","void setupLayout()","com.lgvalle.material_animations.AnimationsActivity2.setupLayout()V","L237","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity2.java","72","5","144","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","29","36","21","0","65","73","34","0","0","32","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0"
"L195","void setupToolbar()","com.lgvalle.material_animations.BaseDetailActivity.setupToolbar()V","L151","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\BaseDetailActivity.java","19","5","24","6","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","6","6","4","0","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L372","boolean onSupportNavigateUp()","com.lgvalle.material_animations.BaseDetailActivity.onSupportNavigateUp()Z","L151","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\BaseDetailActivity.java","26","5","30","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L242","void transitionTo(Intent i)","com.lgvalle.material_animations.BaseDetailActivity.transitionTo(Landroid/content/Intent;)V","L151","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\BaseDetailActivity.java","32","5","36","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L390","void onCreate(Bundle savedInstanceState)","com.lgvalle.material_animations.MainActivity.onCreate(Landroid/os/Bundle;)V","L384","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\MainActivity.java","18","5","26","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","9","9","6","1","9","9","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
