"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L128","ApplicationTest()","com.gc.materialdesign.ApplicationTest.<init>()V","L119","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\androidTest\java\com\gc\materialdesign\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1754","ApplicationTest()","com.gc.materialdesigndemo.ApplicationTest.<init>()V","L1752","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesignDemo\src\androidTest\java\com\gc\materialdesigndemo\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","int dpToPx(float dp, Resources resources)","com.gc.materialdesign.utils.Utils.dpToPx(FLandroid/content/res/Resources;)I","L140","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\utils\Utils.java","13","2","16","3","0","0","0","0","0","0","0","0","1","0","0","22","0","0.428571","3","3","0.428571","3","4","4","2","2","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","int getRelativeTop(View myView)","com.gc.materialdesign.utils.Utils.getRelativeTop(Landroid/view/View;)I","L140","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\utils\Utils.java","18","2","24","3","0","0","0","0","0","0","0","0","2","1","1","1","0","0.142857","1","0","0.142857","1","6","7","3","1","6","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L180","int getRelativeLeft(View myView)","com.gc.materialdesign.utils.Utils.getRelativeLeft(Landroid/view/View;)I","L140","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\utils\Utils.java","26","2","32","3","0","0","0","0","0","0","0","0","2","1","1","1","0","0.142857","1","0","0.142857","1","6","7","3","1","6","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L228","AutoHideButtonFloat(Context context, AttributeSet attrs)","com.gc.materialdesign.views.AutoHideButtonFloat.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L205","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\views\AutoHideButtonFloat.java","23","5","25","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","void setOnScrollListener(OnScrollListener onScrollListener)","com.gc.materialdesign.views.AutoHideButtonFloat.setOnScrollListener(Landroid/widget/AbsListView$OnScrollListener;)V","L205","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\views\AutoHideButtonFloat.java","27","5","29","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L245","void setListView(ListView listView)","com.gc.materialdesign.views.AutoHideButtonFloat.setListView(Landroid/widget/ListView;)V","L205","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\views\AutoHideButtonFloat.java","31","5","34","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L250","void onScrollStateChanged(AbsListView absListView, int scrollState)","com.gc.materialdesign.views.AutoHideButtonFloat.onScrollStateChanged(Landroid/widget/AbsListView;I)V","L205","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\views\AutoHideButtonFloat.java","36","5","47","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","12","12","7","2","12","12","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L261","void onScroll(AbsListView absListView, int firstVisibleItem, int visibleItemCount, int totalItemCount)","com.gc.materialdesign.views.AutoHideButtonFloat.onScroll(Landroid/widget/AbsListView;III)V","L205","L103","D:\PR_assignment_src\MaterialDesignLibrary\MaterialDesignLibrary\MaterialDesign\src\main\java\com\gc\materialdesign\views\AutoHideButtonFloat.java","49","5","71","6","0","0","0","0","0","0","0","0","8","2","2","0","0","0","0","0","0","0","22","23","15","4","22","23","15","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
